lib	chr	start	end	gt
results/06_tiger/lib11_MappedOn_tair10	2	1	2023202	CC
results/06_tiger/lib11_MappedOn_tair10	2	2023986	18963672	CL
results/06_tiger/lib11_MappedOn_tair10	2	18963855	19698289	CC
results/06_tiger/lib11_MappedOn_tair10	5	1	1380679	CC
results/06_tiger/lib11_MappedOn_tair10	5	1380835	20762914	CL
results/06_tiger/lib11_MappedOn_tair10	5	20763389	26975502	CC
results/06_tiger/lib14_MappedOn_tair10	5	1	10640123	CC
results/06_tiger/lib14_MappedOn_tair10	5	10640616	26722441	CL
results/06_tiger/lib14_MappedOn_tair10	5	26722955	26975502	CC
results/06_tiger/lib16_MappedOn_tair10	2	1	289413	LL
results/06_tiger/lib16_MappedOn_tair10	2	289609	10216306	CL
results/06_tiger/lib16_MappedOn_tair10	2	10216454	16292802	LL
results/06_tiger/lib16_MappedOn_tair10	4	7308343	14500253	CC
results/06_tiger/lib16_MappedOn_tair10	4	14502385	16184124	CL
results/06_tiger/lib16_MappedOn_tair10	4	16185238	18585056	CC
results/06_tiger/lib19_MappedOn_tair10	3	11500722	19142315	CC
results/06_tiger/lib19_MappedOn_tair10	3	19142489	23352229	CL
results/06_tiger/lib19_MappedOn_tair10	3	23352500	23459830	CC
results/06_tiger/lib24_MappedOn_tair10	4	1	5983955	CC
results/06_tiger/lib24_MappedOn_tair10	4	5984686	17676844	CL
results/06_tiger/lib24_MappedOn_tair10	4	17678216	18585056	CC
results/06_tiger/lib25_MappedOn_tair10	3	1	6351444	CC
results/06_tiger/lib25_MappedOn_tair10	3	6351587	16122442	CL
results/06_tiger/lib25_MappedOn_tair10	3	16122878	23459830	CC
results/06_tiger/lib26_MappedOn_tair10	2	1563204	2350013	CC
results/06_tiger/lib26_MappedOn_tair10	2	2350262	15841267	CL
results/06_tiger/lib26_MappedOn_tair10	2	15841375	19698289	CC
results/06_tiger/lib26_MappedOn_tair10	3	1	11280611	LL
results/06_tiger/lib26_MappedOn_tair10	3	11280787	19000667	CL
results/06_tiger/lib26_MappedOn_tair10	3	19002787	23459830	LL
results/06_tiger/lib27_MappedOn_tair10	5	4450177	9072139	CC
results/06_tiger/lib27_MappedOn_tair10	5	9072467	13595587	CL
results/06_tiger/lib27_MappedOn_tair10	5	13596031	26170833	CC
results/06_tiger/lib3_MappedOn_tair10	1	4871877	19090709	LL
results/06_tiger/lib3_MappedOn_tair10	1	19092357	25467017	CL
results/06_tiger/lib3_MappedOn_tair10	1	25467979	30427671	LL
results/06_tiger/lib34_MappedOn_tair10	2	1	12297527	LL
results/06_tiger/lib34_MappedOn_tair10	2	12298857	18962349	CL
results/06_tiger/lib34_MappedOn_tair10	2	18963642	19698289	LL
results/06_tiger/lib36_MappedOn_tair10	1	3270542	7739748	CC
results/06_tiger/lib36_MappedOn_tair10	1	7741021	20490399	CL
results/06_tiger/lib36_MappedOn_tair10	1	20492148	30427671	CC
results/06_tiger/lib36_MappedOn_tair10	2	1	1443049	LL
results/06_tiger/lib36_MappedOn_tair10	2	1443793	12108896	CL
results/06_tiger/lib36_MappedOn_tair10	2	12124196	19698289	LL
