chr	window	cumwindow	coInWindow	libSize
Chr1	1	1	0	95
Chr1	100001	100001	2	95
Chr1	200001	200001	0	95
Chr1	300001	300001	0	95
Chr1	400001	400001	0	95
Chr1	500001	500001	2	95
Chr1	600001	600001	1	95
Chr1	700001	700001	0	95
Chr1	800001	800001	0	95
Chr1	900001	900001	2	95
Chr1	1000001	1000001	0	95
Chr1	1100001	1100001	0	95
Chr1	1200001	1200001	0	95
Chr1	1300001	1300001	0	95
Chr1	1400001	1400001	1	95
Chr1	1500001	1500001	1	95
Chr1	1600001	1600001	1	95
Chr1	1700001	1700001	0	95
Chr1	1800001	1800001	1	95
Chr1	1900001	1900001	0	95
Chr1	2000001	2000001	0	95
Chr1	2100001	2100001	0	95
Chr1	2200001	2200001	1	95
Chr1	2300001	2300001	0	95
Chr1	2400001	2400001	1	95
Chr1	2500001	2500001	0	95
Chr1	2600001	2600001	0	95
Chr1	2700001	2700001	0	95
Chr1	2800001	2800001	0	95
Chr1	2900001	2900001	0	95
Chr1	3000001	3000001	0	95
Chr1	3100001	3100001	0	95
Chr1	3200001	3200001	0	95
Chr1	3300001	3300001	0	95
Chr1	3400001	3400001	1	95
Chr1	3500001	3500001	0	95
Chr1	3600001	3600001	0	95
Chr1	3700001	3700001	0	95
Chr1	3800001	3800001	0	95
Chr1	3900001	3900001	0	95
Chr1	4000001	4000001	0	95
Chr1	4100001	4100001	1	95
Chr1	4200001	4200001	0	95
Chr1	4300001	4300001	0	95
Chr1	4400001	4400001	1	95
Chr1	4500001	4500001	1	95
Chr1	4600001	4600001	0	95
Chr1	4700001	4700001	1	95
Chr1	4800001	4800001	0	95
Chr1	4900001	4900001	0	95
Chr1	5000001	5000001	1	95
Chr1	5100001	5100001	0	95
Chr1	5200001	5200001	0	95
Chr1	5300001	5300001	0	95
Chr1	5400001	5400001	0	95
Chr1	5500001	5500001	0	95
Chr1	5600001	5600001	0	95
Chr1	5700001	5700001	0	95
Chr1	5800001	5800001	0	95
Chr1	5900001	5900001	0	95
Chr1	6000001	6000001	1	95
Chr1	6100001	6100001	1	95
Chr1	6200001	6200001	1	95
Chr1	6300001	6300001	1	95
Chr1	6400001	6400001	0	95
Chr1	6500001	6500001	2	95
Chr1	6600001	6600001	0	95
Chr1	6700001	6700001	0	95
Chr1	6800001	6800001	0	95
Chr1	6900001	6900001	0	95
Chr1	7000001	7000001	0	95
Chr1	7100001	7100001	1	95
Chr1	7200001	7200001	0	95
Chr1	7300001	7300001	0	95
Chr1	7400001	7400001	2	95
Chr1	7500001	7500001	1	95
Chr1	7600001	7600001	1	95
Chr1	7700001	7700001	1	95
Chr1	7800001	7800001	0	95
Chr1	7900001	7900001	1	95
Chr1	8000001	8000001	1	95
Chr1	8100001	8100001	1	95
Chr1	8200001	8200001	0	95
Chr1	8300001	8300001	1	95
Chr1	8400001	8400001	2	95
Chr1	8500001	8500001	0	95
Chr1	8600001	8600001	0	95
Chr1	8700001	8700001	0	95
Chr1	8800001	8800001	0	95
Chr1	8900001	8900001	1	95
