lib	chr	start	end	cos	width
1	1	7194315	7195393	7194854	1078
1	1	11467823	11468046	11467934.5	223
1	1	19919436	19921013	19920224.5	1577
1	1	20383608	20386138	20384873	2530
1	1	21033943	21037466	21035704.5	3523
1	1	23523471	23525614	23524542.5	2143
1	4	9288965	9289392	9289178.5	427
1	4	13656782	13656934	13656858	152
1	5	13749867	13752856	13751361.5	2989
1	5	19393327	19393804	19393565.5	477
10	1	4527060	4529000	4528030	1940
10	1	4967219	4969845	4968532	2626
10	3	469557	471989	470773	2432
10	3	1244004	1246180	1245092	2176
10	3	4437135	4439720	4438427.5	2585
10	3	5764990	5766343	5765666.5	1353
10	3	6705633	6705940	6705786.5	307
10	3	8033512	8034094	8033803	582
10	3	15605451	15605602	15605526.5	151
10	3	19896359	19897232	19896795.5	873
10	4	7463073	7463965	7463519	892
10	4	8605455	8606624	8606039.5	1169
10	4	10798824	10799246	10799035	422
10	4	13073950	13075040	13074495	1090
10	4	13532756	13532903	13532829.5	147
10	4	14119064	14120740	14119902	1676
10	5	1507237	1507420	1507328.5	183
10	5	3020529	3026985	3023757	6456
10	5	20805528	20807633	20806580.5	2105
10	5	23236648	23239378	23238013	2730
11	3	20480562	20480903	20480732.5	341
11	3	21468762	21492444	21480603	23682
11	4	125589	126194	125891.5	605
11	4	1213378	1213579	1213478.5	201
11	5	16428883	16429814	16429348.5	931
11	5	23097129	23098340	23097734.5	1211
12	1	1137318	1138098	1137708	780
12	1	4837891	4841040	4839465.5	3149
12	1	17251775	17251818	17251796.5	43
12	1	23414065	23414824	23414444.5	759
12	3	3284381	3290911	3287646	6530
12	3	19016057	19016226	19016141.5	169
13	1	9730682	9739614	9735148	8932
13	1	19007704	19007991	19007847.5	287
13	1	20948514	20949886	20949200	1372
13	1	25705029	25705175	25705102	146
13	2	14658260	14659515	14658887.5	1255
13	2	15148970	15150062	15149516	1092
13	2	17086526	17089012	17087769	2486
13	2	17814036	17818369	17816202.5	4333
13	3	4264744	4266349	4265546.5	1605
13	3	4830786	4833045	4831915.5	2259
13	3	16848736	16849062	16848899	326
13	3	22164783	22165307	22165045	524
13	4	744173	745995	745084	1822
13	4	7342147	7342274	7342210.5	127
13	5	19754	23126	21440	3372
13	5	1536857	1538776	1537816.5	1919
13	5	20943754	20944301	20944027.5	547
13	5	25199080	25200627	25199853.5	1547
14	2	7283849	7284313	7284081	464
14	2	7719655	7720078	7719866.5	423
14	2	10858432	10858811	10858621.5	379
14	2	11938498	11939797	11939147.5	1299
14	2	17365827	17369608	17367717.5	3781
14	2	18538841	18539861	18539351	1020
14	3	389200	389797	389498.5	597
14	3	1307188	1307370	1307279	182
14	3	4123260	4124194	4123727	934
14	3	9737226	9737403	9737314.5	177
14	3	17240075	17240209	17240142	134
14	3	19555252	19557061	19556156.5	1809
14	4	8397582	8399352	8398467	1770
14	4	9567611	9568339	9567975	728
14	5	6951113	6951857	6951485	744
14	5	19367476	19368236	19367856	760
14	5	21283829	21284011	21283920	182
14	5	24615071	24615859	24615465	788
15	1	12502802	12502921	12502861.5	119
15	1	28856206	28859116	28857661	2910
15	2	11756084	11756441	11756262.5	357
15	2	17003052	17004248	17003650	1196
15	3	1621563	1622545	1622054	982
15	3	16622513	16624353	16623433	1840
15	4	526673	526874	526773.5	201
15	4	18001566	18002419	18001992.5	853
16	1	28234654	28238620	28236637	3966
16	1	30037691	30037771	30037731	80
16	3	18992075	18992601	18992338	526
16	3	19595156	19595927	19595541.5	771
16	5	2464698	2465663	2465180.5	965
16	5	6337115	6337945	6337530	830
16	5	21308388	21309698	21309043	1310
16	5	22813932	22816931	22815431.5	2999
16	5	25233780	25234489	25234134.5	709
16	5	26207071	26208591	26207831	1520
17	1	266733	266846	266789.5	113
17	1	4529000	4529181	4529090.5	181
