lib,chrs,start,stop,cos,width
85,Chr1,139081,141081,140081,2000
11,Chr1,177068,179068,178068,2000
72,Chr1,180345,182345,181345,2000
31,Chr1,558347,560347,559347,2000
49,Chr1,558347,560347,559347,2000
12,Chr1,627862,629862,628862,2000
63,Chr1,682081,684081,683081,2000
77,Chr1,774573,776573,775573,2000
84,Chr1,1548895,1550895,1549895,2000
28,Chr1,3086722,3088722,3087722,2000
25,Chr1,3447692,3449692,3448692,2000
69,Chr1,3894310,3896310,3895310,2000
96,Chr1,4477214,4479214,4478214,2000
7,Chr1,4598175,4600175,4599175,2000
80,Chr1,4675879,4677879,4676879,2000
75,Chr1,4861797,4863797,4862797,2000
38,Chr1,4864646,4866646,4865646,2000
35,Chr1,7042831,7044831,7043831,2000
71,Chr1,7153486,7155486,7154486,2000
5,Chr1,7325456,7327456,7326456,2000
83,Chr1,7351752,7353752,7352752,2000
36,Chr1,7406160,7408160,7407160,2000
14,Chr1,7694813,7696813,7695813,2000
57,Chr1,7727585,7729585,7728585,2000
38,Chr1,7746326,7748326,7747326,2000
55,Chr1,7787473,7789473,7788473,2000
8,Chr1,7859136,7861136,7860136,2000
2,Chr1,7941305,7943305,7942305,2000
71,Chr1,7948631,7950631,7949631,2000
49,Chr1,7972348,7974348,7973348,2000
41,Chr1,7985055,7987055,7986055,2000
49,Chr1,8033120,8035120,8034120,2000
89,Chr1,8146336,8148336,8147336,2000
22,Chr1,8155838,8157838,8156838,2000
17,Chr1,8315025,8317025,8316025,2000
23,Chr1,8315025,8317025,8316025,2000
90,Chr1,8318690,8320690,8319690,2000
59,Chr1,8397453,8399453,8398453,2000
73,Chr1,8553741,8555741,8554741,2000
87,Chr1,8941374,8943374,8942374,2000
30,Chr1,9006479,9008479,9007479,2000
44,Chr1,9248898,9250898,9249898,2000
1,Chr1,9371969,9373969,9372969,2000
62,Chr1,9372388,9374388,9373388,2000
6,Chr1,9477192,9479192,9478192,2000
20,Chr1,9491369,9493369,9492369,2000
91,Chr1,9522145,9524145,9523145,2000
88,Chr1,9993784,9995784,9994784,2000
30,Chr1,10098193,10100193,10099193,2000
54,Chr1,10168179,10170179,10169179,2000
48,Chr1,10971767,10973767,10972767,2000
20,Chr1,10979248,10981248,10980248,2000
1,Chr1,11036886,11038886,11037886,2000
68,Chr1,11298195,11300195,11299195,2000
78,Chr1,11461503,11463503,11462503,2000
20,Chr1,11493108,11495108,11494108,2000
5,Chr1,11495343,11497343,11496343,2000
94,Chr1,11495343,11497343,11496343,2000
93,Chr1,11496965,11498965,11497965,2000
51,Chr1,11643329,11645329,11644329,2000
89,Chr1,11840587,11842587,11841587,2000
58,Chr1,11975306,11977306,11976306,2000
94,Chr1,12185601,12187601,12186601,2000
18,Chr1,12239431,12241431,12240431,2000
56,Chr1,12277893,12279893,12278893,2000
35,Chr1,12281710,12283710,12282710,2000
16,Chr1,12302831,12304831,12303831,2000
65,Chr1,12455219,12457219,12456219,2000
72,Chr1,12475148,12477148,12476148,2000
18,Chr1,12502572,12504572,12503572,2000
67,Chr1,12537676,12539676,12538676,2000
85,Chr1,12636745,12638745,12637745,2000
64,Chr1,12644248,12646248,12645248,2000
66,Chr1,12683013,12685013,12684013,2000
70,Chr1,12948664,12950664,12949664,2000
3,Chr1,12949720,12951720,12950720,2000
32,Chr1,12976140,12978140,12977140,2000
95,Chr1,13042553,13044553,13043553,2000
26,Chr1,13086147,13088147,13087147,2000
10,Chr1,13121330,13123330,13122330,2000
83,Chr1,13126738,13128738,13127738,2000
13,Chr1,13150075,13152075,13151075,2000
37,Chr1,13263362,13265362,13264362,2000
43,Chr1,13325289,13327289,13326289,2000
64,Chr1,13329554,13331554,13330554,2000
77,Chr1,14259962,14261962,14260962,2000
91,Chr1,14341392,14343392,14342392,2000
73,Chr1,18236636,18238636,18237636,2000
22,Chr1,18249708,18251708,18250708,2000
13,Chr1,18252596,18254596,18253596,2000
60,Chr1,18253442,18255442,18254442,2000
90,Chr1,18253553,18255553,18254553,2000
31,Chr1,18389569,18391569,18390569,2000
53,Chr1,18551784,18553784,18552784,2000
92,Chr1,18593575,18595575,18594575,2000
82,Chr1,18612935,18614935,18613935,2000
17,Chr1,18700805,18702805,18701805,2000
52,Chr1,18762817,18764817,18763817,2000
86,Chr1,18765364,18767364,18766364,2000
41,Chr1,18896782,18898782,18897782,2000
19,Chr1,18996068,18998068,18997068,2000
2,Chr1,18996171,18998171,18997171,2000
7,Chr1,19008847,19010847,19009847,2000
10,Chr1,19031823,19033823,19032823,2000
60,Chr1,19041168,19043168,19042168,2000
69,Chr1,19043864,19045864,19044864,2000
75,Chr1,19047642,19049642,19048642,2000
52,Chr1,19187444,19189444,19188444,2000
70,Chr1,19255805,19257805,19256805,2000
47,Chr1,19300038,19302038,19301038,2000
84,Chr1,19339212,19341212,19340212,2000
12,Chr1,19342079,19344079,19343079,2000
31,Chr1,19359333,19361333,19360333,2000
39,Chr1,19407710,19409710,19408710,2000
9,Chr1,19516404,19518404,19517404,2000
15,Chr1,19988927,19990927,19989927,2000
46,Chr1,19990528,19992528,19991528,2000
25,Chr1,20048201,20050201,20049201,2000
63,Chr1,20172285,20174285,20173285,2000
24,Chr1,20482609,20484609,20483609,2000
2,Chr1,21583312,21585312,21584312,2000
71,Chr1,21707971,21709971,21708971,2000
38,Chr1,21715235,21717235,21716235,2000
21,Chr1,22163102,22165102,22164102,2000
88,Chr1,22330211,22332211,22331211,2000
12,Chr1,23312305,23314305,23313305,2000
1,Chr1,23328790,23330790,23329790,2000
29,Chr1,23795412,23797412,23796412,2000
37,Chr1,24101747,24103747,24102747,2000
56,Chr1,24276468,24278468,24277468,2000
24,Chr1,24621060,24623060,24622060,2000
50,Chr1,24836665,24838665,24837665,2000
55,Chr1,25041279,25043279,25042279,2000
59,Chr1,25044912,25046912,25045912,2000
17,Chr1,25092107,25094107,25093107,2000
18,Chr1,25151427,25153427,25152427,2000
8,Chr1,25349526,25351526,25350526,2000
10,Chr1,25366877,25368877,25367877,2000
49,Chr1,25496344,25498344,25497344,2000
85,Chr1,25531579,25533579,25532579,2000
30,Chr1,25871960,25873960,25872960,2000
36,Chr1,26025547,26027547,26026547,2000
68,Chr1,26354386,26356386,26355386,2000
5,Chr1,26417661,26419661,26418661,2000
57,Chr1,26561793,26563793,26562793,2000
34,Chr1,26590543,26592543,26591543,2000
35,Chr1,26868246,26870246,26869246,2000
77,Chr1,27531427,27533427,27532427,2000
34,Chr1,27762677,27764677,27763677,2000
3,Chr1,27871619,27873619,27872619,2000
16,Chr1,28051248,28053248,28052248,2000
79,Chr1,28238874,28240874,28239874,2000
43,Chr1,28382135,28384135,28383135,2000
83,Chr1,28628675,28630675,28629675,2000
88,Chr1,28641318,28643318,28642318,2000
54,Chr1,28785593,28787593,28786593,2000
45,Chr1,28918133,28920133,28919133,2000
13,Chr1,30097861,30099861,30098861,2000
89,Chr1,30391245,30393245,30392245,2000
32,Chr1,30521728,30523728,30522728,2000
33,Chr1,30609452,30611452,30610452,2000
67,Chr1,30701519,30703519,30702519,2000
95,Chr1,31128419,31130419,31129419,2000
7,Chr1,31321458,31323458,31322458,2000
80,Chr1,31490036,31492036,31491036,2000
68,Chr1,31593686,31595686,31594686,2000
93,Chr1,31855119,31857119,31856119,2000
58,Chr1,32261747,32263747,32262747,2000
54,Chr1,32314410,32316410,32315410,2000
34,Chr2,218465,220465,219465,2000
29,Chr2,361893,363893,362893,2000
2,Chr2,407306,409306,408306,2000
77,Chr2,463613,465613,464613,2000
66,Chr2,493099,495099,494099,2000
56,Chr2,511969,513969,512969,2000
90,Chr2,546491,548491,547491,2000
30,Chr2,548711,550711,549711,2000
87,Chr2,581304,583304,582304,2000
88,Chr2,624045,626045,625045,2000
69,Chr2,625583,627583,626583,2000
44,Chr2,683948,685948,684948,2000
89,Chr2,745467,747467,746467,2000
25,Chr2,783292,785292,784292,2000
45,Chr2,857582,859582,858582,2000
78,Chr2,874700,876700,875700,2000
12,Chr2,878271,880271,879271,2000
26,Chr2,957266,959266,958266,2000
84,Chr2,992555,994555,993555,2000
74,Chr2,1255447,1257447,1256447,2000
24,Chr2,1302313,1304313,1303313,2000
93,Chr2,1481523,1483523,1482523,2000
46,Chr2,1545657,1547657,1546657,2000
55,Chr2,1616711,1618711,1617711,2000
95,Chr2,1680818,1682818,1681818,2000
13,Chr2,1681066,1683066,1682066,2000
15,Chr2,1989347,1991347,1990347,2000
29,Chr2,2045470,2047470,2046470,2000
7,Chr2,2045709,2047709,2046709,2000
49,Chr2,2141074,2143074,2142074,2000
65,Chr2,2141737,2143737,2142737,2000
72,Chr2,2142311,2144311,2143311,2000
54,Chr2,2233063,2235063,2234063,2000
60,Chr2,2270209,2272209,2271209,2000
8,Chr2,2288586,2290586,2289586,2000
35,Chr2,2338291,2340291,2339291,2000
90,Chr2,2376967,2378967,2377967,2000
11,Chr2,2392128,2394128,2393128,2000
38,Chr2,2411462,2413462,2412462,2000
6,Chr2,2432957,2434957,2433957,2000
75,Chr2,3011109,3013109,3012109,2000
10,Chr2,6871341,6873341,6872341,2000
96,Chr2,7390076,7392076,7391076,2000
50,Chr2,8181109,8183109,8182109,2000
41,Chr2,8424671,8426671,8425671,2000
91,Chr2,8437631,8439631,8438631,2000
42,Chr2,8537264,8539264,8538264,2000
21,Chr2,8790515,8792515,8791515,2000
39,Chr2,8803475,8805475,8804475,2000
84,Chr2,8828169,8830169,8829169,2000
51,Chr2,8850866,8852866,8851866,2000
68,Chr2,8857102,8859102,8858102,2000
21,Chr2,8885269,8887269,8886269,2000
25,Chr2,8896105,8898105,8897105,2000
32,Chr2,9015771,9017771,9016771,2000
73,Chr2,9022699,9024699,9023699,2000
1,Chr2,9043241,9045241,9044241,2000
89,Chr2,9046130,9048130,9047130,2000
4,Chr2,9135733,9137733,9136733,2000
38,Chr2,9176940,9178940,9177940,2000
62,Chr2,9184752,9186752,9185752,2000
52,Chr2,9203050,9205050,9204050,2000
67,Chr2,9305498,9307498,9306498,2000
53,Chr2,9307824,9309824,9308824,2000
3,Chr2,9312859,9314859,9313859,2000
16,Chr2,9346299,9348299,9347299,2000
37,Chr2,9351885,9353885,9352885,2000
92,Chr2,9352446,9354446,9353446,2000
30,Chr2,9462503,9464503,9463503,2000
83,Chr2,9566364,9568364,9567364,2000
47,Chr2,9580771,9582771,9581771,2000
51,Chr2,9693304,9695304,9694304,2000
14,Chr2,9715731,9717731,9716731,2000
69,Chr2,10035361,10037361,10036361,2000
46,Chr2,10147575,10149575,10148575,2000
30,Chr2,10209620,10211620,10210620,2000
2,Chr2,10371838,10373838,10372838,2000
39,Chr2,10795417,10797417,10796417,2000
8,Chr2,11495329,11497329,11496329,2000
54,Chr2,12080112,12082112,12081112,2000
18,Chr2,12124435,12126435,12125435,2000
63,Chr2,12310368,12312368,12311368,2000
49,Chr2,12350355,12352355,12351355,2000
69,Chr2,12429078,12431078,12430078,2000
15,Chr2,12448010,12450010,12449010,2000
82,Chr2,12555913,12557913,12556913,2000
48,Chr2,12715229,12717229,12716229,2000
33,Chr2,14237907,14239907,14238907,2000
31,Chr2,14265295,14267295,14266295,2000
57,Chr2,14708870,14710870,14709870,2000
20,Chr2,14757793,14759793,14758793,2000
55,Chr2,14789063,14791063,14790063,2000
7,Chr2,14874891,14876891,14875891,2000
9,Chr2,14939391,14941391,14940391,2000
42,Chr2,15110592,15112592,15111592,2000
90,Chr2,15280468,15282468,15281468,2000
9,Chr2,15284379,15286379,15285379,2000
94,Chr2,15332957,15334957,15333957,2000
81,Chr2,15441513,15443513,15442513,2000
22,Chr2,17409810,17411810,17410810,2000
68,Chr2,17623704,17625704,17624704,2000
93,Chr2,17665478,17667478,17666478,2000
2,Chr2,17878932,17880932,17879932,2000
1,Chr2,17892381,17894381,17893381,2000
72,Chr2,18240583,18242583,18241583,2000
84,Chr2,18291104,18293104,18292104,2000
66,Chr2,18382073,18384073,18383073,2000
10,Chr2,18490739,18492739,18491739,2000
94,Chr2,18572485,18574485,18573485,2000
77,Chr2,18710717,18712717,18711717,2000
18,Chr2,19094048,19096048,19095048,2000
66,Chr2,19439834,19441834,19440834,2000
95,Chr2,20622639,20624639,20623639,2000
56,Chr2,20911056,20913056,20912056,2000
8,Chr2,21051153,21053153,21052153,2000
63,Chr2,21164874,21166874,21165874,2000
64,Chr2,21213196,21215196,21214196,2000
75,Chr2,21238017,21240017,21239017,2000
3,Chr2,21255915,21257915,21256915,2000
88,Chr2,21693766,21695766,21694766,2000
36,Chr2,21747028,21749028,21748028,2000
71,Chr2,21978785,21980785,21979785,2000
84,Chr2,22098056,22100056,22099056,2000
17,Chr3,309869,311869,310869,2000
22,Chr3,598787,600787,599787,2000
56,Chr3,1270717,1272717,1271717,2000
48,Chr3,1319652,1321652,1320652,2000
94,Chr3,2582182,2584182,2583182,2000
85,Chr3,2831083,2833083,2832083,2000
65,Chr3,3425404,3427404,3426404,2000
43,Chr3,3508743,3510743,3509743,2000
89,Chr3,3859650,3861650,3860650,2000
83,Chr3,4750425,4752425,4751425,2000
44,Chr3,5198025,5200025,5199025,2000
90,Chr3,5321760,5323760,5322760,2000
34,Chr3,5503961,5505961,5504961,2000
31,Chr3,5651080,5653080,5652080,2000
77,Chr3,5861983,5863983,5862983,2000
85,Chr3,6278063,6280063,6279063,2000
63,Chr3,6676963,6678963,6677963,2000
4,Chr3,6691634,6693634,6692634,2000
91,Chr3,6745141,6747141,6746141,2000
4,Chr3,7478998,7480998,7479998,2000
58,Chr3,7647144,7649144,7648144,2000
10,Chr3,7651702,7653702,7652702,2000
26,Chr3,7939976,7941976,7940976,2000
94,Chr3,8064282,8066282,8065282,2000
96,Chr3,8132793,8134793,8133793,2000
54,Chr3,8232119,8234119,8233119,2000
38,Chr3,8559734,8561734,8560734,2000
83,Chr3,8693838,8695838,8694838,2000
25,Chr3,8937169,8939169,8938169,2000
90,Chr3,8989267,8991267,8990267,2000
87,Chr3,9014893,9016893,9015893,2000
55,Chr3,9216015,9218015,9217015,2000
33,Chr3,9224782,9226782,9225782,2000
29,Chr3,9348792,9350792,9349792,2000
22,Chr3,9471576,9473576,9472576,2000
8,Chr3,9484631,9486631,9485631,2000
53,Chr3,9814561,9816561,9815561,2000
96,Chr3,10030202,10032202,10031202,2000
7,Chr3,10055177,10057177,10056177,2000
26,Chr3,10082191,10084191,10083191,2000
70,Chr3,10240287,10242287,10241287,2000
28,Chr3,10343610,10345610,10344610,2000
71,Chr3,10365511,10367511,10366511,2000
62,Chr3,10510591,10512591,10511591,2000
46,Chr3,10541593,10543593,10542593,2000
39,Chr3,10654944,10656944,10655944,2000
12,Chr3,10713578,10715578,10714578,2000
64,Chr3,10747844,10749844,10748844,2000
9,Chr3,10761922,10763922,10762922,2000
51,Chr3,10845761,10847761,10846761,2000
58,Chr3,10862870,10864870,10863870,2000
10,Chr3,10885859,10887859,10886859,2000
52,Chr3,10891652,10893652,10892652,2000
95,Chr3,10903840,10905840,10904840,2000
41,Chr3,10958103,10960103,10959103,2000
65,Chr3,10958634,10960634,10959634,2000
55,Chr3,10967329,10969329,10968329,2000
1,Chr3,10992827,10994827,10993827,2000
56,Chr3,11029576,11031576,11030576,2000
3,Chr3,11056358,11058358,11057358,2000
37,Chr3,11132135,11134135,11133135,2000
50,Chr3,11169516,11171516,11170516,2000
19,Chr3,11221670,11223670,11222670,2000
29,Chr3,11225987,11227987,11226987,2000
77,Chr3,11392130,11394130,11393130,2000
18,Chr3,11472686,11474686,11473686,2000
92,Chr3,11535880,11537880,11536880,2000
66,Chr3,11732645,11734645,11733645,2000
54,Chr3,11752757,11754757,11753757,2000
76,Chr3,11818849,11820849,11819849,2000
53,Chr3,11821094,11823094,11822094,2000
73,Chr3,11842714,11844714,11843714,2000
38,Chr3,12370316,12372316,12371316,2000
13,Chr3,12377261,12379261,12378261,2000
30,Chr3,17192851,17194851,17193851,2000
59,Chr3,17451379,17453379,17452379,2000
89,Chr3,17451518,17453518,17452518,2000
19,Chr3,17884609,17886609,17885609,2000
