lib	chr	start	end	gt
results/06_tiger/lib10_MappedOn_tair10	5	1	9969044	LL
results/06_tiger/lib10_MappedOn_tair10	5	9969375	22277559	CL
results/06_tiger/lib10_MappedOn_tair10	5	22278703	26975502	LL
results/06_tiger/lib12_MappedOn_tair10	3	1	1121465	CC
results/06_tiger/lib12_MappedOn_tair10	3	1122294	14811793	CL
results/06_tiger/lib12_MappedOn_tair10	3	14812859	15703814	CC
results/06_tiger/lib13_MappedOn_tair10	1	1	8354852	CC
results/06_tiger/lib13_MappedOn_tair10	1	8355045	16643504	CL
results/06_tiger/lib13_MappedOn_tair10	1	16643665	23577940	CC
results/06_tiger/lib13_MappedOn_tair10	5	1	7811026	LL
results/06_tiger/lib13_MappedOn_tair10	5	7812011	21292983	CL
results/06_tiger/lib13_MappedOn_tair10	5	21293186	26975502	LL
results/06_tiger/lib20_MappedOn_tair10	1	1	432021	LL
results/06_tiger/lib20_MappedOn_tair10	1	432547	17248322	CL
results/06_tiger/lib20_MappedOn_tair10	1	17248343	20236696	LL
results/06_tiger/lib21_MappedOn_tair10	5	1	497253	CC
results/06_tiger/lib21_MappedOn_tair10	5	497380	6414528	CL
results/06_tiger/lib21_MappedOn_tair10	5	6414575	9075489	CC
results/06_tiger/lib23_MappedOn_tair10	3	1	906192	CC
results/06_tiger/lib23_MappedOn_tair10	3	906827	8858623	CL
results/06_tiger/lib23_MappedOn_tair10	3	8858872	19948548	CC
results/06_tiger/lib27_MappedOn_tair10	3	1	3948135	LL
results/06_tiger/lib27_MappedOn_tair10	3	3948751	23261142	CL
results/06_tiger/lib27_MappedOn_tair10	3	23261229	23459830	LL
results/06_tiger/lib3_MappedOn_tair10	5	1	8146241	CC
results/06_tiger/lib3_MappedOn_tair10	5	8146842	25975808	CL
results/06_tiger/lib3_MappedOn_tair10	5	25976643	26975502	CC
results/06_tiger/lib30_MappedOn_tair10	5	1	13593377	CC
results/06_tiger/lib30_MappedOn_tair10	5	13593668	25739216	CL
results/06_tiger/lib30_MappedOn_tair10	5	25739673	26975502	CC
results/06_tiger/lib32_MappedOn_tair10	1	8431089	16471958	CC
results/06_tiger/lib32_MappedOn_tair10	1	16472503	23189519	CL
results/06_tiger/lib32_MappedOn_tair10	1	23189900	30427671	CC
results/06_tiger/lib34_MappedOn_tair10	3	5560423	9377671	CC
results/06_tiger/lib34_MappedOn_tair10	3	9377864	10767910	CL
results/06_tiger/lib34_MappedOn_tair10	3	10772633	23459830	CC
results/06_tiger/lib39_MappedOn_tair10	1	4296538	7172709	CC
