lib	chr	start	end	cos	width
1	3	1507025	1508190	1507607	1165
1	3	18477141	18477457	18477299	316
1	5	7752619	7752722	7752671	103
1	5	24374404	24374842	24374623	438
2	5	9969044	9969375	9969210	331
2	5	22277559	22278703	22278131	1144
3	2	10804156	10805000	10804578	844
3	2	19489551	19489799	19489675	248
3	4	79904	80055	79980	151
3	4	11646371	11648174	11647273	1803
6	1	6772739	6773774	6773257	1035
6	1	28651893	28707111	28679502	55218
9	1	8355045	8355186	8355115	141
9	1	16642782	16643196	16642989	414
9	5	7810197	7810390	7810293	193
9	5	21288933	21291254	21290093	2321
12	5	2367234	2367483	2367358	249
12	5	16842897	16843192	16843045	295
15	1	9955811	9955866	9955839	55
15	1	20493296	20496195	20494746	2899
15	4	6821928	6823194	6822561	1266
15	4	11490352	11490440	11490396	88
16	5	497370	497380	497375	10
16	5	6411387	6412204	6411795	817
17	5	9517427	9518089	9517758	662
17	5	18212536	18212702	18212619	166
19	4	119731	120416	120073	685
19	4	17230031	17231366	17230699	1335
23	1	15923472	15923528	15923500	56
23	1	29198915	29199476	29199195	561
24	5	4158621	4159259	4158940	638
24	5	26515605	26515633	26515619	28
28	5	22175401	22175635	22175518	234
28	5	26254090	26254698	26254394	608
29	1	1073161	1074092	1073627	931
29	1	23354232	23354349	23354290	117
30	3	1121465	1122294	1121879	829
30	3	14811716	14812859	14812288	1143
35	2	618345	618596	618471	251
35	2	19104354	19105725	19105040	1371
36	3	1352623	1353199	1352911	576
36	3	18780226	18780414	18780320	188
37	1	10056800	10057433	10057116	633
37	1	19321413	19321584	19321499	171
39	1	7118491	7120370	7119431	1879
39	1	18364561	18365892	18365227	1331
40	1	432021	432547	432284	526
40	1	17248322	17248343	17248332	21
47	5	231011	231438	231225	427
47	5	8698886	8699167	8699026	281
