lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,8345334,8346100,8345717,766
results/06_tiger/lib1_MappedOn_tair10,Chr1,16642993,16643196,16643095,203
results/06_tiger/lib1_MappedOn_tair10,Chr3,1051451,1054190,1052821,2739
results/06_tiger/lib1_MappedOn_tair10,Chr3,18205185,18205256,18205221,71
results/06_tiger/lib1_MappedOn_tair10,Chr4,10267420,10267666,10267543,246
results/06_tiger/lib10_MappedOn_tair10,Chr1,3589889,3592074,3590981,2185
results/06_tiger/lib10_MappedOn_tair10,Chr1,17804955,17806487,17805721,1532
results/06_tiger/lib10_MappedOn_tair10,Chr1,24643347,24643433,24643390,86
results/06_tiger/lib10_MappedOn_tair10,Chr3,9494761,9494813,9494787,52
results/06_tiger/lib10_MappedOn_tair10,Chr3,11530816,11531209,11531012,393
results/06_tiger/lib10_MappedOn_tair10,Chr5,7269581,7269856,7269719,275
results/06_tiger/lib11_MappedOn_tair10,Chr1,13281154,13281248,13281201,94
results/06_tiger/lib11_MappedOn_tair10,Chr1,17269997,17270074,17270035,77
results/06_tiger/lib11_MappedOn_tair10,Chr2,6689371,6690012,6689691,641
results/06_tiger/lib11_MappedOn_tair10,Chr3,6250651,6250949,6250800,298
results/06_tiger/lib11_MappedOn_tair10,Chr4,7272687,7274195,7273441,1508
results/06_tiger/lib11_MappedOn_tair10,Chr5,769470,769592,769531,122
results/06_tiger/lib12_MappedOn_tair10,Chr1,7495655,7495657,7495656,2
results/06_tiger/lib12_MappedOn_tair10,Chr2,11967217,11968803,11968010,1586
results/06_tiger/lib12_MappedOn_tair10,Chr3,9493582,9493752,9493667,170
results/06_tiger/lib12_MappedOn_tair10,Chr4,851262,852842,852052,1580
results/06_tiger/lib12_MappedOn_tair10,Chr4,15938582,15941184,15939883,2602
results/06_tiger/lib12_MappedOn_tair10,Chr5,5437006,5437808,5437407,802
results/06_tiger/lib12_MappedOn_tair10,Chr5,9469794,9470495,9470144,701
results/06_tiger/lib12_MappedOn_tair10,Chr5,26763997,26764042,26764019,45
results/06_tiger/lib13_MappedOn_tair10,Chr1,6966310,6967202,6966756,892
results/06_tiger/lib13_MappedOn_tair10,Chr1,27642926,27643450,27643188,524
results/06_tiger/lib13_MappedOn_tair10,Chr2,9247382,9248719,9248050,1337
results/06_tiger/lib13_MappedOn_tair10,Chr3,5897068,5897592,5897330,524
results/06_tiger/lib13_MappedOn_tair10,Chr3,11745643,11745684,11745663,41
