lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,12583284,12583906,12583595,622
results/06_tiger/lib1_MappedOn_tair10,Chr1,26078886,26079004,26078945,118
results/06_tiger/lib1_MappedOn_tair10,Chr2,5934464,5935892,5935178,1428
results/06_tiger/lib1_MappedOn_tair10,Chr3,19012917,19013071,19012994,154
results/06_tiger/lib1_MappedOn_tair10,Chr4,9924999,9925292,9925145,293
results/06_tiger/lib1_MappedOn_tair10,Chr5,8228721,8228880,8228801,159
results/06_tiger/lib1_MappedOn_tair10,Chr5,13773083,13773820,13773451,737
results/06_tiger/lib10_MappedOn_tair10,Chr1,16135421,16135667,16135544,246
results/06_tiger/lib10_MappedOn_tair10,Chr3,9838140,9838715,9838428,575
results/06_tiger/lib10_MappedOn_tair10,Chr3,19579673,19579776,19579725,103
results/06_tiger/lib10_MappedOn_tair10,Chr4,5642287,5642458,5642373,171
results/06_tiger/lib10_MappedOn_tair10,Chr4,9066929,9067078,9067003,149
results/06_tiger/lib10_MappedOn_tair10,Chr5,10783944,10784420,10784182,476
results/06_tiger/lib10_MappedOn_tair10,Chr5,13880507,13880551,13880529,44
results/06_tiger/lib10_MappedOn_tair10,Chr5,26872505,26872642,26872573,137
results/06_tiger/lib11_MappedOn_tair10,Chr1,12519787,12519897,12519842,110
results/06_tiger/lib11_MappedOn_tair10,Chr1,16737379,16737554,16737467,175
results/06_tiger/lib11_MappedOn_tair10,Chr1,27091471,27091768,27091619,297
results/06_tiger/lib11_MappedOn_tair10,Chr2,6500885,6501003,6500944,118
results/06_tiger/lib11_MappedOn_tair10,Chr3,7394642,7397662,7396152,3020
results/06_tiger/lib11_MappedOn_tair10,Chr3,11913118,11913313,11913216,195
results/06_tiger/lib11_MappedOn_tair10,Chr3,18367128,18367214,18367171,86
results/06_tiger/lib11_MappedOn_tair10,Chr4,6424119,6424499,6424309,380
results/06_tiger/lib11_MappedOn_tair10,Chr4,7010671,7013075,7011873,2404
results/06_tiger/lib12_MappedOn_tair10,Chr1,183623,207856,195739,24233
results/06_tiger/lib12_MappedOn_tair10,Chr1,26692698,26693218,26692958,520
results/06_tiger/lib12_MappedOn_tair10,Chr2,10443958,10444840,10444399,882
results/06_tiger/lib12_MappedOn_tair10,Chr2,10908701,10908881,10908791,180
results/06_tiger/lib12_MappedOn_tair10,Chr2,19360041,19361303,19360672,1262
results/06_tiger/lib12_MappedOn_tair10,Chr3,6520996,6521894,6521445,898
results/06_tiger/lib12_MappedOn_tair10,Chr3,7361987,7362159,7362073,172
results/06_tiger/lib12_MappedOn_tair10,Chr4,11272153,11272276,11272215,123
results/06_tiger/lib12_MappedOn_tair10,Chr5,2246586,2248139,2247362,1553
results/06_tiger/lib13_MappedOn_tair10,Chr1,4740751,4740890,4740821,139
results/06_tiger/lib13_MappedOn_tair10,Chr1,11382856,11383015,11382936,159
results/06_tiger/lib13_MappedOn_tair10,Chr2,5053030,5053042,5053036,12
results/06_tiger/lib13_MappedOn_tair10,Chr2,8580568,8581423,8580996,855
results/06_tiger/lib13_MappedOn_tair10,Chr3,9604011,9605043,9604527,1032
results/06_tiger/lib13_MappedOn_tair10,Chr4,85566,87255,86410,1689
results/06_tiger/lib13_MappedOn_tair10,Chr4,10932464,10932562,10932513,98
results/06_tiger/lib13_MappedOn_tair10,Chr5,8144421,8145148,8144785,727
results/06_tiger/lib13_MappedOn_tair10,Chr5,13700048,13700341,13700194,293
