lib	chr	start	end	cos	width
1	5	3479940	3480114	3480027	174
1	5	19453585	19453943	19453764	358
5	5	3526182	3526620	3526401	438
5	5	24635917	24636214	24636065	297
7	1	3745853	3746177	3746015	324
7	1	17495135	17495816	17495475	681
12	2	354421	355286	354853	865
12	2	13673564	13674110	13673837	546
19	2	102250	102920	102585	670
19	2	19173386	19174177	19173782	791
19	5	1609465	1610302	1609883	837
19	5	13700048	13700341	13700194	293
20	3	1127692	1128457	1128074	765
20	3	22790819	22791165	22790992	346
22	2	479089	479388	479239	299
22	2	3060062	3060163	3060112	101
24	1	2630076	2630806	2630441	730
24	1	13070651	13071106	13070879	455
27	3	18576295	18576751	18576523	456
27	3	20378045	20378085	20378065	40
29	5	10300913	10301025	10300969	112
29	5	22562587	22571233	22566910	8646
31	4	720418	721033	720726	615
31	4	12211626	12212056	12211841	430
34	5	10860258	10860398	10860328	140
34	5	22506537	22506975	22506756	438
36	3	267170	267722	267446	552
36	3	11289200	11289881	11289540	681
43	1	4870313	4871395	4870854	1082
43	1	24515094	24516237	24515666	1143
43	4	5386999	5387112	5387055	113
43	4	17808838	17814773	17811806	5935
52	5	15104230	15104257	15104244	27
52	5	26349649	26350108	26349879	459
53	1	3296696	3296840	3296768	144
53	1	16150583	16150719	16150651	136
53	5	3747612	3747895	3747754	283
53	5	18763504	18764123	18763814	619
55	5	782582	783375	782978	793
55	5	19004040	19004253	19004146	213
56	4	50404	56895	53650	6491
56	4	7190777	7191572	7191175	795
58	5	7003091	7004999	7004045	1908
58	5	15621230	15621643	15621436	413
60	5	621592	621710	621651	118
60	5	16653962	16654084	16654023	122
63	4	411023	412126	411575	1103
63	4	17820088	17820380	17820234	292
65	1	10620148	10621738	10620943	1590
65	1	26612845	26616062	26614453	3217
68	2	2269145	2269335	2269240	190
68	2	17723840	17725175	17724508	1335
72	2	180140	180481	180310	341
72	2	7181905	7182052	7181979	147
72	4	658667	658722	658695	55
72	4	13510364	13512245	13511304	1881
73	1	16897300	16897570	16897435	270
73	1	25583934	25593882	25588908	9948
75	4	914426	914459	914442	33
75	4	10740377	10740710	10740543	333
77	2	6949037	6949229	6949133	192
77	2	15617817	15619144	15618481	1327
78	5	6348585	6348647	6348616	62
78	5	15487889	15488255	15488072	366
80	3	7910922	7911825	7911374	903
80	3	11918950	11919071	11919010	121
84	2	5937573	5938305	5937939	732
84	2	12636194	12637338	12636766	1144
85	5	286921	290125	288523	3204
85	5	9076436	9076686	9076561	250
88	3	9605952	9605969	9605960	17
88	3	19497880	19497925	19497902	45
89	1	15981593	15981615	15981604	22
89	1	29646369	29648061	29647215	1692
89	2	1275028	1275470	1275249	442
89	2	18494403	18495032	18494717	629
90	3	2040731	2042383	2041557	1652
90	3	16458498	16458732	16458615	234
92	1	12956588	12956594	12956591	6
92	1	24406570	24406742	24406656	172
96	2	115089	115565	115327	476
96	2	12225387	12226000	12225693	613
99	1	12941405	12942069	12941737	664
99	1	25770070	25770401	25770236	331
101	5	2191851	2193243	2192547	1392
101	5	26366757	26367407	26367082	650
103	1	4594647	4595087	4594867	440
103	1	16886744	16887374	16887059	630
103	2	1926865	1927123	1926994	258
103	2	12365761	12365916	12365839	155
103	5	2120533	2120755	2120644	222
103	5	15379893	15380113	15380003	220
104	2	8986369	8986784	8986577	415
104	2	18536106	18536921	18536514	815
106	1	16909636	16910438	16910037	802
106	1	23265460	23265586	23265523	126
113	1	16577873	16581496	16579685	3623
113	1	22990711	22990798	22990755	87
113	5	17098952	17099846	17099399	894
113	5	21655322	21655494	21655408	172
114	2	9614678	9616693	9615686	2015
114	2	16582545	16582796	16582671	251
117	5	8706711	8708437	8707574	1726
117	5	26328573	26328722	26328647	149
120	5	3784284	3784704	3784494	420
120	5	26236016	26236558	26236287	542
121	1	3443575	3445192	3444383	1617
121	1	17915333	17916654	17915993	1321
121	4	5835200	5835480	5835340	280
121	4	16294941	16295149	16295045	208
122	3	10075214	10075343	10075278	129
122	3	19412245	19413370	19412807	1125
125	5	993402	993971	993686	569
125	5	24414356	24414514	24414435	158
126	2	429326	431023	430174	1697
126	2	6959560	6959586	6959573	26
