chrs,cum.start,cum.end,dat1.inside,dat1.outside,dat1.chr,dat1.relCo,dat2.inside,dat2.outside,dat2.chr,dat2.relCo,diff.relCo,pval,fdr,xsq.result
Chr1,1,1000000,123,14760,3610,0.008264462809917356,30,4527,1177,0.0065832784726793945,-0.0016811843372379611,0.2922851629990787,0.4970733481713364,ns
Chr1,100001,1100000,130,14753,3610,0.008734798091782571,31,4526,1177,0.006802721088435374,-0.0019320770033471974,0.2253238916817401,0.41526748417661835,ns
Chr1,200001,1200000,135,14748,3610,0.009070751864543439,35,4522,1177,0.007680491551459293,-0.0013902603130841453,0.4138442392750266,0.6229040718993054,ns
Chr1,300001,1300000,132,14751,3610,0.008869179600886918,42,4515,1177,0.009216589861751152,3.474102608642341e-4,0.8573062624056704,1,ns
Chr1,400001,1400000,130,14753,3610,0.008734798091782571,41,4516,1177,0.008997147245995173,2.623491542126013e-4,0.8563290555251619,1,ns
Chr1,500001,1500000,126,14757,3610,0.008466035073573876,41,4516,1177,0.008997147245995173,5.311121724212962e-4,0.714316077155755,0.897491505902083,ns
Chr1,600001,1600000,127,14756,3610,0.00853322582812605,52,4505,1177,0.01141101601931095,0.0028777901911848994,0.07672551736026706,0.19152316644096967,ns
Chr1,700001,1700000,107,14776,3610,0.0071894107370825775,50,4507,1177,0.010972130787798991,0.0037827200507164135,0.01759127744054784,0.06941707684623369,ns
Chr1,800001,1800000,97,14786,3610,0.006517503191560841,50,4507,1177,0.010972130787798991,0.00445462759623815,0.0032934814641879394,0.020970089709177315,diff
Chr1,900001,1900000,110,14773,3610,0.007390983000739098,59,4498,1177,0.01294711432960281,0.005556131328863711,6.9442160255783e-4,0.007958675410184522,diff
Chr1,1000001,2000000,109,14774,3610,0.007323792246186925,57,4500,1177,0.012508229098090849,0.005184436851903924,0.001639076407310022,0.013759889839710885,diff
Chr1,1100001,2100000,105,14778,3610,0.00705502922797823,56,4501,1177,0.01228878648233487,0.005233757254356639,0.001027337383456611,0.010097077905329004,diff
Chr1,1200001,2200000,94,14789,3610,0.00631593092790432,50,4507,1177,0.010972130787798991,0.004656199859894671,0.0020949295576425642,0.015777812325559425,diff
Chr1,1300001,2300000,98,14785,3610,0.006584693946113015,50,4507,1177,0.010972130787798991,0.004387436841685976,0.0045031693658528936,0.02558266044911256,diff
Chr1,1400001,2400000,106,14777,3610,0.007122219982530404,58,4499,1177,0.012727671713846828,0.005605451731316424,5.625286507876957e-4,0.006929091231197971,diff
Chr1,1500001,2500000,99,14784,3610,0.0066518847006651885,57,4500,1177,0.012508229098090849,0.00585634439742566,2.731283452863214e-4,0.004337146495028573,diff
Chr1,1600001,2600000,86,14797,3610,0.005778404891486931,41,4516,1177,0.008997147245995173,0.0032187423545082415,0.020829490039871845,0.0784463954465418,ns
Chr1,1700001,2700000,94,14789,3610,0.00631593092790432,43,4514,1177,0.009436032477507132,0.0031201015496028113,0.03312848871498227,0.10623685675510129,ns
Chr1,1800001,2800000,97,14786,3610,0.006517503191560841,43,4514,1177,0.009436032477507132,0.0029185292859462905,0.045255927979087805,0.13284479527046264,ns
Chr1,1900001,2900000,96,14787,3610,0.006450312437008668,43,4514,1177,0.009436032477507132,0.002985720040498464,0.0439055930146591,0.13151720816663795,ns
Chr1,2000001,3000000,95,14788,3610,0.006383121682456494,45,4512,1177,0.009874917709019092,0.0034917960265625977,0.02074105921347252,0.0784463954465418,ns
Chr1,2100001,3100000,97,14786,3610,0.006517503191560841,46,4511,1177,0.010094360324775072,0.0035768571332142306,0.017068683158603184,0.06817128606981514,ns
Chr1,2200001,3200000,92,14791,3610,0.006181549418799973,44,4513,1177,0.009655475093263111,0.0034739256744631382,0.01895946789851716,0.07328028941421003,ns
Chr1,2300001,3300000,83,14800,3610,0.00557683262783041,45,4512,1177,0.009874917709019092,0.004298085081188682,0.0031443137657756657,0.02051586902619964,diff
Chr1,2400001,3400000,80,14803,3610,0.00537526036417389,39,4518,1177,0.008558262014483212,0.0031830016503093224,0.022007583251909373,0.0819378382090863,ns
Chr1,2500001,3500000,74,14809,3610,0.004972115836860848,40,4517,1177,0.008777704630239193,0.003805588793378345,0.0052420580806446316,0.028432232717241254,diff
Chr1,2600001,3600000,79,14804,3610,0.005308069609621716,42,4515,1177,0.009216589861751152,0.003908520252129436,0.004904083901863438,0.02707413361268641,diff
Chr1,2700001,3700000,70,14813,3610,0.004703352818652153,36,4521,1177,0.007899934167215274,0.0031965813485631206,0.015149266064402206,0.06162571812617934,ns
Chr1,2800001,3800000,75,14808,3610,0.005039306591413021,41,4516,1177,0.008997147245995173,0.003957840654582151,0.003987507215856421,0.023997874477163297,diff
Chr1,2900001,3900000,74,14809,3610,0.004972115836860848,35,4522,1177,0.007680491551459293,0.0027083757145984454,0.04050406431000385,0.12357489990876175,ns
Chr1,3000001,4000000,77,14806,3610,0.005173688100517369,34,4523,1177,0.007461048935703314,0.002287360835185945,0.09093154646403763,0.21786914630109297,ns
Chr1,3100001,4100000,86,14797,3610,0.005778404891486931,38,4519,1177,0.008338819398727233,0.0025604145072403014,0.06982777770578245,0.17835854848104898,ns
Chr1,3200001,4200000,102,14781,3610,0.006853456964321709,42,4515,1177,0.009216589861751152,0.002363132897429443,0.11375003589178524,0.2571570279680497,ns
Chr1,3300001,4300000,130,14753,3610,0.008734798091782571,42,4515,1177,0.009216589861751152,4.817917699685807e-4,0.786199233620227,0.9594542499180178,ns
Chr1,3400001,4400000,134,14749,3610,0.009003561109991265,45,4512,1177,0.009874917709019092,8.713565990278276e-4,0.5950292201072668,0.7881894593983694,ns
Chr1,3500001,4500000,135,14748,3610,0.009070751864543439,42,4515,1177,0.009216589861751152,1.4583799720771333e-4,0.9290272593284502,1,ns
Chr1,3600001,4600000,134,14749,3610,0.009003561109991265,46,4511,1177,0.010094360324775072,0.001090799214783807,0.4808507556223799,0.6903717820373603,ns
Chr1,3700001,4700000,139,14744,3610,0.009339514882752134,48,4509,1177,0.01053324555628703,0.0011937306735348967,0.48766147222931805,0.6956037017296982,ns
Chr1,3800001,4800000,138,14745,3610,0.00927232412819996,47,4510,1177,0.010313802940531051,0.0010414788123310915,0.5415739093052595,0.7486578215846806,ns
Chr1,3900001,4900000,138,14745,3610,0.00927232412819996,51,4506,1177,0.01119157340355497,0.001919249275355011,0.26177864090801306,0.45698575988974993,ns
Chr1,4000001,5000000,144,14739,3610,0.009675468655513001,52,4505,1177,0.01141101601931095,0.0017355473637979488,0.3093947455601466,0.5138684258011417,ns
Chr1,4100001,5100000,134,14749,3610,0.009003561109991265,49,4508,1177,0.010752688172043012,0.001749127062051747,0.2928062187971156,0.4973177788332453,ns
Chr1,4200001,5200000,126,14757,3610,0.008466035073573876,46,4511,1177,0.010094360324775072,0.0016283252512011952,0.31979902241711217,0.5268688894321922,ns
Chr1,4300001,5300000,96,14787,3610,0.006450312437008668,39,4518,1177,0.008558262014483212,0.0021079495774745443,0.15279002031879074,0.31221278570568406,ns
Chr1,4400001,5400000,95,14788,3610,0.006383121682456494,45,4512,1177,0.009874917709019092,0.0034917960265625977,0.02074105921347252,0.0784463954465418,ns
Chr1,4500001,5500000,98,14785,3610,0.006584693946113015,54,4503,1177,0.01184990125082291,0.005265207304709895,7.170590990346791e-4,0.008081780008108474,diff
Chr1,4600001,5600000,87,14796,3610,0.005845595646039105,51,4506,1177,0.01119157340355497,0.005345977757515865,3.676864708713079e-4,0.005325393061630592,diff
Chr1,4700001,5700000,86,14797,3610,0.005778404891486931,55,4502,1177,0.01206934386657889,0.006290938975091959,3.508274323342431e-5,0.001284418210601479,diff
Chr1,4800001,5800000,75,14808,3610,0.005039306591413021,50,4507,1177,0.010972130787798991,0.00593282419638597,4.399362993953373e-5,0.001480685135684982,diff
Chr1,4900001,5900000,70,14813,3610,0.004703352818652153,45,4512,1177,0.009874917709019092,0.005171564890366939,1.5391113082486378e-4,0.0028979267203881496,diff
Chr1,5000001,6000000,59,14824,3610,0.003964254518578243,45,4512,1177,0.009874917709019092,0.005910663190440849,7.3187159579182e-6,6.028792270335117e-4,diff
Chr1,5100001,6100000,59,14824,3610,0.003964254518578243,45,4512,1177,0.009874917709019092,0.005910663190440849,7.3187159579182e-6,6.028792270335117e-4,diff
Chr1,5200001,6200000,56,14827,3610,0.003762682254921723,43,4514,1177,0.009436032477507132,0.005673350222585409,1.2208341343353474e-5,7.662187566923751e-4,diff
Chr1,5300001,6300000,62,14821,3610,0.004165826782234765,46,4511,1177,0.010094360324775072,0.005928533542540307,1.0508696831876972e-5,6.925231212206926e-4,diff
Chr1,5400001,6400000,64,14819,3610,0.0043002082913391115,40,4517,1177,0.008777704630239193,0.004477496338900082,6.589850015133337e-4,0.007686214442429857,diff
Chr1,5500001,6500000,65,14818,3610,0.004367399045891286,31,4526,1177,0.006802721088435374,0.0024353220425440882,0.05227043211502902,0.14783783160430955,ns
Chr1,5600001,6600000,70,14813,3610,0.004703352818652153,30,4527,1177,0.0065832784726793945,0.0018799256540272414,0.12442651349474912,0.2737798744341892,ns
