lib	chr	start	end	gt
results/06_tiger/lib1_MappedOn_tair10	1	5070376	7194315	CC
results/06_tiger/lib1_MappedOn_tair10	1	7195393	11467823	CL
results/06_tiger/lib1_MappedOn_tair10	1	11468046	19919436	CC
results/06_tiger/lib1_MappedOn_tair10	1	19921013	20383608	CL
results/06_tiger/lib1_MappedOn_tair10	1	20386138	21033943	CC
results/06_tiger/lib1_MappedOn_tair10	1	21037466	23523471	CL
results/06_tiger/lib1_MappedOn_tair10	1	23525614	30277066	CC
results/06_tiger/lib1_MappedOn_tair10	4	852842	9288965	LL
results/06_tiger/lib1_MappedOn_tair10	4	9289392	13656782	CL
results/06_tiger/lib1_MappedOn_tair10	4	13656934	18585056	LL
results/06_tiger/lib1_MappedOn_tair10	5	7942118	13749867	CC
results/06_tiger/lib1_MappedOn_tair10	5	13752856	19393327	CL
results/06_tiger/lib1_MappedOn_tair10	5	19393804	19794548	CC
results/06_tiger/lib10_MappedOn_tair10	1	1502839	4527060	LL
results/06_tiger/lib10_MappedOn_tair10	1	4529000	4967219	CL
results/06_tiger/lib10_MappedOn_tair10	1	4969845	17931796	LL
results/06_tiger/lib10_MappedOn_tair10	3	18823	469557	LL
results/06_tiger/lib10_MappedOn_tair10	3	471989	1244004	CL
results/06_tiger/lib10_MappedOn_tair10	3	1246180	4437135	LL
results/06_tiger/lib10_MappedOn_tair10	3	4439720	5764990	CL
results/06_tiger/lib10_MappedOn_tair10	3	5766343	6705633	LL
results/06_tiger/lib10_MappedOn_tair10	3	6705940	8033512	CL
results/06_tiger/lib10_MappedOn_tair10	3	8034094	15605451	LL
results/06_tiger/lib10_MappedOn_tair10	3	15605602	19896359	CL
results/06_tiger/lib10_MappedOn_tair10	3	19897232	23459830	LL
results/06_tiger/lib10_MappedOn_tair10	4	245797	7463073	LL
results/06_tiger/lib10_MappedOn_tair10	4	7463965	8605455	CL
results/06_tiger/lib10_MappedOn_tair10	4	8606624	10798824	LL
results/06_tiger/lib10_MappedOn_tair10	4	10799246	13073950	CL
results/06_tiger/lib10_MappedOn_tair10	4	13075040	13532756	LL
results/06_tiger/lib10_MappedOn_tair10	4	13532903	14119064	CL
results/06_tiger/lib10_MappedOn_tair10	4	14120740	18585056	LL
results/06_tiger/lib10_MappedOn_tair10	5	1	1507237	LL
results/06_tiger/lib10_MappedOn_tair10	5	1507420	3020529	CL
results/06_tiger/lib10_MappedOn_tair10	5	3026985	3829814	LL
results/06_tiger/lib10_MappedOn_tair10	5	8080970	20805528	CC
results/06_tiger/lib10_MappedOn_tair10	5	20807633	23236648	CL
results/06_tiger/lib10_MappedOn_tair10	5	23239378	25444755	CC
results/06_tiger/lib11_MappedOn_tair10	3	19739234	20480562	CC
results/06_tiger/lib11_MappedOn_tair10	3	20480903	21468762	CL
results/06_tiger/lib11_MappedOn_tair10	3	21492444	23229739	CC
results/06_tiger/lib11_MappedOn_tair10	4	1	125589	LL
results/06_tiger/lib11_MappedOn_tair10	4	126194	1213378	CL
results/06_tiger/lib11_MappedOn_tair10	4	1213579	14044329	LL
results/06_tiger/lib11_MappedOn_tair10	5	6856376	16428883	LL
results/06_tiger/lib11_MappedOn_tair10	5	16429814	23097129	CL
results/06_tiger/lib11_MappedOn_tair10	5	23098340	24011669	LL
