lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,16273932,16274064,16273998,132
results/06_tiger/lib1_MappedOn_tair10,Chr2,147771,147978,147875,207
results/06_tiger/lib1_MappedOn_tair10,Chr2,857177,858030,857603,853
results/06_tiger/lib1_MappedOn_tair10,Chr3,7668131,7668731,7668431,600
results/06_tiger/lib1_MappedOn_tair10,Chr4,5428494,5428591,5428542,97
results/06_tiger/lib1_MappedOn_tair10,Chr4,6426338,6430363,6428350,4025
results/06_tiger/lib1_MappedOn_tair10,Chr4,17385712,17385815,17385764,103
results/06_tiger/lib10_MappedOn_tair10,Chr1,11000870,11001156,11001013,286
results/06_tiger/lib10_MappedOn_tair10,Chr3,7796857,7797025,7796941,168
results/06_tiger/lib10_MappedOn_tair10,Chr3,10737455,10737582,10737519,127
results/06_tiger/lib10_MappedOn_tair10,Chr4,1208382,1208485,1208434,103
results/06_tiger/lib10_MappedOn_tair10,Chr4,14795075,14795591,14795333,516
results/06_tiger/lib10_MappedOn_tair10,Chr5,1376256,1377075,1376666,819
results/06_tiger/lib10_MappedOn_tair10,Chr5,15959385,15959518,15959451,133
results/06_tiger/lib10_MappedOn_tair10,Chr5,18893682,18894029,18893856,347
results/06_tiger/lib11_MappedOn_tair10,Chr1,3520776,3522557,3521666,1781
results/06_tiger/lib11_MappedOn_tair10,Chr1,19426994,19427142,19427068,148
results/06_tiger/lib11_MappedOn_tair10,Chr1,26327134,26327258,26327196,124
results/06_tiger/lib11_MappedOn_tair10,Chr2,2023202,2023986,2023594,784
results/06_tiger/lib11_MappedOn_tair10,Chr2,18963672,18963855,18963764,183
results/06_tiger/lib11_MappedOn_tair10,Chr3,6191474,6191599,6191536,125
results/06_tiger/lib11_MappedOn_tair10,Chr4,16422435,16422783,16422609,348
results/06_tiger/lib11_MappedOn_tair10,Chr5,1380679,1380835,1380757,156
results/06_tiger/lib11_MappedOn_tair10,Chr5,20762914,20763389,20763152,475
results/06_tiger/lib12_MappedOn_tair10,Chr1,4276107,4276346,4276227,239
results/06_tiger/lib12_MappedOn_tair10,Chr1,9991573,9991731,9991652,158
results/06_tiger/lib12_MappedOn_tair10,Chr1,18701388,18701807,18701598,419
results/06_tiger/lib12_MappedOn_tair10,Chr3,17440615,17440900,17440757,285
results/06_tiger/lib12_MappedOn_tair10,Chr4,11152748,11152819,11152784,71
results/06_tiger/lib12_MappedOn_tair10,Chr5,14111453,14111695,14111574,242
results/06_tiger/lib12_MappedOn_tair10,Chr5,18504366,18513032,18508699,8666
results/06_tiger/lib13_MappedOn_tair10,Chr1,10296294,10297751,10297022,1457
results/06_tiger/lib13_MappedOn_tair10,Chr1,10891261,10891549,10891405,288
results/06_tiger/lib13_MappedOn_tair10,Chr2,11458014,11458056,11458035,42
results/06_tiger/lib13_MappedOn_tair10,Chr3,6236682,6237278,6236980,596
results/06_tiger/lib13_MappedOn_tair10,Chr3,8547650,8549273,8548462,1623
results/06_tiger/lib13_MappedOn_tair10,Chr4,5843039,5843609,5843324,570
results/06_tiger/lib13_MappedOn_tair10,Chr5,16270975,16271231,16271103,256
results/06_tiger/lib13_MappedOn_tair10,Chr5,18894980,18895467,18895224,487
results/06_tiger/lib14_MappedOn_tair10,Chr1,17283448,17283616,17283532,168
results/06_tiger/lib14_MappedOn_tair10,Chr1,18366103,18366360,18366231,257
results/06_tiger/lib14_MappedOn_tair10,Chr1,26415995,26416518,26416257,523
results/06_tiger/lib14_MappedOn_tair10,Chr2,7102519,7107182,7104851,4663
results/06_tiger/lib14_MappedOn_tair10,Chr2,11977065,11977284,11977175,219
results/06_tiger/lib14_MappedOn_tair10,Chr3,14941889,14942319,14942104,430
results/06_tiger/lib14_MappedOn_tair10,Chr4,5238006,5238251,5238128,245
results/06_tiger/lib14_MappedOn_tair10,Chr5,10640123,10640616,10640369,493
results/06_tiger/lib14_MappedOn_tair10,Chr5,26722441,26722955,26722698,514
results/06_tiger/lib15_MappedOn_tair10,Chr1,12638884,12639522,12639203,638
results/06_tiger/lib15_MappedOn_tair10,Chr1,24745790,24746703,24746246,913
results/06_tiger/lib15_MappedOn_tair10,Chr2,2198108,2198198,2198153,90
results/06_tiger/lib15_MappedOn_tair10,Chr2,6354683,6354892,6354787,209
