lib	chr	start	end	cos	width
1	5	9713163	9716705	9714934	3542
1	5	26766446	26768820	26767633	2374
3	3	16876259	16876605	16876432	346
3	3	17911713	17912254	17911983	541
4	2	758253	759010	758631	757
4	2	16060633	16061502	16061067	869
5	5	503353	503665	503509	312
5	5	9017026	9020489	9018758	3463
9	5	16154414	16154700	16154557	286
9	5	24990895	24991014	24990955	119
15	5	15797809	15797989	15797899	180
15	5	25652586	25653030	25652808	444
19	1	17060556	17061140	17060848	584
19	1	23248391	23250948	23249669	2557
20	5	1922659	1922754	1922707	95
20	5	25837077	25837524	25837301	447
22	3	5644502	5645637	5645070	1135
22	3	22363903	22364020	22363961	117
22	4	17536025	17536117	17536071	92
22	4	18450884	18451246	18451065	362
23	1	2985919	2986351	2986135	432
23	1	8974635	8974855	8974745	220
23	2	6358317	6358720	6358519	403
23	2	15489978	15490483	15490230	505
24	5	8816853	8816908	8816881	55
24	5	15452049	15452498	15452273	449
25	5	8693812	8695591	8694702	1779
25	5	21631182	21631495	21631338	313
26	3	11739115	11739254	11739185	139
26	3	17538328	17538543	17538436	215
33	2	6817776	6818031	6817904	255
33	2	14145433	14146889	14146161	1456
38	3	17562633	17563101	17562867	468
38	3	21238629	21240410	21239519	1781
38	4	399009	399787	399398	778
38	4	8092478	8092808	8092643	330
41	5	6833157	6833482	6833319	325
41	5	18524719	18529788	18527253	5069
48	5	2646067	2650611	2648339	4544
48	5	17438684	17438707	17438696	23
50	4	6159843	6159939	6159891	96
50	4	18025637	18026173	18025905	536
59	2	275405	275493	275449	88
59	2	19191789	19193993	19192891	2204
65	2	382229	383692	382961	1463
65	2	12757165	12757764	12757465	599
68	1	16891166	16891228	16891197	62
68	1	25157940	25158135	25158038	195
74	3	3575582	3576277	3575930	695
74	3	6431861	6432203	6432032	342
74	5	7673999	7674325	7674162	326
74	5	24396440	24396671	24396556	231
78	5	1272310	1272355	1272332	45
78	5	8735624	8735776	8735700	152
82	2	2272947	2272989	2272968	42
82	2	17876199	17876270	17876235	71
84	5	1556447	1556590	1556519	143
84	5	9458449	9459538	9458993	1089
84	5	16206755	16207115	16206935	360
84	5	23387963	23388614	23388289	651
85	2	712744	712832	712788	88
85	2	15000057	15000466	15000261	409
86	5	8850257	8855729	8852993	5472
86	5	19453423	19453548	19453485	125
90	3	2345980	2346273	2346126	293
90	3	18725241	18725481	18725361	240
96	5	521614	522414	522014	800
96	5	20544372	20544860	20544616	488
