lib,chrs,start,stop,cos,width
181,Chr1,139081,141081,140081,2000
107,Chr1,177068,179068,178068,2000
168,Chr1,180345,182345,181345,2000
247,Chr1,182326,184326,183326,2000
204,Chr1,198602,200602,199602,2000
127,Chr1,558347,560347,559347,2000
145,Chr1,558347,560347,559347,2000
285,Chr1,558347,560347,559347,2000
35,Chr1,574588,576588,575588,2000
248,Chr1,594572,596572,595572,2000
9,Chr1,594572,596572,595572,2000
108,Chr1,627862,629862,628862,2000
159,Chr1,682081,684081,683081,2000
223,Chr1,732160,734160,733160,2000
173,Chr1,774573,776573,775573,2000
288,Chr1,857528,859528,858528,2000
206,Chr1,917901,919901,918901,2000
225,Chr1,1124205,1126205,1125205,2000
260,Chr1,1161840,1163840,1162840,2000
273,Chr1,1166076,1168076,1167076,2000
195,Chr1,1268641,1270641,1269641,2000
41,Chr1,1498765,1500765,1499765,2000
180,Chr1,1548895,1550895,1549895,2000
254,Chr1,1554836,1556836,1555836,2000
211,Chr1,1557154,1559154,1558154,2000
269,Chr1,1846448,1848448,1847448,2000
24,Chr1,1929760,1931760,1930760,2000
253,Chr1,2058166,2060166,2059166,2000
198,Chr1,2213565,2215565,2214565,2000
81,Chr1,2326282,2328282,2327282,2000
44,Chr1,2433875,2435875,2434875,2000
67,Chr1,2443971,2445971,2444971,2000
24,Chr1,2633729,2635729,2634729,2000
124,Chr1,3086722,3088722,3087722,2000
239,Chr1,3109311,3111311,3110311,2000
53,Chr1,3300072,3302072,3301072,2000
88,Chr1,3427756,3429756,3428756,2000
121,Chr1,3447692,3449692,3448692,2000
7,Chr1,3749329,3751329,3750329,2000
2,Chr1,3891419,3893419,3892419,2000
165,Chr1,3894310,3896310,3895310,2000
94,Chr1,4064816,4066816,4065816,2000
208,Chr1,4078642,4080642,4079642,2000
95,Chr1,4123290,4125290,4124290,2000
5,Chr1,4221642,4223642,4222642,2000
192,Chr1,4477214,4479214,4478214,2000
257,Chr1,4533293,4535293,4534293,2000
103,Chr1,4598175,4600175,4599175,2000
176,Chr1,4675879,4677879,4676879,2000
261,Chr1,4691377,4693377,4692377,2000
205,Chr1,4744130,4746130,4745130,2000
171,Chr1,4861797,4863797,4862797,2000
134,Chr1,4864646,4866646,4865646,2000
43,Chr1,4874164,4876164,4875164,2000
14,Chr1,5065844,5067844,5066844,2000
73,Chr1,5168198,5170198,5169198,2000
9,Chr1,5294763,5296763,5295763,2000
96,Chr1,5362971,5364971,5363971,2000
226,Chr1,5392109,5394109,5393109,2000
263,Chr1,5581086,5583086,5582086,2000
91,Chr1,5667328,5669328,5668328,2000
19,Chr1,6496289,6498289,6497289,2000
37,Chr1,6549132,6551132,6550132,2000
22,Chr1,6645145,6647145,6646145,2000
61,Chr1,6933181,6935181,6934181,2000
131,Chr1,7042831,7044831,7043831,2000
167,Chr1,7153486,7155486,7154486,2000
101,Chr1,7325456,7327456,7326456,2000
179,Chr1,7351752,7353752,7352752,2000
269,Chr1,7353003,7355003,7354003,2000
132,Chr1,7406160,7408160,7407160,2000
110,Chr1,7694813,7696813,7695813,2000
153,Chr1,7727585,7729585,7728585,2000
134,Chr1,7746326,7748326,7747326,2000
87,Chr1,7768139,7770139,7769139,2000
151,Chr1,7787473,7789473,7788473,2000
67,Chr1,7830575,7832575,7831575,2000
