lib,chrs,start,stop,cos,width
1,Chr1,10000355,10000685,10000520,330
1,Chr1,17861358,17861400,17861379,42
1,Chr1,24361690,24361763,24361726,73
1,Chr3,2888386,2889198,2888792,812
1,Chr3,9169096,9171124,9170110,2028
1,Chr4,5375941,5376984,5376463,1043
1,Chr4,7321356,7321577,7321466,221
1,Chr5,14959076,14959434,14959255,358
2,Chr1,5954869,5956670,5955769,1801
2,Chr1,16644400,16644602,16644501,202
2,Chr1,26032502,26032582,26032542,80
2,Chr1,30159286,30159582,30159434,296
2,Chr2,19334748,19335348,19335048,600
2,Chr3,8959780,8959830,8959805,50
2,Chr3,21298252,21300447,21299350,2195
2,Chr4,133527,134356,133941,829
2,Chr4,9890628,9890875,9890752,247
2,Chr4,12135345,12135610,12135477,265
2,Chr5,574984,575271,575128,287
3,Chr1,17236664,17236674,17236669,10
3,Chr1,28403170,28405960,28404565,2790
3,Chr2,9213014,9213332,9213173,318
3,Chr2,12939324,12940265,12939794,941
3,Chr3,10868660,10868933,10868796,273
3,Chr4,7268653,7269288,7268971,635
3,Chr5,14874246,14874712,14874479,466
3,Chr5,17394489,17394504,17394497,15
4,Chr1,26014969,26015258,26015113,289
4,Chr3,4373576,4374173,4373874,597
4,Chr3,10452444,10452594,10452519,150
4,Chr3,19933605,19934984,19934295,1379
4,Chr4,410424,410548,410486,124
4,Chr4,7654077,7654148,7654113,71
4,Chr5,1507420,1507704,1507562,284
4,Chr5,5265208,5265733,5265470,525
4,Chr5,16467404,16467436,16467420,32
5,Chr1,11255366,11255401,11255384,35
5,Chr2,111822,111954,111888,132
5,Chr3,7386958,7387083,7387020,125
5,Chr3,11717494,11717606,11717550,112
5,Chr4,1027159,1029193,1028176,2034
5,Chr4,13966673,13967553,13967113,880
5,Chr4,17148877,17148921,17148899,44
5,Chr5,2067728,2068134,2067931,406
5,Chr5,7814792,7815973,7815382,1181
5,Chr5,16041281,16041584,16041433,303
6,Chr1,24663884,24664162,24664023,278
6,Chr5,16711286,16711817,16711552,531
6,Chr5,20127631,20149352,20138491,21721
6,Chr5,25975808,25976643,25976226,835
7,Chr1,6882391,6882614,6882503,223
7,Chr1,12625829,12626439,12626134,610
7,Chr2,6240234,6241569,6240902,1335
7,Chr2,18806519,18806676,18806597,157
7,Chr3,4842238,4846528,4844383,4290
7,Chr4,12069182,12069430,12069306,248
8,Chr2,16294758,16295131,16294944,373
8,Chr2,17739727,17739996,17739861,269
