lib,chrs,start,stop,cos,width
72,Chr1,66287,68287,67287,2000
30,Chr1,82684,84684,83684,2000
33,Chr1,82684,84684,83684,2000
55,Chr1,82684,84684,83684,2000
74,Chr1,111871,113871,112871,2000
68,Chr1,139081,141081,140081,2000
70,Chr1,146307,148307,147307,2000
64,Chr1,152036,154036,153036,2000
22,Chr1,158903,160903,159903,2000
79,Chr1,158903,160903,159903,2000
42,Chr1,160309,162309,161309,2000
7,Chr1,198695,200695,199695,2000
84,Chr1,198695,200695,199695,2000
39,Chr1,241415,243415,242415,2000
53,Chr1,241415,243415,242415,2000
5,Chr1,241415,243415,242415,2000
95,Chr1,241415,243415,242415,2000
17,Chr1,269652,271652,270652,2000
48,Chr1,269652,271652,270652,2000
80,Chr1,269759,271759,270759,2000
31,Chr1,375557,377557,376557,2000
10,Chr1,443436,445436,444436,2000
25,Chr1,449474,451474,450474,2000
87,Chr1,490484,492484,491484,2000
59,Chr1,558347,560347,559347,2000
66,Chr1,563264,565264,564264,2000
64,Chr1,564941,566941,565941,2000
46,Chr1,566350,568350,567350,2000
83,Chr1,566350,568350,567350,2000
55,Chr1,570570,572570,571570,2000
6,Chr1,593856,595856,594856,2000
29,Chr1,616851,618851,617851,2000
42,Chr1,623989,625989,624989,2000
71,Chr1,676089,678089,677089,2000
58,Chr1,707808,709808,708808,2000
36,Chr1,761251,763251,762251,2000
19,Chr1,761472,763472,762472,2000
58,Chr1,775834,777834,776834,2000
90,Chr1,784802,786802,785802,2000
52,Chr1,797946,799946,798946,2000
26,Chr1,807258,809258,808258,2000
51,Chr1,850683,852683,851683,2000
35,Chr1,852244,854244,853244,2000
31,Chr1,857528,859528,858528,2000
62,Chr1,857528,859528,858528,2000
71,Chr1,917901,919901,918901,2000
95,Chr1,917901,919901,918901,2000
20,Chr1,973308,975308,974308,2000
33,Chr1,973308,975308,974308,2000
55,Chr1,982219,984219,983219,2000
59,Chr1,982219,984219,983219,2000
69,Chr1,982219,984219,983219,2000
7,Chr1,1131560,1133560,1132560,2000
12,Chr1,1140969,1142969,1141969,2000
84,Chr1,1150486,1152486,1151486,2000
89,Chr1,1166614,1168614,1167614,2000
57,Chr1,1180707,1182707,1181707,2000
54,Chr1,1204917,1206917,1205917,2000
19,Chr1,1229242,1231242,1230242,2000
4,Chr1,1245987,1247987,1246987,2000
22,Chr1,1263113,1265113,1264113,2000
