lib,chrs,start,stop,cos,width
64,Chr1,123049,125049,124049,2000
180,Chr1,181678,183678,182678,2000
107,Chr1,211951,213951,212951,2000
66,Chr1,274180,276180,275180,2000
68,Chr1,311357,313357,312357,2000
92,Chr1,311357,313357,312357,2000
185,Chr1,384117,386117,385117,2000
44,Chr1,389197,391197,390197,2000
136,Chr1,431391,433391,432391,2000
160,Chr1,457438,459438,458438,2000
144,Chr1,458679,460679,459679,2000
65,Chr1,472258,474258,473258,2000
58,Chr1,490484,492484,491484,2000
59,Chr1,490484,492484,491484,2000
17,Chr1,566350,568350,567350,2000
99,Chr1,569996,571996,570996,2000
72,Chr1,572206,574206,573206,2000
70,Chr1,593725,595725,594725,2000
1,Chr1,596139,598139,597139,2000
46,Chr1,612460,614460,613460,2000
54,Chr1,619024,621024,620024,2000
64,Chr1,619631,621631,620631,2000
130,Chr1,680800,682800,681800,2000
113,Chr1,681878,683878,682878,2000
96,Chr1,682081,684081,683081,2000
35,Chr1,699490,701490,700490,2000
146,Chr1,702487,704487,703487,2000
45,Chr1,703319,705319,704319,2000
141,Chr1,734131,736131,735131,2000
190,Chr1,771467,773467,772467,2000
126,Chr1,776317,778317,777317,2000
14,Chr1,780726,782726,781726,2000
69,Chr1,787184,789184,788184,2000
174,Chr1,916751,918751,917751,2000
163,Chr1,925663,927663,926663,2000
80,Chr1,963219,965219,964219,2000
145,Chr1,1017083,1019083,1018083,2000
37,Chr1,1046773,1048773,1047773,2000
15,Chr1,1122978,1124978,1123978,2000
110,Chr1,1126967,1128967,1127967,2000
120,Chr1,1127641,1129641,1128641,2000
178,Chr1,1147004,1149004,1148004,2000
87,Chr1,1167253,1169253,1168253,2000
127,Chr1,1200591,1202591,1201591,2000
22,Chr1,1201928,1203928,1202928,2000
6,Chr1,1205313,1207313,1206313,2000
13,Chr1,1224076,1226076,1225076,2000
126,Chr1,1224665,1226665,1225665,2000
12,Chr1,1226609,1228609,1227609,2000
189,Chr1,1245716,1247716,1246716,2000
105,Chr1,1246212,1248212,1247212,2000
32,Chr1,1427075,1429075,1428075,2000
49,Chr1,1437763,1439763,1438763,2000
181,Chr1,1438919,1440919,1439919,2000
104,Chr1,1547126,1549126,1548126,2000
150,Chr1,1557056,1559056,1558056,2000
44,Chr1,1591455,1593455,1592455,2000
74,Chr1,1592885,1594885,1593885,2000
121,Chr1,1595638,1597638,1596638,2000
15,Chr1,1743401,1745401,1744401,2000
53,Chr1,1747561,1749561,1748561,2000
132,Chr1,1777925,1779925,1778925,2000
154,Chr1,1780489,1782489,1781489,2000
125,Chr1,1831490,1833490,1832490,2000
159,Chr1,1884029,1886029,1885029,2000
163,Chr1,1884031,1886031,1885031,2000
92,Chr1,1885354,1887354,1886354,2000
40,Chr1,1889083,1891083,1890083,2000
51,Chr1,1894597,1896597,1895597,2000
156,Chr1,1898524,1900524,1899524,2000
155,Chr1,1972451,1974451,1973451,2000
84,Chr1,2101321,2103321,2102321,2000
170,Chr1,2108175,2110175,2109175,2000
97,Chr1,2135275,2137275,2136275,2000
5,Chr1,2169884,2171884,2170884,2000
27,Chr1,2189774,2191774,2190774,2000
37,Chr1,2254698,2256698,2255698,2000
91,Chr1,2286946,2288946,2287946,2000
30,Chr1,2305554,2307554,2306554,2000
158,Chr1,2329146,2331146,2330146,2000
83,Chr1,2329905,2331905,2330905,2000
93,Chr1,2330991,2332991,2331991,2000
73,Chr1,2331070,2333070,2332070,2000
191,Chr1,2356717,2358717,2357717,2000
176,Chr1,2356727,2358727,2357727,2000
50,Chr1,2365247,2367247,2366247,2000
2,Chr1,2369753,2371753,2370753,2000
52,Chr1,2371538,2373538,2372538,2000
74,Chr1,2372259,2374259,2373259,2000
135,Chr1,2382887,2384887,2383887,2000
4,Chr1,2478754,2480754,2479754,2000
182,Chr1,2524159,2526159,2525159,2000
137,Chr1,2698705,2700705,2699705,2000
147,Chr1,2757026,2759026,2758026,2000
119,Chr1,2820445,2822445,2821445,2000
85,Chr1,2830947,2832947,2831947,2000
169,Chr1,2873999,2875999,2874999,2000
112,Chr1,2878416,2880416,2879416,2000
84,Chr1,2892120,2894120,2893120,2000
116,Chr1,2942279,2944279,2943279,2000
60,Chr1,3095250,3097250,3096250,2000
98,Chr1,3143903,3145903,3144903,2000
101,Chr1,3204885,3206885,3205885,2000
169,Chr1,3229942,3231942,3230942,2000
48,Chr1,3268760,3270760,3269760,2000
41,Chr1,3303064,3305064,3304064,2000
184,Chr1,3323914,3325914,3324914,2000
57,Chr1,3325145,3327145,3326145,2000
89,Chr1,3325921,3327921,3326921,2000
148,Chr1,3355951,3357951,3356951,2000
90,Chr1,3361106,3363106,3362106,2000
149,Chr1,3404435,3406435,3405435,2000
160,Chr1,3472666,3474666,3473666,2000
138,Chr1,3530749,3532749,3531749,2000
152,Chr1,3550716,3552716,3551716,2000
172,Chr1,3565119,3567119,3566119,2000
29,Chr1,3575409,3577409,3576409,2000
51,Chr1,3579635,3581635,3580635,2000
3,Chr1,3582043,3584043,3583043,2000
16,Chr1,3598847,3600847,3599847,2000
68,Chr1,3734133,3736133,3735133,2000
50,Chr1,3751225,3753225,3752225,2000
81,Chr1,3776502,3778502,3777502,2000
14,Chr1,3828072,3830072,3829072,2000
71,Chr1,3894652,3896652,3895652,2000
167,Chr1,4048632,4050632,4049632,2000
18,Chr1,4048632,4050632,4049632,2000
34,Chr1,4136764,4138764,4137764,2000
156,Chr1,4220921,4222921,4221921,2000
33,Chr1,4236583,4238583,4237583,2000
88,Chr1,4251233,4253233,4252233,2000
190,Chr1,4274477,4276477,4275477,2000
175,Chr1,4299607,4301607,4300607,2000
92,Chr1,4321975,4323975,4322975,2000
30,Chr1,4350519,4352519,4351519,2000
168,Chr1,4417516,4419516,4418516,2000
143,Chr1,4425255,4427255,4426255,2000
61,Chr1,4459894,4461894,4460894,2000
192,Chr1,4460543,4462543,4461543,2000
17,Chr1,4496089,4498089,4497089,2000
2,Chr1,4509484,4511484,4510484,2000
42,Chr1,4514969,4516969,4515969,2000
36,Chr1,4538725,4540725,4539725,2000
7,Chr1,4563010,4565010,4564010,2000
184,Chr1,4565888,4567888,4566888,2000
1,Chr1,4653934,4655934,4654934,2000
94,Chr1,4686583,4688583,4687583,2000
171,Chr1,4772524,4774524,4773524,2000
9,Chr1,4777205,4779205,4778205,2000
111,Chr1,4830840,4832840,4831840,2000
161,Chr1,4839075,4841075,4840075,2000
79,Chr1,4840248,4842248,4841248,2000
121,Chr1,4860817,4862817,4861817,2000
82,Chr1,4946412,4948412,4947412,2000
127,Chr1,4986237,4988237,4987237,2000
177,Chr1,4989661,4991661,4990661,2000
135,Chr1,4990028,4992028,4991028,2000
74,Chr1,4993877,4995877,4994877,2000
165,Chr1,4998978,5000978,4999978,2000
70,Chr1,5133771,5135771,5134771,2000
173,Chr1,5142833,5144833,5143833,2000
167,Chr1,5155487,5157487,5156487,2000
13,Chr1,5306884,5308884,5307884,2000
142,Chr1,5443701,5445701,5444701,2000
105,Chr1,5446496,5448496,5447496,2000
