lib	chr	start	end	cos	width
3	3	996634	999447	998040	2813
3	3	9589925	9590012	9589969	87
3	4	5737466	5737587	5737526	121
3	4	14852090	14852406	14852248	316
5	4	14847219	14847645	14847432	426
5	4	17885532	17885599	17885566	67
6	1	12948756	12948960	12948858	204
6	1	24373187	24373890	24373539	703
6	5	386586	387471	387028	885
6	5	25792753	25793639	25793196	886
8	3	5272048	5272076	5272062	28
8	3	16988486	16988579	16988532	93
10	2	373169	373551	373360	382
10	2	15829934	15830345	15830140	411
10	5	15415581	15416305	15415943	724
10	5	26807984	26809016	26808500	1032
11	5	1921636	1922659	1922148	1023
11	5	21284432	21285263	21284848	831
12	4	9391436	9391863	9391650	427
12	4	17634830	17635606	17635218	776
13	1	4291615	4291941	4291778	326
13	1	9978662	9979427	9979044	765
16	1	11291540	11316088	11303814	24548
16	1	25653713	25654070	25653891	357
16	5	22252152	22252994	22252573	842
16	5	25921384	25922647	25922016	1263
24	4	148872	148876	148874	4
24	4	16318394	16318630	16318512	236
25	1	17334397	17334530	17334463	133
25	1	29420532	29421854	29421193	1322
25	5	6445091	6446631	6445861	1540
25	5	14065746	14066345	14066046	599
27	1	8448630	8449056	8448843	426
27	1	24324224	24324600	24324412	376
27	4	740799	741590	741195	791
27	4	14214596	14217452	14216024	2856
28	5	5138878	5138949	5138914	71
28	5	7162678	7163006	7162842	328
30	5	8196102	8196554	8196328	452
30	5	26088178	26088429	26088304	251
32	5	10240183	10240230	10240207	47
32	5	18451788	18452644	18452216	856
33	1	5562668	5564696	5563682	2028
33	1	12495476	12495781	12495628	305
36	5	15488255	15488652	15488453	397
36	5	24404922	24406293	24405608	1371
37	2	221764	222306	222035	542
37	2	18145029	18154466	18149747	9437
39	2	7249654	7250361	7250008	707
39	2	12956783	12957186	12956985	403
41	4	5566940	5567344	5567142	404
41	4	10124704	10124980	10124842	276
42	1	8059261	8059410	8059335	149
42	1	21197859	21198249	21198054	390
43	2	2929980	2930250	2930115	270
43	2	15253618	15254226	15253922	608
46	1	4598189	4598387	4598288	198
46	1	19277686	19277989	19277838	303
46	5	961627	962414	962021	787
46	5	13924704	13925877	13925290	1173
47	5	387988	388655	388322	667
