lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,9350534,9351144,9350839,610
results/06_tiger/lib1_MappedOn_tair10,Chr1,11015100,11016012,11015556,912
results/06_tiger/lib1_MappedOn_tair10,Chr1,21185686,21186008,21185847,322
results/06_tiger/lib1_MappedOn_tair10,Chr2,6540310,6540570,6540440,260
results/06_tiger/lib1_MappedOn_tair10,Chr2,15381014,15381373,15381194,359
results/06_tiger/lib1_MappedOn_tair10,Chr3,10985735,10986092,10985913,357
results/06_tiger/lib1_MappedOn_tair10,Chr3,16373294,16373579,16373436,285
results/06_tiger/lib1_MappedOn_tair10,Chr5,3785212,3786617,3785914,1405
results/06_tiger/lib1_MappedOn_tair10,Chr5,8696985,8697269,8697127,284
results/06_tiger/lib10_MappedOn_tair10,Chr1,13112763,13113928,13113345,1165
results/06_tiger/lib10_MappedOn_tair10,Chr1,16909636,16910438,16910037,802
results/06_tiger/lib10_MappedOn_tair10,Chr1,23265460,23265586,23265523,126
results/06_tiger/lib10_MappedOn_tair10,Chr2,4349770,4494758,4422264,144988
results/06_tiger/lib10_MappedOn_tair10,Chr2,15978810,15979836,15979323,1026
results/06_tiger/lib10_MappedOn_tair10,Chr3,7646503,7646791,7646647,288
results/06_tiger/lib10_MappedOn_tair10,Chr3,10878872,10879007,10878940,135
results/06_tiger/lib10_MappedOn_tair10,Chr3,18760969,18761082,18761025,113
results/06_tiger/lib10_MappedOn_tair10,Chr4,288047,288083,288065,36
results/06_tiger/lib10_MappedOn_tair10,Chr4,5242222,5242392,5242307,170
results/06_tiger/lib10_MappedOn_tair10,Chr5,808914,809205,809060,291
results/06_tiger/lib10_MappedOn_tair10,Chr5,6569377,6569479,6569428,102
results/06_tiger/lib10_MappedOn_tair10,Chr5,8685095,8685931,8685513,836
results/06_tiger/lib11_MappedOn_tair10,Chr1,174087,174329,174208,242
results/06_tiger/lib11_MappedOn_tair10,Chr2,2272809,2272941,2272875,132
results/06_tiger/lib11_MappedOn_tair10,Chr4,5662634,5672132,5667383,9498
results/06_tiger/lib11_MappedOn_tair10,Chr5,14315124,14316600,14315862,1476
results/06_tiger/lib12_MappedOn_tair10,Chr1,624529,624717,624623,188
results/06_tiger/lib12_MappedOn_tair10,Chr1,17209784,17209796,17209790,12
results/06_tiger/lib12_MappedOn_tair10,Chr1,21166556,21172168,21169362,5612
results/06_tiger/lib12_MappedOn_tair10,Chr2,759087,760387,759737,1300
results/06_tiger/lib12_MappedOn_tair10,Chr3,10706631,10706702,10706667,71
results/06_tiger/lib12_MappedOn_tair10,Chr4,850385,851262,850823,877
results/06_tiger/lib12_MappedOn_tair10,Chr5,980282,980549,980416,267
results/06_tiger/lib12_MappedOn_tair10,Chr5,14894197,14894211,14894204,14
results/06_tiger/lib13_MappedOn_tair10,Chr1,13141717,13142460,13142089,743
results/06_tiger/lib13_MappedOn_tair10,Chr1,16131462,16131481,16131472,19
results/06_tiger/lib13_MappedOn_tair10,Chr1,27996219,27996713,27996466,494
results/06_tiger/lib13_MappedOn_tair10,Chr2,1561522,1563204,1562363,1682
results/06_tiger/lib13_MappedOn_tair10,Chr3,12369407,12369566,12369487,159
results/06_tiger/lib13_MappedOn_tair10,Chr4,7450098,7450594,7450346,496
results/06_tiger/lib14_MappedOn_tair10,Chr1,7690180,7691220,7690700,1040
results/06_tiger/lib14_MappedOn_tair10,Chr2,7207406,7208096,7207751,690
results/06_tiger/lib14_MappedOn_tair10,Chr4,1391164,1391271,1391218,107
results/06_tiger/lib14_MappedOn_tair10,Chr4,5377218,5378499,5377858,1281
results/06_tiger/lib14_MappedOn_tair10,Chr5,9409977,9410501,9410239,524
results/06_tiger/lib15_MappedOn_tair10,Chr1,17856618,17856825,17856722,207
results/06_tiger/lib15_MappedOn_tair10,Chr2,1870568,1870700,1870634,132
results/06_tiger/lib15_MappedOn_tair10,Chr2,9938419,9940087,9939253,1668
results/06_tiger/lib15_MappedOn_tair10,Chr4,157456,157543,157500,87
results/06_tiger/lib15_MappedOn_tair10,Chr5,14635687,14636823,14636255,1136
