lib,chrs,start,stop,cos,width
84,Chr1,185304,187304,186304,2000
50,Chr1,465345,467345,466345,2000
15,Chr1,540006,542006,541006,2000
62,Chr1,647458,649458,648458,2000
90,Chr1,666350,668350,667350,2000
53,Chr1,764356,766356,765356,2000
13,Chr1,914238,916238,915238,2000
46,Chr1,1164838,1166838,1165838,2000
88,Chr1,1166944,1168944,1167944,2000
32,Chr1,1223182,1225182,1224182,2000
36,Chr1,1241471,1243471,1242471,2000
79,Chr1,1587846,1589846,1588846,2000
81,Chr1,1610543,1612543,1611543,2000
63,Chr1,1618889,1620889,1619889,2000
42,Chr1,1710734,1712734,1711734,2000
82,Chr1,1864916,1866916,1865916,2000
8,Chr1,1886561,1888561,1887561,2000
24,Chr1,1897623,1899623,1898623,2000
11,Chr1,2148959,2150959,2149959,2000
17,Chr1,2148959,2150959,2149959,2000
89,Chr1,2369753,2371753,2370753,2000
85,Chr1,2395905,2397905,2396905,2000
21,Chr1,2397471,2399471,2398471,2000
40,Chr1,2447665,2449665,2448665,2000
94,Chr1,2617623,2619623,2618623,2000
73,Chr1,2632367,2634367,2633367,2000
37,Chr1,2678604,2680604,2679604,2000
29,Chr1,2830947,2832947,2831947,2000
30,Chr1,2851598,2853598,2852598,2000
90,Chr1,2875362,2877362,2876362,2000
22,Chr1,2876239,2878239,2877239,2000
5,Chr1,3447692,3449692,3448692,2000
70,Chr1,3447692,3449692,3448692,2000
7,Chr1,3472878,3474878,3473878,2000
4,Chr1,3518726,3520726,3519726,2000
49,Chr1,3564552,3566552,3565552,2000
17,Chr1,3749329,3751329,3750329,2000
62,Chr1,3764629,3766629,3765629,2000
87,Chr1,4048744,4050744,4049744,2000
46,Chr1,4119556,4121556,4120556,2000
14,Chr1,4170293,4172293,4171293,2000
39,Chr1,4170427,4172427,4171427,2000
24,Chr1,4197331,4199331,4198331,2000
68,Chr1,4236583,4238583,4237583,2000
52,Chr1,4290790,4292790,4291790,2000
8,Chr1,4326467,4328467,4327467,2000
82,Chr1,4517553,4519553,4518553,2000
70,Chr1,4531343,4533343,4532343,2000
76,Chr1,4544552,4546552,4545552,2000
26,Chr1,4650697,4652697,4651697,2000
5,Chr1,4749772,4751772,4750772,2000
91,Chr1,4772640,4774640,4773640,2000
86,Chr1,4778447,4780447,4779447,2000
28,Chr1,4812331,4814331,4813331,2000
48,Chr1,4871662,4873662,4872662,2000
34,Chr1,4909348,4911348,4910348,2000
65,Chr1,5048457,5050457,5049457,2000
86,Chr1,5065844,5067844,5066844,2000
55,Chr1,5307913,5309913,5308913,2000
31,Chr1,5373354,5375354,5374354,2000
75,Chr1,5375806,5377806,5376806,2000
71,Chr1,5391775,5393775,5392775,2000
92,Chr1,5426724,5428724,5427724,2000
75,Chr1,5453810,5455810,5454810,2000
53,Chr1,5458430,5460430,5459430,2000
41,Chr1,5587068,5589068,5588068,2000
4,Chr1,5641672,5643672,5642672,2000
34,Chr1,5645252,5647252,5646252,2000
63,Chr1,5649002,5651002,5650002,2000
64,Chr1,5688829,5690829,5689829,2000
23,Chr1,5981353,5983353,5982353,2000
42,Chr1,6187815,6189815,6188815,2000
32,Chr1,6251066,6253066,6252066,2000
74,Chr1,6273237,6275237,6274237,2000
86,Chr1,6355742,6357742,6356742,2000
34,Chr1,6364456,6366456,6365456,2000
21,Chr1,6522302,6524302,6523302,2000
14,Chr1,6607233,6609233,6608233,2000
49,Chr1,6637540,6639540,6638540,2000
90,Chr1,6852978,6854978,6853978,2000
66,Chr1,6867969,6869969,6868969,2000
65,Chr1,6883610,6885610,6884610,2000
93,Chr1,6885176,6887176,6886176,2000
45,Chr1,6915369,6917369,6916369,2000
12,Chr1,7109339,7111339,7110339,2000
46,Chr1,7110117,7112117,7111117,2000
16,Chr1,7114475,7116475,7115475,2000
92,Chr1,7143494,7145494,7144494,2000
44,Chr1,7171529,7173529,7172529,2000
32,Chr1,7298035,7300035,7299035,2000
23,Chr1,7443221,7445221,7444221,2000
6,Chr1,7470616,7472616,7471616,2000
11,Chr1,7746659,7748659,7747659,2000
28,Chr1,7763295,7765295,7764295,2000
83,Chr1,7769628,7771628,7770628,2000
26,Chr1,7786085,7788085,7787085,2000
51,Chr1,7787473,7789473,7788473,2000
41,Chr1,7818373,7820373,7819373,2000
80,Chr1,7829720,7831720,7830720,2000
94,Chr1,7912911,7914911,7913911,2000
3,Chr1,7913806,7915806,7914806,2000
60,Chr1,8049955,8051955,8050955,2000
18,Chr1,8108052,8110052,8109052,2000
85,Chr1,8395425,8397425,8396425,2000
46,Chr1,8599972,8601972,8600972,2000
59,Chr1,8600761,8602761,8601761,2000
28,Chr1,8709273,8711273,8710273,2000
83,Chr1,8996393,8998393,8997393,2000
96,Chr1,9002316,9004316,9003316,2000
18,Chr1,9017696,9019696,9018696,2000
47,Chr1,9084372,9086372,9085372,2000
2,Chr1,9153187,9155187,9154187,2000
56,Chr1,9474590,9476590,9475590,2000
85,Chr1,9480030,9482030,9481030,2000
49,Chr1,9831152,9833152,9832152,2000
83,Chr1,9841004,9843004,9842004,2000
9,Chr1,9853607,9855607,9854607,2000
7,Chr1,9854121,9856121,9855121,2000
69,Chr1,9916931,9918931,9917931,2000
25,Chr1,9917718,9919718,9918718,2000
90,Chr1,9953513,9955513,9954513,2000
79,Chr1,10139343,10141343,10140343,2000
32,Chr1,10166714,10168714,10167714,2000
82,Chr1,10234966,10236966,10235966,2000
89,Chr1,10262870,10264870,10263870,2000
3,Chr1,10283352,10285352,10284352,2000
35,Chr1,10418502,10420502,10419502,2000
67,Chr1,10687281,10689281,10688281,2000
14,Chr1,10701940,10703940,10702940,2000
44,Chr1,10864694,10866694,10865694,2000
79,Chr1,10991864,10993864,10992864,2000
52,Chr1,11040295,11042295,11041295,2000
91,Chr1,11135908,11137908,11136908,2000
5,Chr1,11193489,11195489,11194489,2000
67,Chr1,11226865,11228865,11227865,2000
86,Chr1,11241884,11243884,11242884,2000
59,Chr1,11284641,11286641,11285641,2000
1,Chr1,11320374,11322374,11321374,2000
35,Chr1,11463675,11465675,11464675,2000
55,Chr1,11469906,11471906,11470906,2000
2,Chr1,11490197,11492197,11491197,2000
