lib,chrs,start,stop,cos,width
1,Chr1,6619970,6620076,6620023,106
1,Chr1,17975588,17975935,17975762,347
1,Chr1,19473731,19473736,19473733,5
1,Chr1,28545297,28545824,28545561,527
1,Chr2,1860896,1860998,1860947,102
1,Chr2,10506408,10506410,10506409,2
1,Chr3,1507025,1508190,1507607,1165
1,Chr3,18477141,18477457,18477299,316
1,Chr4,5793003,5794456,5793729,1453
1,Chr4,8922529,8922801,8922665,272
1,Chr5,7752619,7752722,7752671,103
1,Chr5,24374404,24374842,24374623,438
2,Chr1,19852841,19853349,19853095,508
2,Chr2,9987868,9987872,9987870,4
2,Chr2,12293246,12294066,12293656,820
2,Chr4,5183574,5184244,5183909,670
2,Chr5,9969044,9969375,9969210,331
2,Chr5,22277559,22278703,22278131,1144
3,Chr1,3016934,3018133,3017534,1199
3,Chr1,3775325,3776018,3775671,693
3,Chr1,26684976,26686384,26685680,1408
3,Chr1,28208679,28209042,28208861,363
3,Chr2,9985535,9985742,9985639,207
3,Chr2,10804156,10805000,10804578,844
3,Chr2,19489551,19489799,19489675,248
3,Chr3,952637,953374,953005,737
3,Chr3,22421890,22424707,22423298,2817
3,Chr4,79904,80055,79980,151
3,Chr4,11646371,11648174,11647273,1803
3,Chr5,21066886,21067412,21067149,526
3,Chr5,25181216,25181291,25181254,75
4,Chr1,8342139,8342557,8342348,418
4,Chr3,9498042,9498131,9498086,89
4,Chr3,10950476,10950491,10950484,15
4,Chr4,12450369,12450579,12450474,210
4,Chr4,14440291,14441324,14440807,1033
4,Chr5,8999455,8999561,8999508,106
4,Chr5,10875716,10875893,10875804,177
4,Chr5,23921315,23921909,23921612,594
5,Chr1,22669880,22672423,22671152,2543
5,Chr1,28919556,28921564,28920560,2008
5,Chr2,13858234,13858691,13858462,457
5,Chr3,394184,394565,394374,381
5,Chr4,1397516,1397528,1397522,12
5,Chr5,26235896,26235989,26235942,93
5,Chr5,26598281,26599229,26598755,948
6,Chr1,6772739,6773774,6773257,1035
6,Chr1,28651893,28707111,28679502,55218
6,Chr2,2921863,2924135,2922999,2272
6,Chr2,5920713,5920848,5920781,135
6,Chr2,18707596,18707995,18707796,399
6,Chr3,7097453,7097565,7097509,112
6,Chr3,8527639,8529020,8528329,1381
6,Chr3,21044970,21045206,21045088,236
6,Chr4,7245539,7245768,7245653,229
6,Chr5,7819739,7819919,7819829,180
6,Chr5,17925525,17925970,17925747,445
7,Chr1,8863024,8863343,8863184,319
7,Chr1,16778304,16778352,16778328,48
7,Chr2,7751956,7752337,7752146,381
7,Chr2,19319049,19320501,19319775,1452
7,Chr3,7616023,7617844,7616933,1821
7,Chr4,616657,617084,616871,427
7,Chr5,13774735,13774765,13774750,30
7,Chr5,17738283,17739090,17738687,807
8,Chr1,12201915,12202259,12202087,344
8,Chr2,12152497,12154105,12153301,1608
8,Chr2,13821429,13821739,13821584,310
8,Chr3,9300507,9301038,9300773,531
8,Chr3,16241003,16241749,16241376,746
8,Chr4,7246529,7247349,7246939,820
8,Chr5,6767208,6767623,6767416,415
9,Chr1,8355045,8355186,8355115,141
9,Chr1,16642782,16643196,16642989,414
9,Chr1,23577372,23577940,23577656,568
9,Chr1,29874843,29875003,29874923,160
9,Chr2,6916796,6917861,6917328,1065
9,Chr3,23178490,23179753,23179122,1263
9,Chr4,16693938,16694586,16694262,648
9,Chr5,7810197,7810390,7810293,193
9,Chr5,21288933,21291254,21290093,2321
10,Chr1,6314286,6314555,6314420,269
10,Chr1,20784414,20785179,20784796,765
10,Chr2,12353512,12354308,12353910,796
10,Chr4,1397954,1398389,1398172,435
10,Chr4,12103074,12103089,12103082,15
10,Chr4,18206405,18208163,18207284,1758
10,Chr5,9868190,9869689,9868940,1499
11,Chr1,28918510,28919006,28918758,496
11,Chr2,19263042,19263461,19263252,419
11,Chr3,11805484,11805756,11805620,272
11,Chr5,1562536,1563821,1563178,1285
11,Chr5,10148140,10148698,10148419,558
12,Chr1,4953738,4954007,4953872,269
12,Chr1,11224291,11224308,11224299,17
12,Chr1,14024190,14027086,14025638,2896
12,Chr2,1696398,1696501,1696450,103
12,Chr2,5393223,5393279,5393251,56
12,Chr2,14374454,14375065,14374760,611
12,Chr3,9649726,9649783,9649754,57
12,Chr3,11739302,11739335,11739318,33
12,Chr4,491702,492590,492146,888
12,Chr4,16309249,16309737,16309493,488
12,Chr5,1868216,1872781,1870498,4565
12,Chr5,2367234,2367483,2367358,249
12,Chr5,16842897,16843192,16843045,295
13,Chr1,3561504,3562114,3561809,610
13,Chr1,4871666,4871740,4871703,74
13,Chr1,8947942,8948894,8948418,952
13,Chr1,20437736,20437958,20437847,222
13,Chr1,25250695,25253343,25252019,2648
13,Chr3,10738349,10738388,10738369,39
13,Chr3,18673005,18674157,18673581,1152
13,Chr4,1048582,1048971,1048776,389
13,Chr4,17413244,17414726,17413985,1482
13,Chr5,7755839,7755857,7755848,18
13,Chr5,14717569,14717912,14717741,343
13,Chr5,22191807,22192081,22191944,274
13,Chr5,25197408,25197899,25197654,491
14,Chr1,1694193,1695486,1694839,1293
14,Chr3,17254846,17258036,17256441,3190
