lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,5390705,5390825,5390765,120
results/06_tiger/lib1_MappedOn_tair10,Chr2,19335348,19335584,19335466,236
results/06_tiger/lib1_MappedOn_tair10,Chr4,1244391,1245087,1244739,696
results/06_tiger/lib1_MappedOn_tair10,Chr4,5738899,5738920,5738909,21
results/06_tiger/lib1_MappedOn_tair10,Chr5,7162678,7163006,7162842,328
results/06_tiger/lib1_MappedOn_tair10,Chr5,19924188,19924319,19924254,131
results/06_tiger/lib1_MappedOn_tair10,Chr5,22030373,22030478,22030425,105
results/06_tiger/lib10_MappedOn_tair10,Chr1,17252716,17253039,17252878,323
results/06_tiger/lib10_MappedOn_tair10,Chr3,8973456,8973512,8973484,56
results/06_tiger/lib10_MappedOn_tair10,Chr3,9422051,9422377,9422214,326
results/06_tiger/lib10_MappedOn_tair10,Chr3,16923555,16924023,16923789,468
results/06_tiger/lib10_MappedOn_tair10,Chr5,8992438,8993152,8992795,714
results/06_tiger/lib10_MappedOn_tair10,Chr5,26027831,26028101,26027966,270
results/06_tiger/lib11_MappedOn_tair10,Chr1,13012852,13035737,13024294,22885
results/06_tiger/lib11_MappedOn_tair10,Chr1,16933015,16935634,16934325,2619
results/06_tiger/lib11_MappedOn_tair10,Chr4,11901391,11902004,11901697,613
results/06_tiger/lib11_MappedOn_tair10,Chr5,2070573,2071120,2070847,547
results/06_tiger/lib11_MappedOn_tair10,Chr5,14110119,14110225,14110172,106
results/06_tiger/lib11_MappedOn_tair10,Chr5,23300895,23301221,23301058,326
results/06_tiger/lib12_MappedOn_tair10,Chr1,26333702,26333897,26333800,195
results/06_tiger/lib12_MappedOn_tair10,Chr2,12204853,12205751,12205302,898
results/06_tiger/lib12_MappedOn_tair10,Chr2,16159003,16159206,16159105,203
results/06_tiger/lib12_MappedOn_tair10,Chr4,13217586,13218860,13218223,1274
results/06_tiger/lib12_MappedOn_tair10,Chr5,2693685,2693946,2693815,261
results/06_tiger/lib12_MappedOn_tair10,Chr5,18023142,18025152,18024147,2010
results/06_tiger/lib13_MappedOn_tair10,Chr1,23044873,23045597,23045235,724
results/06_tiger/lib13_MappedOn_tair10,Chr4,130310,130947,130628,637
results/06_tiger/lib13_MappedOn_tair10,Chr4,11177513,11178053,11177783,540
results/06_tiger/lib13_MappedOn_tair10,Chr4,14707366,14708612,14707989,1246
results/06_tiger/lib13_MappedOn_tair10,Chr5,1523088,1523516,1523302,428
results/06_tiger/lib13_MappedOn_tair10,Chr5,9803801,9804814,9804307,1013
results/06_tiger/lib13_MappedOn_tair10,Chr5,13749867,13752856,13751361,2989
results/06_tiger/lib13_MappedOn_tair10,Chr5,14961211,14967872,14964541,6661
results/06_tiger/lib13_MappedOn_tair10,Chr5,22240249,22241296,22240773,1047
results/06_tiger/lib14_MappedOn_tair10,Chr1,6866884,6867502,6867193,618
results/06_tiger/lib14_MappedOn_tair10,Chr1,28845358,28845782,28845570,424
results/06_tiger/lib14_MappedOn_tair10,Chr2,354421,355286,354853,865
results/06_tiger/lib14_MappedOn_tair10,Chr2,15499747,15499870,15499809,123
results/06_tiger/lib14_MappedOn_tair10,Chr3,19596797,19597575,19597186,778
results/06_tiger/lib14_MappedOn_tair10,Chr5,5639867,5640640,5640253,773
results/06_tiger/lib15_MappedOn_tair10,Chr1,8551550,8552395,8551972,845
results/06_tiger/lib15_MappedOn_tair10,Chr1,17209784,17209796,17209790,12
results/06_tiger/lib15_MappedOn_tair10,Chr2,558482,558802,558642,320
results/06_tiger/lib15_MappedOn_tair10,Chr3,259883,260008,259945,125
results/06_tiger/lib15_MappedOn_tair10,Chr4,5736520,5737091,5736806,571
results/06_tiger/lib15_MappedOn_tair10,Chr5,1205328,1205528,1205428,200
results/06_tiger/lib15_MappedOn_tair10,Chr5,3861076,3871424,3866250,10348
results/06_tiger/lib15_MappedOn_tair10,Chr5,26248424,26248958,26248691,534
results/06_tiger/lib16_MappedOn_tair10,Chr1,2284235,2284698,2284467,463
results/06_tiger/lib16_MappedOn_tair10,Chr1,13114982,13114991,13114986,9
