lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,2166974,2170037,2168506,3063
results/06_tiger/lib1_MappedOn_tair10,Chr1,16125547,16125826,16125687,279
results/06_tiger/lib1_MappedOn_tair10,Chr1,20137232,20137661,20137446,429
results/06_tiger/lib1_MappedOn_tair10,Chr1,24833596,24833609,24833602,13
results/06_tiger/lib1_MappedOn_tair10,Chr2,1442493,1443049,1442771,556
results/06_tiger/lib1_MappedOn_tair10,Chr2,12493783,12494099,12493941,316
results/06_tiger/lib1_MappedOn_tair10,Chr2,19084863,19086660,19085761,1797
results/06_tiger/lib1_MappedOn_tair10,Chr3,1584447,1584736,1584591,289
results/06_tiger/lib1_MappedOn_tair10,Chr3,16920472,16920589,16920530,117
results/06_tiger/lib1_MappedOn_tair10,Chr4,14878752,14879872,14879312,1120
results/06_tiger/lib1_MappedOn_tair10,Chr5,1676273,1679252,1677763,2979
results/06_tiger/lib10_MappedOn_tair10,Chr1,6919637,6920638,6920137,1001
results/06_tiger/lib10_MappedOn_tair10,Chr1,18180239,18180861,18180550,622
results/06_tiger/lib10_MappedOn_tair10,Chr2,982994,983775,983384,781
results/06_tiger/lib10_MappedOn_tair10,Chr2,6031345,6031611,6031478,266
results/06_tiger/lib10_MappedOn_tair10,Chr3,6465778,6465929,6465854,151
results/06_tiger/lib10_MappedOn_tair10,Chr4,723628,723825,723726,197
results/06_tiger/lib10_MappedOn_tair10,Chr5,1351007,1352093,1351550,1086
results/06_tiger/lib10_MappedOn_tair10,Chr5,16840930,16841688,16841309,758
results/06_tiger/lib10_MappedOn_tair10,Chr5,24731643,24731829,24731736,186
results/06_tiger/lib100_MappedOn_tair10,Chr1,17060090,17060556,17060323,466
results/06_tiger/lib100_MappedOn_tair10,Chr1,19329839,19329888,19329863,49
results/06_tiger/lib100_MappedOn_tair10,Chr2,7775333,7775349,7775341,16
results/06_tiger/lib100_MappedOn_tair10,Chr2,15327660,15327799,15327730,139
results/06_tiger/lib100_MappedOn_tair10,Chr3,581181,581304,581243,123
results/06_tiger/lib100_MappedOn_tair10,Chr3,2366324,2366357,2366340,33
results/06_tiger/lib100_MappedOn_tair10,Chr3,2420990,2421047,2421018,57
results/06_tiger/lib100_MappedOn_tair10,Chr3,6268038,6268353,6268196,315
results/06_tiger/lib100_MappedOn_tair10,Chr4,16867328,16867522,16867425,194
results/06_tiger/lib100_MappedOn_tair10,Chr5,750700,751149,750924,449
results/06_tiger/lib100_MappedOn_tair10,Chr5,26390788,26391181,26390984,393
results/06_tiger/lib100_MappedOn_tair10,Chr5,26809792,26810276,26810034,484
results/06_tiger/lib1000_MappedOn_tair10,Chr1,4894949,4895565,4895257,616
results/06_tiger/lib1000_MappedOn_tair10,Chr1,11007260,11007310,11007285,50
results/06_tiger/lib1000_MappedOn_tair10,Chr2,9693808,9694162,9693985,354
results/06_tiger/lib1000_MappedOn_tair10,Chr3,639327,639664,639495,337
results/06_tiger/lib1000_MappedOn_tair10,Chr3,3435095,3436300,3435697,1205
results/06_tiger/lib1000_MappedOn_tair10,Chr3,17534669,17535928,17535299,1259
results/06_tiger/lib1000_MappedOn_tair10,Chr5,9518798,9518939,9518868,141
results/06_tiger/lib1000_MappedOn_tair10,Chr5,15644570,15644874,15644722,304
results/06_tiger/lib1000_MappedOn_tair10,Chr5,26102441,26102575,26102508,134
