lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,8533710,8533761,8533736,51
results/06_tiger/lib1_MappedOn_tair10,Chr2,1587873,1588009,1587941,136
results/06_tiger/lib1_MappedOn_tair10,Chr5,17128846,17128917,17128882,71
results/06_tiger/lib10_MappedOn_tair10,Chr1,5002166,5005687,5003926,3521
results/06_tiger/lib10_MappedOn_tair10,Chr1,16840318,16840522,16840420,204
results/06_tiger/lib10_MappedOn_tair10,Chr1,17886136,17893651,17889894,7515
results/06_tiger/lib10_MappedOn_tair10,Chr2,6236991,6237302,6237147,311
results/06_tiger/lib10_MappedOn_tair10,Chr2,6637274,6637459,6637366,185
results/06_tiger/lib10_MappedOn_tair10,Chr3,6913983,6914607,6914295,624
results/06_tiger/lib10_MappedOn_tair10,Chr3,11270482,11270512,11270497,30
results/06_tiger/lib10_MappedOn_tair10,Chr4,5746060,5746361,5746210,301
results/06_tiger/lib10_MappedOn_tair10,Chr4,17804434,17804469,17804452,35
results/06_tiger/lib10_MappedOn_tair10,Chr5,3609944,3610360,3610152,416
results/06_tiger/lib10_MappedOn_tair10,Chr5,23815867,23816113,23815990,246
results/06_tiger/lib11_MappedOn_tair10,Chr1,19550828,19551820,19551324,992
results/06_tiger/lib11_MappedOn_tair10,Chr1,26591901,26594973,26593437,3072
results/06_tiger/lib11_MappedOn_tair10,Chr2,4798890,4799856,4799373,966
results/06_tiger/lib11_MappedOn_tair10,Chr2,16455743,16456164,16455953,421
results/06_tiger/lib11_MappedOn_tair10,Chr3,16837391,16838319,16837855,928
results/06_tiger/lib11_MappedOn_tair10,Chr3,17946476,17947068,17946772,592
results/06_tiger/lib11_MappedOn_tair10,Chr3,23182422,23182463,23182442,41
results/06_tiger/lib11_MappedOn_tair10,Chr4,6257262,6257385,6257324,123
results/06_tiger/lib12_MappedOn_tair10,Chr1,11025233,11026032,11025633,799
results/06_tiger/lib12_MappedOn_tair10,Chr1,16441526,16443663,16442594,2137
results/06_tiger/lib12_MappedOn_tair10,Chr1,19088971,19089501,19089236,530
results/06_tiger/lib12_MappedOn_tair10,Chr3,11103253,11103350,11103301,97
results/06_tiger/lib12_MappedOn_tair10,Chr3,18456756,18458132,18457444,1376
results/06_tiger/lib12_MappedOn_tair10,Chr4,5162823,5163015,5162919,192
results/06_tiger/lib12_MappedOn_tair10,Chr5,497769,497837,497803,68
results/06_tiger/lib12_MappedOn_tair10,Chr5,9170637,9170679,9170658,42
results/06_tiger/lib12_MappedOn_tair10,Chr5,23683263,23683991,23683627,728
results/06_tiger/lib13_MappedOn_tair10,Chr1,17330406,17330642,17330524,236
results/06_tiger/lib13_MappedOn_tair10,Chr3,19171750,19173206,19172478,1456
results/06_tiger/lib13_MappedOn_tair10,Chr4,132009,132798,132403,789
results/06_tiger/lib13_MappedOn_tair10,Chr4,7274281,7274341,7274311,60
results/06_tiger/lib13_MappedOn_tair10,Chr5,15626318,15628929,15627624,2611
results/06_tiger/lib14_MappedOn_tair10,Chr1,11461641,11461711,11461676,70
results/06_tiger/lib14_MappedOn_tair10,Chr1,28927368,28927946,28927657,578
results/06_tiger/lib14_MappedOn_tair10,Chr2,1415618,1416693,1416156,1075
results/06_tiger/lib14_MappedOn_tair10,Chr2,1934124,1934378,1934251,254
results/06_tiger/lib14_MappedOn_tair10,Chr3,1223340,1223574,1223457,234
results/06_tiger/lib14_MappedOn_tair10,Chr3,4581540,4583741,4582640,2201
results/06_tiger/lib14_MappedOn_tair10,Chr3,9637197,9637259,9637228,62
results/06_tiger/lib14_MappedOn_tair10,Chr5,883155,884092,883623,937
results/06_tiger/lib14_MappedOn_tair10,Chr5,14529160,14529776,14529468,616
results/06_tiger/lib15_MappedOn_tair10,Chr1,8308193,8308560,8308377,367
results/06_tiger/lib15_MappedOn_tair10,Chr1,17555896,17556715,17556306,819
results/06_tiger/lib15_MappedOn_tair10,Chr1,29243474,29244865,29244170,1391
