lib	chr	start	end	cos	width
1	1	7194315	7195393	7194854	1078
1	1	11467823	11468046	11467935	223
1	1	19919436	19921013	19920224	1577
1	1	20383608	20386138	20384873	2530
1	1	21033943	21037466	21035705	3523
1	1	23523471	23525614	23524543	2143
1	4	9288965	9289392	9289179	427
1	4	13656782	13656934	13656858	152
1	5	13749867	13752856	13751361	2989
1	5	19393327	19393804	19393565	477
2	1	3676526	3677300	3676913	774
2	1	5962889	5963494	5963191	605
2	1	8549074	20835976	14692525	12286902
2	1	26367869	26371807	26369838	3938
2	1	28932526	28934610	28933568	2084
2	3	8911779	8912351	8912065	572
2	3	17945366	17945396	17945381	30
2	4	1090170	1090639	1090404	469
2	4	8822958	8823059	8823008	101
2	4	9329019	9329171	9329095	152
2	4	10796845	10797052	10796949	207
2	4	12011495	12012029	12011762	534
2	4	12852098	12854594	12853346	2496
2	5	16136430	16137478	16136954	1048
2	5	16430124	16430797	16430460	673
2	5	19160029	19162278	19161153	2249
2	5	25568423	25570806	25569615	2383
3	1	7087633	7087759	7087696	126
3	1	9214342	9223223	9218782	8881
3	1	9649645	9649687	9649666	42
3	1	18413126	18413346	18413236	220
3	1	23578489	25395186	24486837	1816697
3	1	27989927	27990155	27990041	228
3	1	28651893	28707111	28679502	55218
3	2	14884146	14884716	14884431	570
3	2	16781147	16782510	16781829	1363
3	3	1727244	1728216	1727730	972
3	3	2177215	2177347	2177281	132
3	3	6154292	8282562	7218427	2128270
3	3	9970023	9971356	9970689	1333
3	3	17551986	17552472	17552229	486
4	1	5638779	5638876	5638827	97
4	1	6885300	6885664	6885482	364
4	1	8137899	18196812	13167355	10058913
4	1	21016801	21017506	21017153	705
4	1	24917120	24917376	24917248	256
4	2	6308851	6309098	6308975	247
4	2	8673082	8675034	8674058	1952
4	2	10105258	10105433	10105346	175
4	2	12011048	12011492	12011270	444
4	3	1648982	1653409	1651196	4427
4	3	2257141	2257586	2257363	445
4	3	3664090	3664178	3664134	88
4	3	5418342	5418902	5418622	560
4	3	6970532	6986764	6978648	16232
4	3	18208642	18208895	18208768	253
4	4	89414	89476	89445	62
4	4	6370440	6370798	6370619	358
4	5	269658	270140	269899	482
4	5	1493747	1494938	1494343	1191
4	5	2278030	8600997	5439514	6322967
4	5	18718892	18720366	18719629	1474
4	5	20070931	20072487	20071709	1556
4	5	20557341	20557463	20557402	122
4	5	21611277	21612533	21611905	1256
5	1	210850	266254	238552	55404
5	1	8863024	8863343	8863184	319
5	1	9698514	9701155	9699834	2641
5	1	10547236	10547553	10547394	317
5	2	13840701	13842763	13841732	2062
5	2	17814036	17818369	17816202	4333
6	1	2808268	2809650	2808959	1382
6	1	7704631	7705248	7704939	617
6	2	13179075	13179887	13179481	812
6	2	14481724	14481740	14481732	16
6	3	19234220	19236822	19235521	2602
6	3	21263107	21263872	21263489	765
6	5	23790818	23792149	23791484	1331
6	5	24954326	24954450	24954388	124
7	1	183808	207856	195832	24048
7	1	1124879	1131718	1128299	6839
7	1	2298564	3526384	2912474	1227820
7	1	5119148	5123732	5121440	4584
7	1	6017009	6017454	6017231	445
7	1	8527998	8528228	8528113	230
7	1	21709255	21709363	21709309	108
7	2	9396583	9397346	9396965	763
7	2	13912977	13913348	13913163	371
7	2	14346688	14347535	14347112	847
7	2	16287118	16288759	16287938	1641
7	4	12621706	12621996	12621851	290
7	4	15971627	15972314	15971971	687
7	5	7098209	7100967	7099588	2758
7	5	19159862	19160029	19159946	167
8	3	4849185	4849481	4849333	296
8	3	18958530	18958602	18958566	72
8	4	7811317	7812279	7811798	962
8	4	14051574	14052783	14052178	1209
9	1	10031312	10032561	10031936	1249
9	1	13142745	13143966	13143355	1221
9	1	23498972	23499363	23499168	391
9	1	27838557	27838742	27838649	185
9	2	14428356	14429294	14428825	938
9	2	16648496	16648541	16648518	45
9	3	406965	408844	407905	1879
9	3	7049755	7051506	7050631	1751
9	4	7461544	7462068	7461806	524
9	4	8105206	8105765	8105486	559
9	4	8603163	8604632	8603897	1469
9	4	14330660	14330899	14330780	239
9	4	15204543	15206109	15205326	1566
9	4	17969976	17970787	17970382	811
9	5	3132649	3132657	3132653	8
9	5	3851004	3851699	3851352	695
9	5	9002644	9003896	9003270	1252
9	5	14706540	14707094	14706817	554
9	5	16178786	21441595	18810190	5262809
9	5	23223138	23223775	23223456	637
9	5	24782084	24782534	24782309	450
10	1	4527060	4529000	4528030	1940
10	1	4967219	4969845	4968532	2626
10	3	469557	471989	470773	2432
10	3	1244004	1246180	1245092	2176
10	3	4437135	4439720	4438427	2585
10	3	5764990	5766343	5765666	1353
10	3	6705633	6705940	6705787	307
10	3	8033512	8034094	8033803	582
10	3	15605451	15605602	15605527	151
10	3	19896359	19897232	19896795	873
10	4	7463073	7463965	7463519	892
10	4	8605455	8606624	8606039	1169
10	4	10798824	10799246	10799035	422
10	4	13073950	13075040	13074495	1090
10	4	13532756	13532903	13532830	147
10	4	14119064	14120740	14119902	1676
10	5	1507237	1507420	1507329	183
10	5	3020529	3026985	3023757	6456
10	5	3829814	8080970	5955392	4251156
10	5	20805528	20807633	20806580	2105
10	5	23236648	23239378	23238013	2730
11	3	20480562	20480903	20480732	341
11	3	21468762	21492444	21480603	23682
11	4	125589	126194	125891	605
11	4	1213378	1213579	1213478	201
11	5	16428883	16429814	16429349	931
11	5	23097129	23098340	23097735	1211
12	1	1137318	1138098	1137708	780
12	1	4837891	4841040	4839465	3149
12	1	5284822	11598488	8441655	6313666
12	1	17251775	17251818	17251797	43
12	1	23414065	23414824	23414445	759
12	3	3284381	3290911	3287646	6530
12	3	19016057	19016226	19016141	169
13	1	9730682	9739614	9735148	8932
13	1	19007704	19007991	19007848	287
13	1	20948514	20949886	20949200	1372
13	1	25705029	25705175	25705102	146
13	2	14658260	14659515	14658888	1255
13	2	15148970	15150062	15149516	1092
13	2	17086526	17089012	17087769	2486
13	2	17814036	17818369	17816202	4333
13	3	4264744	4266349	4265546	1605
13	3	4830786	4833045	4831916	2259
