lib	chr	start	end	cos	width
3	5	8146241	8146842	8146541	601
3	5	25975808	25976643	25976226	835
4	1	7118491	7120370	7119431	1879
4	1	18364561	18365892	18365227	1331
5	1	6772739	6773774	6773257	1035
5	1	28651893	28707111	28679502	55218
6	5	2367234	2367483	2367358	249
6	5	16842379	16842897	16842638	518
7	4	119280	119731	119506	451
7	4	17229322	17230031	17229676	709
8	5	4158621	4159259	4158940	638
8	5	26245196	26245810	26245503	614
9	1	1977308	1977945	1977626	637
9	1	11863177	11864161	11863669	984
9	3	4789061	4789432	4789247	371
9	3	7845128	7864457	7854792	19329
9	5	6224878	6224981	6224930	103
9	5	25755295	25755658	25755477	363
10	5	9969044	9969375	9969210	331
10	5	22277559	22278703	22278131	1144
12	3	1121465	1122294	1121879	829
12	3	14811793	14812859	14812326	1066
13	1	8354852	8355045	8354948	193
13	1	16643504	16643665	16643584	161
13	5	7811026	7812011	7811518	985
13	5	21292983	21293186	21293085	203
20	1	432021	432547	432284	526
20	1	17248322	17248343	17248332	21
21	5	497253	497380	497317	127
21	5	6414528	6414575	6414552	47
23	3	906192	906827	906510	635
23	3	8858623	8858872	8858747	249
27	3	3948135	3948751	3948443	616
27	3	23261142	23261229	23261186	87
30	5	13593377	13593668	13593523	291
30	5	25739216	25739673	25739444	457
32	1	16471958	16472503	16472230	545
32	1	23189519	23189900	23189709	381
34	3	9377671	9377864	9377767	193
34	3	10767910	10772633	10770272	4723
39	1	7172709	7174610	7173659	1901
39	1	8941678	8941903	8941790	225
40	1	1636129	1638242	1637185	2113
40	1	22782428	22783568	22782998	1140
40	5	2630662	2630815	2630738	153
40	5	26505939	26506415	26506177	476
46	3	9904097	9904514	9904305	417
46	3	17401475	17401779	17401627	304
48	3	5135037	5142262	5138649	7225
48	3	9168089	9168628	9168359	539
51	4	5386905	5386999	5386952	94
51	4	17738957	17739728	17739343	771
51	5	364125	364651	364388	526
51	5	15759844	15759946	15759895	102
52	2	179750	179823	179786	73
52	2	11777516	11777616	11777566	100
55	3	9215529	9216876	9216203	1347
55	3	20072455	20073157	20072806	702
56	1	624717	625021	624869	304
56	1	23460129	23461440	23460785	1311
58	1	13258184	13258230	13258207	46
58	1	29498689	29498971	29498830	282
58	3	1923274	1923571	1923422	297
58	3	16953563	16954032	16953797	469
67	1	18912214	18913201	18912708	987
67	1	28415902	28416013	28415958	111
67	3	7932884	7933177	7933030	293
67	3	18070553	18070648	18070601	95
69	5	5009848	5010089	5009968	241
69	5	16663275	16665406	16664341	2131
73	1	16265633	16266209	16265921	576
73	1	28921564	28922256	28921910	692
73	5	2444535	2445031	2444783	496
73	5	21868070	21868801	21868436	731
75	1	8548974	8549074	8549024	100
75	1	17856825	17857859	17857342	1034
81	3	1177533	1177790	1177661	257
81	3	4377061	4377450	4377255	389
81	4	5848175	5849120	5848647	945
81	4	17782455	17785282	17783869	2827
81	5	13879924	13880021	13879972	97
81	5	15421114	15421321	15421218	207
83	4	5365607	5365831	5365719	224
83	4	16918514	16918607	16918560	93
83	5	17840009	17840636	17840323	627
83	5	26885612	26886524	26886068	912
87	2	6467123	6467289	6467206	166
87	2	16291240	16292215	16291728	975
88	5	8659332	8659780	8659556	448
88	5	16644193	16644427	16644310	234
89	1	16137863	16138078	16137971	215
89	1	23863264	23865339	23864302	2075
91	1	24538166	24538388	24538277	222
91	1	28860968	28861293	28861130	325
91	2	6688048	6688548	6688298	500
91	2	13951025	13951459	13951242	434
92	1	21685305	21686048	21685677	743
92	1	23802525	23803153	23802839	628
95	1	3949439	4010265	3979852	60826
95	1	25030074	25031220	25030647	1146
