lib,chrs,start,stop,cos,width
131,Chr1,111871,113871,112871,2000
164,Chr1,435517,437517,436517,2000
40,Chr1,435517,437517,436517,2000
151,Chr1,450212,452212,451212,2000
19,Chr1,450212,452212,451212,2000
16,Chr1,563264,565264,564264,2000
237,Chr1,563264,565264,564264,2000
104,Chr1,564941,566941,565941,2000
165,Chr1,566350,568350,567350,2000
83,Chr1,570498,572498,571498,2000
99,Chr1,608157,610157,609157,2000
121,Chr1,608582,610582,609582,2000
127,Chr1,623989,625989,624989,2000
200,Chr1,628108,630108,629108,2000
144,Chr1,634149,636149,635149,2000
71,Chr1,842931,844931,843931,2000
55,Chr1,1076011,1078011,1077011,2000
29,Chr1,1076888,1078888,1077888,2000
25,Chr1,1150486,1152486,1151486,2000
166,Chr1,1151164,1153164,1152164,2000
79,Chr1,1204917,1206917,1205917,2000
123,Chr1,1427619,1429619,1428619,2000
177,Chr1,1464834,1466834,1465834,2000
184,Chr1,1640457,1642457,1641457,2000
14,Chr1,1698110,1700110,1699110,2000
155,Chr1,1698110,1700110,1699110,2000
153,Chr1,1980901,1982901,1981901,2000
23,Chr1,2357302,2359302,2358302,2000
51,Chr1,2357302,2359302,2358302,2000
222,Chr1,2383782,2385782,2384782,2000
64,Chr1,2443971,2445971,2444971,2000
89,Chr1,2447665,2449665,2448665,2000
20,Chr1,2448557,2450557,2449557,2000
180,Chr1,2616750,2618750,2617750,2000
197,Chr1,2821629,2823629,2822629,2000
3,Chr1,3020830,3022830,3021830,2000
54,Chr1,3027726,3029726,3028726,2000
13,Chr1,3565119,3567119,3566119,2000
159,Chr1,3565119,3567119,3566119,2000
233,Chr1,3582859,3584859,3583859,2000
22,Chr1,3592195,3594195,3593195,2000
54,Chr1,3777228,3779228,3778228,2000
3,Chr1,3778983,3780983,3779983,2000
226,Chr1,3893494,3895494,3894494,2000
239,Chr1,3983160,3985160,3984160,2000
50,Chr1,3991721,3993721,3992721,2000
103,Chr1,4084156,4086156,4085156,2000
213,Chr1,4121194,4123194,4122194,2000
34,Chr1,4124738,4126738,4125738,2000
62,Chr1,4124738,4126738,4125738,2000
33,Chr1,4153602,4155602,4154602,2000
82,Chr1,4216728,4218728,4217728,2000
128,Chr1,4236818,4238818,4237818,2000
178,Chr1,4237009,4239009,4238009,2000
175,Chr1,4238142,4240142,4239142,2000
183,Chr1,4299774,4301774,4300774,2000
48,Chr1,4362784,4364784,4363784,2000
110,Chr1,4587975,4589975,4588975,2000
133,Chr1,4653735,4655735,4654735,2000
71,Chr1,4756072,4758072,4757072,2000
13,Chr1,4875013,4877013,4876013,2000
159,Chr1,4875926,4877926,4876926,2000
103,Chr1,4877393,4879393,4878393,2000
27,Chr1,4891917,4893917,4892917,2000
160,Chr1,4893025,4895025,4894025,2000
228,Chr1,4898569,4900569,4899569,2000
143,Chr1,4950760,4952760,4951760,2000
12,Chr1,4957185,4959185,4958185,2000
150,Chr1,4963512,4965512,4964512,2000
92,Chr1,5065844,5067844,5066844,2000
69,Chr1,5148902,5150902,5149902,2000
117,Chr1,5391031,5393031,5392031,2000
92,Chr1,5653855,5655855,5654855,2000
105,Chr1,5829362,5831362,5830362,2000
127,Chr1,6019793,6021793,6020793,2000
161,Chr1,6313705,6315705,6314705,2000
10,Chr1,6317748,6319748,6318748,2000
1,Chr1,6623361,6625361,6624361,2000
53,Chr1,6623886,6625886,6624886,2000
172,Chr1,6625257,6627257,6626257,2000
38,Chr1,6627373,6629373,6628373,2000
145,Chr1,6628842,6630842,6629842,2000
91,Chr1,6645145,6647145,6646145,2000
149,Chr1,6776593,6778593,6777593,2000
6,Chr1,6776593,6778593,6777593,2000
121,Chr1,6868948,6870948,6869948,2000
17,Chr1,7017529,7019529,7018529,2000
61,Chr1,7017529,7019529,7018529,2000
148,Chr1,7122784,7124784,7123784,2000
