lib,chrs,start,stop,cos,width
results/06_tiger/lib1_MappedOn_tair10,Chr1,13254785,13254844,13254815,59
results/06_tiger/lib1_MappedOn_tair10,Chr1,17188679,17188739,17188709,60
results/06_tiger/lib1_MappedOn_tair10,Chr2,205186,215586,210386,10400
results/06_tiger/lib1_MappedOn_tair10,Chr2,9695085,9696068,9695577,983
results/06_tiger/lib1_MappedOn_tair10,Chr2,18343886,18343953,18343920,67
results/06_tiger/lib1_MappedOn_tair10,Chr3,8174917,8175692,8175305,775
results/06_tiger/lib1_MappedOn_tair10,Chr3,15604547,15604694,15604621,147
results/06_tiger/lib1_MappedOn_tair10,Chr5,9522294,9523733,9523014,1439
results/06_tiger/lib1_MappedOn_tair10,Chr5,15384939,15385604,15385271,665
results/06_tiger/lib10_MappedOn_tair10,Chr1,10324707,10326692,10325699,1985
results/06_tiger/lib10_MappedOn_tair10,Chr2,6893445,6893456,6893451,11
results/06_tiger/lib10_MappedOn_tair10,Chr2,18830232,18830724,18830478,492
results/06_tiger/lib10_MappedOn_tair10,Chr3,16454852,16455707,16455280,855
results/06_tiger/lib10_MappedOn_tair10,Chr4,5425887,5427310,5426599,1423
results/06_tiger/lib10_MappedOn_tair10,Chr4,6237752,6237839,6237796,87
results/06_tiger/lib10_MappedOn_tair10,Chr4,16479905,16480612,16480259,707
results/06_tiger/lib10_MappedOn_tair10,Chr5,9658917,9659262,9659089,345
results/06_tiger/lib11_MappedOn_tair10,Chr1,12891389,12891795,12891592,406
results/06_tiger/lib11_MappedOn_tair10,Chr3,7452644,7453500,7453072,856
results/06_tiger/lib11_MappedOn_tair10,Chr3,20495568,20496213,20495890,645
results/06_tiger/lib11_MappedOn_tair10,Chr5,9968392,9968910,9968651,518
results/06_tiger/lib11_MappedOn_tair10,Chr5,22179501,22179713,22179607,212
results/06_tiger/lib12_MappedOn_tair10,Chr1,1817775,1819235,1818505,1460
results/06_tiger/lib12_MappedOn_tair10,Chr1,21369587,21369825,21369706,238
results/06_tiger/lib12_MappedOn_tair10,Chr2,17905376,17916319,17910848,10943
results/06_tiger/lib12_MappedOn_tair10,Chr3,16730110,16730462,16730286,352
results/06_tiger/lib12_MappedOn_tair10,Chr4,5143324,5143455,5143390,131
results/06_tiger/lib12_MappedOn_tair10,Chr4,10758705,10759146,10758925,441
results/06_tiger/lib12_MappedOn_tair10,Chr5,7111750,7113177,7112464,1427
results/06_tiger/lib12_MappedOn_tair10,Chr5,21982278,21982795,21982536,517
results/06_tiger/lib13_MappedOn_tair10,Chr2,7263709,7264863,7264286,1154
results/06_tiger/lib13_MappedOn_tair10,Chr2,19165544,19165916,19165730,372
results/06_tiger/lib13_MappedOn_tair10,Chr3,19637216,19642149,19639682,4933
results/06_tiger/lib13_MappedOn_tair10,Chr5,10238994,10239128,10239061,134
results/06_tiger/lib13_MappedOn_tair10,Chr5,22190368,22191441,22190904,1073
results/06_tiger/lib14_MappedOn_tair10,Chr1,617882,618452,618167,570
results/06_tiger/lib14_MappedOn_tair10,Chr1,9771687,9773446,9772567,1759
results/06_tiger/lib14_MappedOn_tair10,Chr1,28141856,28144840,28143348,2984
results/06_tiger/lib14_MappedOn_tair10,Chr2,221282,221409,221346,127
results/06_tiger/lib14_MappedOn_tair10,Chr3,1091632,1094361,1092996,2729
results/06_tiger/lib14_MappedOn_tair10,Chr3,3582556,3583321,3582938,765
results/06_tiger/lib14_MappedOn_tair10,Chr3,15615740,15615988,15615864,248
results/06_tiger/lib14_MappedOn_tair10,Chr3,22006252,22006321,22006286,69
results/06_tiger/lib14_MappedOn_tair10,Chr4,197224,197262,197243,38
results/06_tiger/lib14_MappedOn_tair10,Chr4,3356686,3357426,3357056,740
results/06_tiger/lib14_MappedOn_tair10,Chr4,9304128,9304964,9304546,836
results/06_tiger/lib14_MappedOn_tair10,Chr5,14550200,14550961,14550580,761
results/06_tiger/lib14_MappedOn_tair10,Chr5,15379723,15379893,15379808,170
results/06_tiger/lib15_MappedOn_tair10,Chr1,7758430,7758705,7758568,275
results/06_tiger/lib15_MappedOn_tair10,Chr2,874011,874218,874115,207
results/06_tiger/lib15_MappedOn_tair10,Chr2,9752950,9752996,9752973,46
results/06_tiger/lib15_MappedOn_tair10,Chr2,18523140,18523833,18523486,693
results/06_tiger/lib15_MappedOn_tair10,Chr3,11288783,11288928,11288855,145
results/06_tiger/lib15_MappedOn_tair10,Chr3,11746371,11746680,11746525,309
results/06_tiger/lib15_MappedOn_tair10,Chr5,319235,320018,319627,783
results/06_tiger/lib15_MappedOn_tair10,Chr5,21838922,21839001,21838962,79
results/06_tiger/lib16_MappedOn_tair10,Chr2,1522777,1522811,1522794,34
results/06_tiger/lib16_MappedOn_tair10,Chr3,8921498,8922681,8922090,1183
results/06_tiger/lib16_MappedOn_tair10,Chr3,16984922,16985515,16985218,593
results/06_tiger/lib16_MappedOn_tair10,Chr4,179114,180064,179589,950
results/06_tiger/lib17_MappedOn_tair10,Chr1,28746408,28756009,28751208,9601
results/06_tiger/lib17_MappedOn_tair10,Chr2,12435768,12435845,12435806,77
results/06_tiger/lib17_MappedOn_tair10,Chr3,4120678,4121800,4121239,1122
results/06_tiger/lib17_MappedOn_tair10,Chr3,9648354,9648460,9648407,106
results/06_tiger/lib17_MappedOn_tair10,Chr3,10072664,10074191,10073428,1527
results/06_tiger/lib17_MappedOn_tair10,Chr3,20875327,20875626,20875477,299
results/06_tiger/lib17_MappedOn_tair10,Chr4,5231693,5232057,5231875,364
