lib	chr	start	end	cos	width
2	2	7049444	7050941	7050192	1497
2	2	18472216	18473450	18472833	1234
3	1	17169045	17169291	17169168	246
3	1	28455409	28456198	28455803	789
10	4	5746060	5746361	5746210	301
10	4	17804434	17804469	17804452	35
12	5	9170637	9170679	9170658	42
12	5	23683263	23683991	23683627	728
15	2	115565	115824	115695	259
15	2	10809444	10809529	10809486	85
16	1	16835561	16835617	16835589	56
16	1	25432173	25432404	25432289	231
21	1	16430542	16430791	16430666	249
21	1	29381288	29381754	29381521	466
21	5	7097742	7098154	7097948	412
21	5	8796203	8797215	8796709	1012
21	5	14922223	14922310	14922267	87
21	5	24092262	24094878	24093570	2616
26	1	12421398	12422113	12421756	715
26	1	23045824	23046520	23046172	696
28	1	499954	502177	501066	2223
28	1	14158111	14158128	14158119	17
30	4	506570	506945	506758	375
30	4	10379566	10380231	10379898	665
31	5	1936632	1937741	1937186	1109
31	5	15587454	15587983	15587718	529
33	1	1147537	1148269	1147903	732
33	1	10262446	10262456	10262451	10
33	5	804960	805784	805372	824
33	5	18453651	18454285	18453968	634
35	1	7700049	7700733	7700391	684
35	1	25531005	25531765	25531385	760
36	4	646968	647292	647130	324
36	4	17638633	17638794	17638713	161
41	2	5542164	5542392	5542278	228
41	2	18439505	18440051	18439778	546
42	1	523868	549671	536770	25803
42	1	28863622	28864166	28863894	544
42	3	618462	618476	618469	14
42	3	17127305	17127693	17127499	388
49	1	4932549	4933125	4932837	576
49	1	27712849	27713583	27713216	734
51	1	6635063	6635717	6635390	654
51	1	12253849	12253995	12253922	146
56	3	18410688	18411786	18411237	1098
56	3	19459510	19460757	19460134	1247
60	5	2060651	2061435	2061043	784
60	5	20070931	20072487	20071709	1556
61	1	10055729	10055839	10055784	110
61	1	21937695	21939241	21938468	1546
63	1	5973692	5974262	5973977	570
63	1	17389102	17390041	17389572	939
65	1	3321865	3323366	3322615	1501
65	1	26192611	26192778	26192695	167
66	1	7053619	7056265	7054942	2646
66	1	24988638	24989208	24988923	570
68	2	7229654	7229681	7229668	27
68	2	18703145	18703587	18703366	442
70	5	7980093	7980174	7980133	81
70	5	15024093	15024238	15024165	145
71	1	10556539	10556749	10556644	210
71	1	28010976	28011825	28011400	849
75	1	8432553	8432604	8432579	51
75	1	26240710	26240886	26240798	176
77	1	6395218	6395573	6395396	355
77	1	17419655	17420288	17419971	633
79	2	5166013	5166308	5166161	295
79	2	18360870	18361272	18361071	402
80	4	9430673	9430883	9430778	210
80	4	11270054	11270950	11270502	896
81	1	12607820	12607954	12607887	134
81	1	28028695	28029060	28028877	365
82	2	8630819	8630822	8630821	3
82	2	16761657	16763799	16762728	2142
86	3	1423930	1433139	1428534	9209
86	3	4788047	4788703	4788375	656
87	5	9830595	9831217	9830906	622
87	5	21380408	21380608	21380508	200
88	2	9809617	9810382	9809999	765
88	2	18721683	18721996	18721839	313
88	5	7659319	7659927	7659623	608
88	5	25459627	25460789	25460208	1162
91	1	566579	566941	566760	362
91	1	24385359	24385471	24385415	112
92	1	679340	679901	679620	561
92	1	26253077	26253151	26253114	74
92	3	6164430	6164691	6164560	261
92	3	10358453	10358741	10358597	288
93	2	168536	168737	168636	201
93	2	18832609	18833570	18833089	961
93	3	246408	247455	246932	1047
93	3	20521328	20522528	20521928	1200
95	5	10640123	10640616	10640369	493
95	5	26249971	26250065	26250018	94
97	5	9713163	9716705	9714934	3542
97	5	26766446	26768820	26767633	2374
99	3	16876259	16876605	16876432	346
99	3	17911713	17912254	17911983	541
100	2	758253	759010	758631	757
100	2	16060633	16061502	16061067	869
101	5	503353	503665	503509	312
101	5	9017026	9020489	9018758	3463
105	5	16154414	16154700	16154557	286
105	5	24990895	24991014	24990955	119
111	5	15797809	15797989	15797899	180
111	5	25652586	25653030	25652808	444
115	1	17060556	17061140	17060848	584
115	1	23248391	23250948	23249669	2557
116	5	1922659	1922754	1922707	95
116	5	25837077	25837524	25837301	447
118	3	5644502	5645637	5645070	1135
118	3	22363903	22364020	22363961	117
118	4	17536025	17536117	17536071	92
118	4	18450884	18451246	18451065	362
119	1	2985919	2986351	2986135	432
119	1	8974635	8974855	8974745	220
119	2	6358317	6358720	6358519	403
119	2	15489978	15490483	15490230	505
120	5	8816853	8816908	8816881	55
120	5	15452049	15452498	15452273	449
121	5	8693812	8695591	8694702	1779
121	5	21631182	21631495	21631338	313
122	3	11739115	11739254	11739185	139
122	3	17538328	17538543	17538436	215
129	2	6817776	6818031	6817904	255
129	2	14145433	14146889	14146161	1456
134	3	17562633	17563101	17562867	468
134	3	21238629	21240410	21239519	1781
134	4	399009	399787	399398	778
134	4	8092478	8092808	8092643	330
137	5	6833157	6833482	6833319	325
137	5	18524719	18529788	18527253	5069
144	5	2646067	2650611	2648339	4544
144	5	17438684	17438707	17438696	23
146	4	6159843	6159939	6159891	96
146	4	18025637	18026173	18025905	536
155	2	275405	275493	275449	88
155	2	19191789	19193993	19192891	2204
161	2	382229	383692	382961	1463
161	2	12757165	12757764	12757465	599
164	1	16891166	16891228	16891197	62
164	1	25157940	25158135	25158038	195
170	3	3575582	3576277	3575930	695
170	3	6431861	6432203	6432032	342
170	5	7673999	7674325	7674162	326
170	5	24396440	24396671	24396556	231
174	5	1272310	1272355	1272332	45
174	5	8735624	8735776	8735700	152
178	2	2272947	2272989	2272968	42
178	2	17876199	17876270	17876235	71
180	5	1556447	1556590	1556519	143
180	5	9458449	9459538	9458993	1089
180	5	16206755	16207115	16206935	360
180	5	23387963	23388614	23388289	651
181	2	712744	712832	712788	88
181	2	15000057	15000466	15000261	409
182	5	8850257	8855729	8852993	5472
182	5	19453423	19453548	19453485	125
186	3	2345980	2346273	2346126	293
186	3	18725241	18725481	18725361	240
192	5	521614	522414	522014	800
192	5	20544372	20544860	20544616	488
