lib,chrs,start,stop,cos,width
1,Chr1,22887244,22887583,22887414,339
1,Chr2,6034151,6034289,6034220,138
1,Chr2,7065969,7066044,7066007,75
1,Chr3,10808334,10808673,10808504,339
1,Chr4,658722,659462,659092,740
1,Chr4,8386992,8387166,8387079,174
1,Chr4,11152911,11153584,11153247,673
1,Chr5,3479940,3480114,3480027,174
1,Chr5,19453585,19453943,19453764,358
2,Chr1,3887855,3888360,3888107,505
2,Chr1,16658509,16659164,16658837,655
2,Chr2,2258715,2259018,2258867,303
2,Chr4,178452,179114,178783,662
4,Chr1,10891261,10891549,10891405,288
4,Chr1,12421398,12422113,12421756,715
4,Chr1,22774402,22775464,22774933,1062
4,Chr2,6167554,6167617,6167586,63
4,Chr2,17250013,17250893,17250453,880
4,Chr2,18472262,18473450,18472856,1188
4,Chr4,10224450,10224659,10224554,209
4,Chr5,7637477,7638147,7637812,670
4,Chr5,14224612,14225486,14225049,874
4,Chr5,20672299,20672310,20672305,11
5,Chr1,4217855,4218808,4218331,953
5,Chr1,11982689,11988392,11985541,5703
5,Chr1,27952853,27954501,27953677,1648
5,Chr3,18757211,18757270,18757241,59
5,Chr4,6352472,6352554,6352513,82
5,Chr4,8454812,8454977,8454894,165
5,Chr5,3526182,3526620,3526401,438
5,Chr5,24635917,24636214,24636065,297
6,Chr1,8958719,8958998,8958859,279
6,Chr2,368556,368988,368772,432
6,Chr3,11806376,11807089,11806732,713
6,Chr4,401659,402127,401893,468
6,Chr4,17488368,17499224,17493796,10856
6,Chr5,15487154,15487889,15487522,735
6,Chr5,20748374,20752809,20750592,4435
7,Chr1,3745853,3746177,3746015,324
7,Chr1,17495135,17495816,17495475,681
7,Chr1,19415458,19418410,19416934,2952
7,Chr1,28397595,28397624,28397609,29
7,Chr2,1695603,1696398,1696001,795
7,Chr3,16616415,16616592,16616503,177
7,Chr4,7382079,7382252,7382165,173
7,Chr4,15384264,15384542,15384403,278
7,Chr4,17528470,17531934,17530202,3464
7,Chr5,24809470,24810412,24809941,942
8,Chr3,16145067,16145786,16145427,719
8,Chr4,14399940,14400260,14400100,320
9,Chr1,591180,591492,591336,312
9,Chr1,5289584,5293310,5291447,3726
9,Chr1,24646762,24647068,24646915,306
9,Chr1,26515431,26517661,26516546,2230
9,Chr2,11855191,11857425,11856308,2234
9,Chr3,2199839,2200754,2200297,915
9,Chr3,15681916,15682003,15681960,87
9,Chr3,20910344,20911722,20911033,1378
9,Chr4,17277014,17277998,17277506,984
9,Chr5,17241831,17241918,17241875,87
10,Chr1,11670152,11670205,11670178,53
10,Chr2,227811,228665,228238,854
10,Chr2,5832418,5832870,5832644,452
10,Chr3,15658120,15658622,15658371,502
10,Chr4,1304369,1304461,1304415,92
10,Chr4,12769558,12770274,12769916,716
10,Chr5,13560112,13560167,13560140,55
11,Chr1,23941534,23942499,23942016,965
11,Chr2,181285,184074,182679,2789
11,Chr3,7993232,7993925,7993578,693
11,Chr4,719346,719620,719483,274
11,Chr5,4692511,4695328,4693919,2817
11,Chr5,23087131,23088377,23087754,1246
12,Chr1,28208679,28209042,28208861,363
12,Chr2,354421,355286,354853,865
12,Chr2,13673564,13674110,13673837,546
12,Chr2,18446211,18446594,18446403,383
12,Chr3,2998476,2999226,2998851,750
12,Chr3,8929343,8929731,8929537,388
12,Chr3,9904097,9904514,9904305,417
12,Chr3,16849502,16850542,16850022,1040
12,Chr4,6359147,6359224,6359185,77
12,Chr4,7229323,7230116,7229719,793
12,Chr5,9357117,9357531,9357324,414
13,Chr1,17189256,17190126,17189691,870
13,Chr2,277581,277748,277665,167
13,Chr2,8340689,8340873,8340781,184
13,Chr3,10880436,10880944,10880690,508
13,Chr3,11242625,11243053,11242839,428
13,Chr4,621475,623123,622299,1648
13,Chr4,5240515,5241102,5240809,587
13,Chr5,7251318,7252476,7251897,1158
13,Chr5,13467755,13468227,13467991,472
14,Chr1,5054681,5070376,5062529,15695
14,Chr1,21417798,21417892,21417845,94
14,Chr2,507652,508044,507848,392
14,Chr4,179908,180064,179986,156
14,Chr5,1291,1886,1589,595
15,Chr1,10473247,10473414,10473331,167
15,Chr2,2229721,2230194,2229957,473
15,Chr2,6243165,6243687,6243426,522
15,Chr3,11137441,11137955,11137698,514
15,Chr3,11744818,11744888,11744853,70
15,Chr3,20298178,20300032,20299105,1854
15,Chr5,10484925,10485195,10485060,270
16,Chr1,23015565,23016409,23015987,844
16,Chr2,11884731,11886496,11885613,1765
16,Chr3,10777544,10777581,10777562,37
16,Chr4,6751039,6751247,6751143,208
16,Chr4,18171571,18171974,18171773,403
16,Chr5,7177704,7177856,7177780,152
16,Chr5,19133460,19133556,19133508,96
17,Chr1,25025631,25025940,25025785,309
17,Chr2,1598931,1599008,1598969,77
17,Chr2,6226150,6226552,6226351,402
17,Chr2,17494615,17495094,17494855,479
17,Chr3,11297045,11297083,11297064,38
18,Chr2,10551178,10551290,10551234,112
18,Chr3,11155371,11155971,11155671,600
18,Chr3,15776289,15776585,15776437,296
18,Chr4,5743887,5744017,5743952,130
18,Chr4,14781609,14783886,14782747,2277
19,Chr1,6492874,6493044,6492959,170
19,Chr1,8195358,8196167,8195762,809
19,Chr1,19459621,19467813,19463717,8192
19,Chr2,102250,102920,102585,670
19,Chr2,19173386,19174177,19173782,791
19,Chr3,16663739,16663801,16663770,62
19,Chr4,465959,466064,466011,105
19,Chr5,1609465,1610302,1609883,837
19,Chr5,13700048,13700341,13700194,293
20,Chr1,10957533,10957620,10957577,87
20,Chr1,13117380,13117521,13117450,141
20,Chr3,1127692,1128457,1128074,765
20,Chr3,22790819,22791165,22790992,346
20,Chr4,7808014,7808232,7808123,218
20,Chr5,8112752,8113122,8112937,370
20,Chr5,19533670,19533789,19533730,119
21,Chr3,1174416,1174871,1174644,455
21,Chr3,11802588,11802744,11802666,156
21,Chr3,15752182,15752419,15752300,237
21,Chr4,661693,661855,661774,162
21,Chr4,7635896,7636255,7636076,359
21,Chr5,14882198,14882747,14882472,549
22,Chr1,6641514,6642102,6641808,588
22,Chr1,8393960,8394423,8394192,463
22,Chr2,479089,479388,479239,299
22,Chr2,3060062,3060163,3060112,101
22,Chr2,4308122,4308162,4308142,40
22,Chr3,11094540,11096347,11095444,1807
22,Chr4,7065409,7065838,7065623,429
22,Chr4,9131315,9131524,9131419,209
23,Chr2,6456287,6456721,6456504,434
23,Chr3,12362468,12362617,12362542,149
23,Chr3,15751506,15751536,15751521,30
24,Chr1,1922238,1930733,1926486,8495
24,Chr1,2630076,2630806,2630441,730
24,Chr1,13070651,13071106,13070879,455
24,Chr4,5371642,5371695,5371668,53
24,Chr4,7646133,7646630,7646381,497
24,Chr5,15381963,15382749,15382356,786
25,Chr1,13143974,13144032,13144003,58
25,Chr2,681345,681485,681415,140
25,Chr2,9921834,9921858,9921846,24
25,Chr3,10681458,10682165,10681812,707
25,Chr4,10097904,10098032,10097968,128
25,Chr5,15970006,15970886,15970446,880
26,Chr1,13453334,13454946,13454140,1612
26,Chr1,17232764,17235790,17234277,3026
26,Chr2,9769623,9769761,9769692,138
26,Chr3,9347717,9347744,9347731,27
26,Chr3,9682590,9682750,9682670,160
26,Chr4,5142973,5143324,5143149,351
26,Chr5,7268977,7269165,7269071,188
26,Chr5,14715105,14715221,14715163,116
26,Chr5,18531424,18531442,18531433,18
27,Chr1,19909960,19910200,19910080,240
