genotype,lib,chrs,start,stop,cos,width
mmH,1,Chr1,8533710,8533761,8533736,51
mmH,1,Chr2,1587873,1588009,1587941,136
mmH,1,Chr5,17128846,17128917,17128882,71
mmH,2,Chr1,11181018,11181238,11181128,220
mmH,2,Chr1,14001398,14004935,14003166,3537
mmH,2,Chr2,7049444,7050941,7050192,1497
mmH,2,Chr2,18472216,18473450,18472833,1234
mmH,2,Chr4,76516,76984,76750,468
mmH,2,Chr4,12609692,12609786,12609739,94
mmH,2,Chr5,18958442,18958800,18958621,358
mmH,2,Chr5,26809016,26809304,26809160,288
mmH,3,Chr1,17169045,17169291,17169168,246
mmH,3,Chr1,28455409,28456198,28455803,789
mmH,3,Chr2,883098,883708,883403,610
mmH,3,Chr2,1682756,1683082,1682919,326
mmH,3,Chr3,9649378,9649555,9649466,177
mmH,3,Chr3,11106228,11106273,11106250,45
mmH,3,Chr4,5748460,5749312,5748886,852
mmH,3,Chr4,17808838,17814773,17811806,5935
mmH,3,Chr5,24954572,24954629,24954600,57
mmH,4,Chr1,1549147,1549454,1549301,307
mmH,4,Chr3,8585202,8585374,8585288,172
mmH,4,Chr4,484029,484088,484059,59
mmH,4,Chr4,1484138,1484698,1484418,560
mmH,4,Chr4,17670233,17671225,17670729,992
mmH,4,Chr5,9718504,9718811,9718658,307
mmH,4,Chr5,22988925,22990194,22989559,1269
mmH,5,Chr1,13061762,13062354,13062058,592
mmH,5,Chr1,13079352,13079617,13079484,265
mmH,5,Chr1,22518859,22519211,22519035,352
mmH,5,Chr3,8039464,8039688,8039576,224
mmH,5,Chr3,21028479,21029008,21028743,529
mmH,5,Chr4,482152,483141,482646,989
mmH,5,Chr4,11878970,11879229,11879100,259
mmH,5,Chr5,14933107,14933212,14933159,105
mmH,5,Chr5,26368832,26368944,26368888,112
mmH,6,Chr1,20181076,20181556,20181316,480
mmH,6,Chr2,234905,236015,235460,1110
mmH,6,Chr2,9729124,9730790,9729957,1666
mmH,6,Chr4,9177494,9178788,9178141,1294
mmH,6,Chr4,11462783,11463443,11463113,660
mmH,6,Chr5,14520132,14520944,14520538,812
mmH,7,Chr1,19639527,19641022,19640275,1495
mmH,7,Chr2,14344890,14344966,14344928,76
mmH,7,Chr4,5448146,5448551,5448348,405
mmH,7,Chr4,6396235,6396969,6396602,734
mmH,7,Chr5,16898803,16900046,16899425,1243
mmH,8,Chr1,11461863,11461972,11461917,109
mmH,8,Chr2,485058,485305,485182,247
mmH,8,Chr3,16583130,16583145,16583138,15
mmH,8,Chr3,18480165,18480774,18480469,609
mmH,8,Chr4,18130273,18131340,18130807,1067
mmH,8,Chr5,9869969,9870167,9870068,198
mmH,8,Chr5,13471397,13471506,13471451,109
mmH,9,Chr1,7753446,7753690,7753568,244
mmH,9,Chr3,14750825,14751010,14750917,185
mmH,9,Chr3,15940213,15940248,15940231,35
mmH,9,Chr4,11657678,11660456,11659067,2778
mmH,10,Chr1,5002166,5005687,5003926,3521
mmH,10,Chr1,16840318,16840522,16840420,204
mmH,10,Chr1,17886136,17893651,17889894,7515
mmH,10,Chr2,6236991,6237302,6237147,311
mmH,10,Chr2,6637274,6637459,6637366,185
mmH,10,Chr3,6913983,6914607,6914295,624
mmH,10,Chr3,11270482,11270512,11270497,30
mmH,10,Chr4,5746060,5746361,5746210,301
mmH,10,Chr4,17804434,17804469,17804452,35
mmH,10,Chr5,3609944,3610360,3610152,416
mmH,10,Chr5,23815867,23816113,23815990,246
mmH,11,Chr1,19550828,19551820,19551324,992
mmH,11,Chr1,26591901,26594973,26593437,3072
mmH,11,Chr2,4798890,4799856,4799373,966
mmH,11,Chr2,16455743,16456164,16455953,421
mmH,11,Chr3,16837391,16838319,16837855,928
mmH,11,Chr3,17946476,17947068,17946772,592
mmH,11,Chr3,23182422,23182463,23182442,41
mmH,11,Chr4,6257262,6257385,6257324,123
mmH,12,Chr1,11025233,11026032,11025633,799
mmH,12,Chr1,16441526,16443663,16442594,2137
mmH,12,Chr1,19088971,19089501,19089236,530
mmH,12,Chr3,11103253,11103350,11103301,97
mmH,12,Chr3,18456756,18458132,18457444,1376
mmH,12,Chr4,5162823,5163015,5162919,192
mmH,12,Chr5,497769,497837,497803,68
mmH,12,Chr5,9170637,9170679,9170658,42
mmH,12,Chr5,23683263,23683991,23683627,728
mmH,13,Chr1,17330406,17330642,17330524,236
mmH,13,Chr3,19171750,19173206,19172478,1456
mmH,13,Chr4,132009,132798,132403,789
mmH,13,Chr4,7274281,7274341,7274311,60
mmH,13,Chr5,15626318,15628929,15627624,2611
mmH,14,Chr1,11461641,11461711,11461676,70
mmH,14,Chr1,28927368,28927946,28927657,578
mmH,14,Chr2,1415618,1416693,1416156,1075
mmH,14,Chr2,1934124,1934378,1934251,254
mmH,14,Chr3,1223340,1223574,1223457,234
mmH,14,Chr3,4581540,4583741,4582640,2201
mmH,14,Chr3,9637197,9637259,9637228,62
mmH,14,Chr5,883155,884092,883623,937
mmH,14,Chr5,14529160,14529776,14529468,616
