lib	chr	start	end	cos	width
3	1	19090709	19092357	19091533	1648
3	1	25467017	25467979	25467498	962
5	1	16705466	16705799	16705632	333
5	1	22897235	22898487	22897861	1252
6	5	13615722	13615873	13615798	151
6	5	22283293	22283389	22283341	96
11	2	2023202	2023986	2023594	784
11	2	18963672	18963855	18963764	183
11	5	1380679	1380835	1380757	156
11	5	20762914	20763389	20763152	475
14	5	10640123	10640616	10640369	493
14	5	26722441	26722955	26722698	514
16	2	289413	289609	289511	196
16	2	10216306	10216454	10216380	148
16	4	14500253	14502385	14501319	2132
16	4	16184124	16185238	16184681	1114
19	3	19142315	19142489	19142402	174
19	3	23352229	23352500	23352365	271
24	4	5983955	5984686	5984321	731
24	4	17676844	17678216	17677530	1372
25	3	6351444	6351587	6351516	143
25	3	16122442	16122878	16122660	436
26	2	2350013	2350262	2350137	249
26	2	15841267	15841375	15841321	108
26	3	11280611	11280787	11280699	176
26	3	19000667	19002787	19001727	2120
27	5	9072139	9072467	9072303	328
27	5	13595587	13596031	13595809	444
34	2	12297527	12298857	12298192	1330
34	2	18962349	18963642	18962995	1293
36	1	7739748	7741021	7740384	1273
36	1	20490399	20492148	20491273	1749
36	2	1443049	1443793	1443421	744
36	2	12108896	12124196	12116546	15300
36	4	6738331	6739803	6739067	1472
36	4	16862622	16863014	16862818	392
37	1	20267629	20272327	20269978	4698
37	1	24629210	24630452	24629831	1242
38	1	1204549	1206132	1205341	1583
38	1	13117589	13117647	13117618	58
39	2	3188097	4307902	3747999	1119805
39	2	10810865	10812956	10811911	2091
40	5	9208452	9209122	9208787	670
40	5	26351608	26351670	26351639	62
42	5	10164720	10164943	10164832	223
42	5	22390720	22390845	22390782	125
43	5	14315124	14316600	14315862	1476
43	5	23914653	23915459	23915056	806
46	5	13470581	13470955	13470768	374
46	5	22090314	22091266	22090790	952
47	5	9269446	9269851	9269648	405
47	5	25137433	25138445	25137939	1012
49	2	1641150	1641213	1641182	63
49	2	19096844	19098525	19097684	1681
52	5	5616713	5617255	5616984	542
52	5	16577699	16578111	16577905	412
53	1	2390279	2390309	2390294	30
53	1	23789319	23789440	23789379	121
56	3	458650	458740	458695	90
56	3	10895234	10895349	10895292	115
57	4	193761	194455	194108	694
57	4	16447855	16451265	16449560	3410
57	5	1269487	1269796	1269641	309
57	5	15790164	15790704	15790434	540
63	1	11265161	11265575	11265368	414
63	1	29742565	29742718	29742641	153
63	5	2299994	2300679	2300336	685
63	5	14717569	14717912	14717741	343
66	1	658067	658269	658168	202
66	1	8180027	8180557	8180292	530
69	2	612081	613590	612835	1509
69	2	18463587	18464009	18463798	422
71	2	163704	164100	163902	396
71	2	11516380	11516861	11516620	481
77	5	4407466	4410405	4408936	2939
77	5	14976840	14976912	14976876	72
79	1	1712117	1715676	1713897	3559
79	1	24854969	24854989	24854979	20
79	5	4767065	4767463	4767264	398
79	5	9644436	9644626	9644531	190
81	4	890508	891384	890946	876
81	4	9767791	9768643	9768217	852
85	5	445728	446055	445892	327
85	5	1912351	1917207	1914779	4856
86	4	5370443	5370652	5370547	209
86	4	11760276	11760852	11760564	576
90	3	4788047	4788703	4788375	656
90	3	18751617	18752006	18751811	389
95	2	1134935	1135042	1134989	107
95	2	13269644	13273642	13271643	3998
