lib	chr	start	end	gt
results/06_tiger/lib1_MappedOn_tair10	5	1	3479940	LL
results/06_tiger/lib1_MappedOn_tair10	5	3480114	19453585	CL
results/06_tiger/lib1_MappedOn_tair10	5	19453943	26975502	LL
results/06_tiger/lib12_MappedOn_tair10	2	1	354421	CC
results/06_tiger/lib12_MappedOn_tair10	2	355286	13673564	CL
results/06_tiger/lib12_MappedOn_tair10	2	13674110	18446211	CC
results/06_tiger/lib19_MappedOn_tair10	2	1	102250	LL
results/06_tiger/lib19_MappedOn_tair10	2	102920	19173386	CL
results/06_tiger/lib19_MappedOn_tair10	2	19174177	19698289	LL
results/06_tiger/lib19_MappedOn_tair10	5	1	1609465	LL
results/06_tiger/lib19_MappedOn_tair10	5	1610302	13700048	CL
results/06_tiger/lib19_MappedOn_tair10	5	13700341	26975502	LL
results/06_tiger/lib20_MappedOn_tair10	3	1	1127692	CC
results/06_tiger/lib20_MappedOn_tair10	3	1128457	22790819	CL
results/06_tiger/lib20_MappedOn_tair10	3	22791165	23459830	CC
results/06_tiger/lib22_MappedOn_tair10	2	1	479089	LL
results/06_tiger/lib22_MappedOn_tair10	2	479388	3060062	CL
results/06_tiger/lib22_MappedOn_tair10	2	3060163	4308122	LL
results/06_tiger/lib24_MappedOn_tair10	1	1930733	2630076	CC
results/06_tiger/lib24_MappedOn_tair10	1	2630806	13070651	CL
results/06_tiger/lib24_MappedOn_tair10	1	13071106	30427671	CC
results/06_tiger/lib27_MappedOn_tair10	3	3061251	18576295	LL
results/06_tiger/lib27_MappedOn_tair10	3	18576751	20378045	CL
results/06_tiger/lib27_MappedOn_tair10	3	20378085	23459830	LL
results/06_tiger/lib29_MappedOn_tair10	5	6832539	10300913	LL
results/06_tiger/lib29_MappedOn_tair10	5	10301025	22562587	CL
results/06_tiger/lib29_MappedOn_tair10	5	22571233	26210733	LL
results/06_tiger/lib31_MappedOn_tair10	4	1	720418	LL
results/06_tiger/lib31_MappedOn_tair10	4	721033	12211626	CL
results/06_tiger/lib31_MappedOn_tair10	4	12212056	18585056	LL
results/06_tiger/lib34_MappedOn_tair10	5	8768516	10860258	LL
results/06_tiger/lib34_MappedOn_tair10	5	10860398	22506537	CL
results/06_tiger/lib34_MappedOn_tair10	5	22506975	26975502	LL
results/06_tiger/lib36_MappedOn_tair10	3	1	267170	CC
results/06_tiger/lib36_MappedOn_tair10	3	267722	11289200	CL
results/06_tiger/lib36_MappedOn_tair10	3	11289881	12452789	CC
results/06_tiger/lib43_MappedOn_tair10	1	1	4870313	CC
results/06_tiger/lib43_MappedOn_tair10	1	4871395	24515094	CL
results/06_tiger/lib43_MappedOn_tair10	1	24516237	30427671	CC
results/06_tiger/lib43_MappedOn_tair10	4	280112	5386999	LL
results/06_tiger/lib43_MappedOn_tair10	4	5387112	17808838	CL
