lib	chr	start	end	gt
results/06_tiger/lib1_MappedOn_tair10	3	1	1507025	CC
results/06_tiger/lib1_MappedOn_tair10	3	1508190	18477141	CL
results/06_tiger/lib1_MappedOn_tair10	3	18477457	23459830	CC
results/06_tiger/lib1_MappedOn_tair10	5	1	7752619	CC
results/06_tiger/lib1_MappedOn_tair10	5	7752722	24374404	CL
results/06_tiger/lib1_MappedOn_tair10	5	24374842	26975502	CC
results/06_tiger/lib12_MappedOn_tair10	5	1872781	2367234	LL
results/06_tiger/lib12_MappedOn_tair10	5	2367483	16842897	CL
results/06_tiger/lib12_MappedOn_tair10	5	16843192	26975502	LL
results/06_tiger/lib15_MappedOn_tair10	1	1	9955811	CC
results/06_tiger/lib15_MappedOn_tair10	1	9955866	20493296	CL
results/06_tiger/lib15_MappedOn_tair10	1	20496195	29422614	CC
results/06_tiger/lib15_MappedOn_tair10	4	713314	6821928	CC
results/06_tiger/lib15_MappedOn_tair10	4	6823194	11490352	CL
results/06_tiger/lib15_MappedOn_tair10	4	11490440	18585056	CC
results/06_tiger/lib16_MappedOn_tair10	5	1	497370	CC
results/06_tiger/lib16_MappedOn_tair10	5	497380	6411387	CL
results/06_tiger/lib16_MappedOn_tair10	5	6412204	9075489	CC
results/06_tiger/lib17_MappedOn_tair10	5	1	9517427	LL
results/06_tiger/lib17_MappedOn_tair10	5	9518089	18212536	CL
results/06_tiger/lib17_MappedOn_tair10	5	18212702	26975502	LL
results/06_tiger/lib19_MappedOn_tair10	4	1	119731	CC
results/06_tiger/lib19_MappedOn_tair10	4	120416	17230031	CL
results/06_tiger/lib19_MappedOn_tair10	4	17231366	18585056	CC
results/06_tiger/lib2_MappedOn_tair10	5	1	9969044	LL
results/06_tiger/lib2_MappedOn_tair10	5	9969375	22277559	CL
results/06_tiger/lib2_MappedOn_tair10	5	22278703	26975502	LL
results/06_tiger/lib23_MappedOn_tair10	1	2354165	15923472	LL
results/06_tiger/lib23_MappedOn_tair10	1	15923528	29198915	CL
results/06_tiger/lib23_MappedOn_tair10	1	29199476	30427671	LL
results/06_tiger/lib24_MappedOn_tair10	5	1	4158621	CC
results/06_tiger/lib24_MappedOn_tair10	5	4159259	26515605	CL
results/06_tiger/lib24_MappedOn_tair10	5	26515633	26975502	CC
results/06_tiger/lib28_MappedOn_tair10	5	18345117	22175401	LL
results/06_tiger/lib28_MappedOn_tair10	5	22175635	26254090	CL
results/06_tiger/lib28_MappedOn_tair10	5	26254698	26975502	LL
results/06_tiger/lib29_MappedOn_tair10	1	1	1073161	LL
results/06_tiger/lib29_MappedOn_tair10	1	1074092	23354232	CL
results/06_tiger/lib29_MappedOn_tair10	1	23354349	30427671	LL
results/06_tiger/lib3_MappedOn_tair10	2	9985742	10804156	LL
results/06_tiger/lib3_MappedOn_tair10	2	10805000	19489551	CL
results/06_tiger/lib3_MappedOn_tair10	2	19489799	19698289	LL
results/06_tiger/lib3_MappedOn_tair10	4	1	79904	LL
results/06_tiger/lib3_MappedOn_tair10	4	80055	11646371	CL
results/06_tiger/lib3_MappedOn_tair10	4	11648174	18585056	LL
results/06_tiger/lib30_MappedOn_tair10	3	1	1121465	CC
results/06_tiger/lib30_MappedOn_tair10	3	1122294	14811716	CL
results/06_tiger/lib30_MappedOn_tair10	3	14812859	15703814	CC
results/06_tiger/lib35_MappedOn_tair10	2	1	618345	LL
results/06_tiger/lib35_MappedOn_tair10	2	618596	19104354	CL
results/06_tiger/lib35_MappedOn_tair10	2	19105725	19698289	LL
results/06_tiger/lib36_MappedOn_tair10	3	1	1352623	LL
results/06_tiger/lib36_MappedOn_tair10	3	1353199	18780226	CL
results/06_tiger/lib36_MappedOn_tair10	3	18780414	23459830	LL
results/06_tiger/lib37_MappedOn_tair10	1	1	10056800	CC
results/06_tiger/lib37_MappedOn_tair10	1	10057433	19321413	CL
results/06_tiger/lib37_MappedOn_tair10	1	19321584	30427671	CC
results/06_tiger/lib39_MappedOn_tair10	1	1	7118491	CC
results/06_tiger/lib39_MappedOn_tair10	1	7120370	18364561	CL
results/06_tiger/lib39_MappedOn_tair10	1	18365892	30427671	CC
results/06_tiger/lib40_MappedOn_tair10	1	1	432021	LL
results/06_tiger/lib40_MappedOn_tair10	1	432547	17248322	CL
results/06_tiger/lib40_MappedOn_tair10	1	17248343	20235496	LL
results/06_tiger/lib47_MappedOn_tair10	5	1	231011	LL
results/06_tiger/lib47_MappedOn_tair10	5	231438	8698886	CL
results/06_tiger/lib47_MappedOn_tair10	5	8699167	26975502	LL
results/06_tiger/lib6_MappedOn_tair10	1	1	6772739	CC
results/06_tiger/lib6_MappedOn_tair10	1	6773774	28651893	CL
results/06_tiger/lib6_MappedOn_tair10	1	28707111	30427671	CC
results/06_tiger/lib9_MappedOn_tair10	1	1	8355045	CC
results/06_tiger/lib9_MappedOn_tair10	1	8355186	16642782	CL
results/06_tiger/lib9_MappedOn_tair10	1	16643196	23577372	CC
results/06_tiger/lib9_MappedOn_tair10	5	1	7810197	LL
results/06_tiger/lib9_MappedOn_tair10	5	7810390	21288933	CL
results/06_tiger/lib9_MappedOn_tair10	5	21291254	26975502	LL
