lib	chr	start	end	gt
results/06_tiger/lib1_MappedOn_tair10	2	1	469938	CC
results/06_tiger/lib1_MappedOn_tair10	2	470841	9356663	CL
results/06_tiger/lib1_MappedOn_tair10	2	9357937	11907623	CC
results/06_tiger/lib13_MappedOn_tair10	3	1	2357384	LL
results/06_tiger/lib13_MappedOn_tair10	3	2358186	2995852	CL
results/06_tiger/lib13_MappedOn_tair10	3	2995942	15223649	LL
results/06_tiger/lib14_MappedOn_tair10	5	10263458	21358201	CC
results/06_tiger/lib14_MappedOn_tair10	5	21358264	22317312	CL
results/06_tiger/lib14_MappedOn_tair10	5	22318436	26975502	CC
results/06_tiger/lib22_MappedOn_tair10	3	1950701	3156887	CC
results/06_tiger/lib22_MappedOn_tair10	3	3157205	9172748	CL
results/06_tiger/lib22_MappedOn_tair10	3	9173910	23459830	CC
results/06_tiger/lib23_MappedOn_tair10	5	10264141	13902572	CC
results/06_tiger/lib23_MappedOn_tair10	5	13902845	25792004	CL
results/06_tiger/lib23_MappedOn_tair10	5	25792116	26975502	CC
results/06_tiger/lib26_MappedOn_tair10	1	1	16836702	LL
results/06_tiger/lib26_MappedOn_tair10	1	16837014	28746408	CL
results/06_tiger/lib26_MappedOn_tair10	1	28756009	29345538	LL
results/06_tiger/lib27_MappedOn_tair10	2	7024659	10504883	LL
results/06_tiger/lib27_MappedOn_tair10	2	10505005	18803916	CL
results/06_tiger/lib27_MappedOn_tair10	2	18803949	19698289	LL
results/06_tiger/lib3_MappedOn_tair10	4	5827592	6997996	CC
results/06_tiger/lib3_MappedOn_tair10	4	6998490	16553774	CL
results/06_tiger/lib3_MappedOn_tair10	4	16554979	18585056	CC
results/06_tiger/lib33_MappedOn_tair10	1	1	8431089	CC
results/06_tiger/lib33_MappedOn_tair10	1	8431217	26415498	CL
results/06_tiger/lib33_MappedOn_tair10	1	26415744	29754578	CC
results/06_tiger/lib33_MappedOn_tair10	2	2126276	7523941	CC
results/06_tiger/lib33_MappedOn_tair10	2	7524479	13510907	CL
results/06_tiger/lib33_MappedOn_tair10	2	13511711	19698289	CC
results/06_tiger/lib34_MappedOn_tair10	5	1	14245098	CC
results/06_tiger/lib34_MappedOn_tair10	5	14246686	26813856	CL
results/06_tiger/lib34_MappedOn_tair10	5	26814097	26975502	CC
results/06_tiger/lib36_MappedOn_tair10	1	1	11944730	LL
results/06_tiger/lib36_MappedOn_tair10	1	11945606	24964459	CL
