lib	chr	start	end	cos	width
2	5	20943406	20943661	20943534	255
2	5	25972653	25973232	25972943	579
9	5	13749867	13752856	13751361	2989
9	5	22666232	22666813	22666522	581
13	1	13079700	13079789	13079744	89
13	1	30203348	30205256	30204302	1908
17	2	11991100	11991344	11991222	244
17	2	14149230	14149827	14149528	597
17	5	9378963	9379676	9379319	713
17	5	24886349	24887589	24886969	1240
18	1	17334022	17334397	17334210	375
18	1	26514850	26515341	26515096	491
21	3	323058	323623	323340	565
21	3	8557068	8558328	8557698	1260
24	2	746705	756193	751449	9488
24	2	17719724	17720940	17720332	1216
24	5	14922223	14922310	14922267	87
24	5	23003681	23003903	23003792	222
27	1	23898514	23898562	23898538	48
27	1	25661356	25661522	25661439	166
33	1	17712725	17712917	17712821	192
33	1	28437977	28438535	28438256	558
35	3	6536028	6537080	6536554	1052
35	3	11592958	11602084	11597521	9126
38	1	7670142	7670178	7670160	36
38	1	10372328	10372523	10372426	195
39	1	19656508	19656809	19656658	301
39	1	28170307	28173316	28171811	3009
39	5	919743	922206	920975	2463
39	5	14706540	14707094	14706817	554
43	1	13144280	13144290	13144285	10
43	1	24666155	24666591	24666373	436
49	4	966476	972197	969336	5721
49	4	15819449	15819661	15819555	212
49	5	838162	838570	838366	408
49	5	9469794	9470495	9470144	701
51	1	17831754	17832304	17832029	550
51	1	28606383	28606556	28606469	173
51	2	12262891	12263658	12263275	767
51	2	18984139	18984823	18984481	684
53	1	8352248	8352351	8352300	103
53	1	26349989	26351588	26350789	1599
54	1	10950739	10950912	10950825	173
54	1	19401215	19401347	19401281	132
54	3	115083	116531	115807	1448
54	3	11025086	11025764	11025425	678
57	2	9743701	9745780	9744741	2079
57	2	16706103	16709531	16707817	3428
58	5	1933544	1933632	1933588	88
58	5	22054701	22055828	22055265	1127
60	1	6422350	6425917	6424134	3567
60	1	7465929	7466039	7465984	110
61	2	6806236	6806402	6806319	166
61	2	15652709	15653945	15653327	1236
61	5	9358754	9358978	9358866	224
61	5	26636252	26639775	26638014	3523
62	3	7594552	7594758	7594655	206
62	3	18750384	18750630	18750507	246
65	1	17225700	17226690	17226195	990
65	1	28927946	28928700	28928323	754
66	4	5757930	5758681	5758306	751
66	4	17413153	17413201	17413177	48
72	1	563546	566579	565062	3033
72	1	5054681	5070376	5062529	15695
73	1	10963261	10964440	10963851	1179
73	1	24729545	24729871	24729708	326
76	2	2282103	2282406	2282255	303
76	2	18530848	18531564	18531206	716
77	1	1429373	1429386	1429379	13
77	1	26137099	26137883	26137491	784
79	4	7529894	7530505	7530200	611
79	4	9745120	9746200	9745660	1080
86	2	5773223	5773414	5773319	191
86	2	15807604	15807852	15807728	248
93	1	10136511	10137520	10137015	1009
93	1	19492662	19494164	19493413	1502
