lib,chrs,start,stop,cos,width
2,Chr1,4120891,4121964,4121427,1073
2,Chr1,11831935,11832444,11832189,509
2,Chr1,20386138,20387177,20386658,1039
2,Chr1,26543262,26543742,26543502,480
2,Chr2,9672444,9673651,9673048,1207
2,Chr3,5182864,5203184,5193024,20320
2,Chr3,16771063,16771105,16771084,42
2,Chr4,9203825,9207688,9205757,3863
2,Chr5,7912536,7912634,7912585,98
2,Chr5,8759442,8759633,8759538,191
2,Chr5,25848921,25849249,25849085,328
5,Chr1,17226690,17227398,17227044,708
5,Chr2,12397529,12397705,12397617,176
5,Chr3,16430366,16430773,16430570,407
5,Chr4,5427965,5428110,5428037,145
5,Chr4,5590144,5591416,5590780,1272
5,Chr4,16656126,16656133,16656130,7
5,Chr5,4774850,4775323,4775086,473
7,Chr1,562860,563367,563114,507
7,Chr1,3934422,3934448,3934435,26
7,Chr1,8467887,8472031,8469959,4144
7,Chr1,18908099,18908229,18908164,130
7,Chr1,23089613,23090037,23089825,424
7,Chr4,5299202,5299360,5299281,158
7,Chr4,8073032,8073649,8073340,617
7,Chr4,14727906,14728108,14728007,202
7,Chr5,832277,832736,832507,459
7,Chr5,2822183,2825460,2823821,3277
8,Chr1,7693392,7693649,7693520,257
8,Chr1,29828219,29828498,29828359,279
8,Chr3,15358520,15358554,15358537,34
8,Chr4,8896158,8896292,8896225,134
8,Chr4,9747150,9748149,9747650,999
8,Chr5,20935529,20936285,20935907,756
8,Chr5,21601855,21602008,21601931,153
13,Chr1,1949449,1950582,1950015,1133
13,Chr1,7249231,7250893,7250062,1662
13,Chr2,17726622,17727016,17726819,394
13,Chr4,11722192,11722896,11722544,704
13,Chr4,17376270,17376705,17376488,435
14,Chr1,5647747,5649599,5648673,1852
14,Chr2,1858767,1859332,1859049,565
14,Chr3,1918660,1919162,1918911,502
14,Chr3,8926127,8926331,8926229,204
14,Chr3,11215116,11215396,11215256,280
14,Chr4,7433442,7433854,7433648,412
14,Chr4,11902070,11902990,11902530,920
14,Chr4,14420161,14420309,14420235,148
14,Chr5,17808619,17809265,17808942,646
15,Chr1,2030427,2031876,2031151,1449
15,Chr1,7080921,7081281,7081101,360
15,Chr1,16936317,16936442,16936379,125
15,Chr1,25466318,25466715,25466516,397
15,Chr1,26313056,26313907,26313482,851
