lib	chr	start	end	cos	width
1	4	5370713	5371219	5370966	506
1	4	11912716	11912962	11912839	246
1	5	13432790	13433314	13433052	524
1	5	26236560	26236674	26236617	114
2	1	10971013	10971305	10971159	292
2	1	27202618	27202887	27202752	269
3	5	10933722	10933811	10933766	89
3	5	19685859	19685939	19685899	80
6	2	258703	258945	258824	242
6	2	14490638	14491226	14490932	588
7	4	5156959	5157097	5157028	138
7	4	17305959	17309247	17307603	3288
8	3	7864457	7866053	7865255	1596
8	3	18510482	18511171	18510826	689
9	5	747633	748751	748192	1118
9	5	18611030	18611214	18611122	184
14	1	1612185	1613038	1612611	853
14	1	16738504	16764514	16751509	26010
14	4	12118849	12118898	12118873	49
14	4	18421878	18422804	18422341	926
17	3	1910224	1910317	1910270	93
17	3	5446678	5446917	5446798	239
17	3	10331529	10331541	10331535	12
17	3	22933634	22934278	22933956	644
20	1	4895565	4896012	4895789	447
20	1	17644666	17645144	17644905	478
20	2	4321726	4321858	4321792	132
20	2	17359687	17359990	17359839	303
20	4	6614850	6616103	6615476	1253
20	4	11422389	11423106	11422747	717
20	5	6589282	6589480	6589381	198
20	5	17530127	17530537	17530332	410
21	2	12839468	12840596	12840032	1128
21	2	19012554	19013031	19012792	477
21	5	9917214	9917422	9917318	208
21	5	15464376	15464391	15464384	15
23	2	111076	111299	111188	223
23	2	19167926	19168535	19168230	609
23	4	799838	800035	799936	197
23	4	17671589	17672413	17672001	824
24	1	559506	560551	560028	1045
24	1	10327018	10327450	10327234	432
28	3	9335488	9336490	9335989	1002
28	3	22601109	22601314	22601211	205
29	3	21677904	21681549	21679726	3645
29	3	22324128	22331817	22327972	7689
29	4	5786332	5789442	5787887	3110
29	4	13535515	13546672	13541093	11157
32	1	11971670	11973114	11972392	1444
32	1	24833907	24833983	24833945	76
32	5	2061435	2062433	2061934	998
32	5	10484502	10484925	10484714	423
33	1	294969	301465	298217	6496
33	1	16232309	16232882	16232595	573
35	5	281697	281981	281839	284
35	5	10261309	10261698	10261503	389
40	3	11107805	11108169	11107987	364
40	3	16775260	16775458	16775359	198
42	1	8198240	8199854	8199047	1614
42	1	26474905	26475294	26475099	389
42	3	5336191	5336435	5336313	244
42	3	21010268	21011977	21011122	1709
43	3	7798331	7799172	7798751	841
43	3	23093102	23093444	23093273	342
46	1	10666166	10666254	10666210	88
46	1	11818812	11819706	11819259	894
49	1	3758619	3758685	3758652	66
49	1	5836957	5837376	5837167	419
49	5	8282242	8282497	8282370	255
49	5	9431062	9432252	9431657	1190
50	5	6682252	6684950	6683601	2698
50	5	17731891	17732190	17732041	299
51	5	8599689	8599943	8599816	254
51	5	21299656	21299920	21299788	264
53	3	22333644	22334881	22334262	1237
53	3	22762418	22763259	22762838	841
56	1	4186823	4187986	4187405	1163
56	1	24551881	24552092	24551987	211
57	2	869793	870799	870296	1006
57	2	15692634	15694269	15693452	1635
60	1	3080164	3080372	3080268	208
60	1	11770136	11770206	11770171	70
60	3	4054262	4054367	4054314	105
60	3	21061195	21061264	21061229	69
60	4	1533888	1534345	1534116	457
60	4	12148082	12148857	12148470	775
60	5	20277452	20278100	20277776	648
60	5	23796328	23796458	23796393	130
61	1	4289556	4290013	4289784	457
61	1	11819706	11821919	11820812	2213
62	1	7742966	7743220	7743093	254
62	1	24773841	24774867	24774354	1026
64	1	19472231	19472770	19472501	539
64	1	24840925	24843271	24842098	2346
66	4	6112892	6112945	6112918	53
66	4	15861705	15862088	15861897	383
66	5	9852257	9852480	9852369	223
66	5	15010528	15010868	15010698	340
66	5	24376196	24376562	24376379	366
66	5	26491269	26492086	26491677	817
73	1	16560646	16560678	16560662	32
73	1	26437292	26439448	26438370	2156
73	3	19672869	19673898	19673383	1029
73	3	22743110	22743465	22743288	355
73	4	5425097	5425158	5425127	61
73	4	18071235	18071780	18071507	545
74	1	19870787	19871338	19871063	551
74	1	27173722	27174726	27174224	1004
74	5	749606	749962	749784	356
74	5	15796320	15796393	15796356	73
75	5	1044585	1045254	1044919	669
75	5	14853026	14853080	14853053	54
77	1	17634127	17634721	17634424	594
77	1	25699716	25700182	25699949	466
82	4	956389	957416	956903	1027
82	4	17514755	17514782	17514769	27
86	4	16807855	16811704	16809779	3849
86	4	17952600	17954424	17953512	1824
87	1	16128615	16128619	16128617	4
87	1	26748753	26756530	26752641	7777
88	5	320018	320397	320208	379
88	5	15487889	15488255	15488072	366
89	1	11282167	11282207	11282187	40
89	1	28377583	28377703	28377643	120
95	3	5001707	5002150	5001929	443
95	3	18114719	18115010	18114865	291
100	1	4118255	4118745	4118500	490
100	1	25487427	25497948	25492687	10521
101	1	16764514	16764852	16764683	338
101	1	23416833	23417764	23417299	931
103	5	462161	462909	462535	748
103	5	4624846	4625421	4625134	575
105	1	8031695	8033112	8032403	1417
105	1	22932869	22933166	22933017	297
105	3	18752897	18753349	18753123	452
105	3	22634992	22636336	22635664	1344
106	2	6893445	6893456	6893451	11
106	2	18830232	18830724	18830478	492
106	4	6237752	6237839	6237796	87
106	4	16479905	16480612	16480259	707
108	5	7111750	7113177	7112464	1427
108	5	21982278	21982795	21982536	517
109	2	7263709	7264863	7264286	1154
109	2	19165544	19165916	19165730	372
109	5	10238994	10239128	10239061	134
109	5	22190368	22191441	22190904	1073
110	1	617882	618452	618167	570
110	1	9771687	9773446	9772567	1759
110	3	3582556	3583321	3582938	765
110	3	15615740	15615988	15615864	248
110	4	197224	197262	197243	38
110	4	3356686	3357426	3357056	740
111	2	9752950	9752996	9752973	46
111	2	18523140	18523833	18523486	693
113	4	5231693	5232057	5231875	364
113	4	16464582	16469070	16466826	4488
116	3	975375	975518	975447	143
116	3	15971091	15971317	15971204	226
120	5	716439	717534	716987	1095
120	5	14959076	14959434	14959255	358
121	4	658722	659462	659092	740
121	4	9006166	9006286	9006226	120
123	2	810771	811008	810889	237
123	2	17943226	17947699	17945462	4473
125	4	8724018	8724089	8724054	71
125	4	17805511	17805551	17805531	40
126	3	3158409	3158568	3158489	159
126	3	18260966	18261804	18261385	838
126	4	5425097	5425158	5425127	61
126	4	17352525	17353680	17353103	1155
126	5	15632898	15632955	15632926	57
126	5	22122213	22123936	22123075	1723
128	1	8450015	8450985	8450500	970
128	1	25616198	25617073	25616636	875
128	5	2613283	2613467	2613375	184
128	5	22202310	22203327	22202818	1017
132	1	13501378	13501589	13501484	211
132	1	22114597	22114771	22114684	174
134	1	19408960	19409317	19409138	357
134	1	30269554	30270428	30269991	874
136	2	16636524	16636773	16636648	249
136	2	17905376	17916319	17910848	10943
136	5	17099846	17100079	17099962	233
136	5	22972345	22972667	22972506	322
138	4	460764	460813	460788	49
138	4	11917871	11918666	11918269	795
138	5	9269549	9269851	9269700	302
138	5	20014520	20016071	20015296	1551
139	1	11822616	11823726	11823171	1110
139	1	29526634	29526682	29526658	48
140	1	17248675	17248764	17248719	89
140	1	18243862	18243900	18243881	38
142	2	8666888	8667095	8666992	207
142	2	13373123	13373173	13373148	50
147	1	7467846	7467944	7467895	98
147	1	11282499	11318153	11300326	35654
147	5	7981728	7981997	7981862	269
147	5	22972984	22973113	22973048	129
150	1	16717954	16718254	16718104	300
150	1	29412557	29412835	29412696	278
150	3	4605978	4610909	4608444	4931
150	3	18282737	18283710	18283223	973
151	4	1255641	1256367	1256004	726
151	4	6543112	6544764	6543938	1652
159	5	10430808	10432261	10431534	1453
159	5	18538136	18538443	18538290	307
160	4	6375981	6376231	6376106	250
160	4	10803430	10804139	10803784	709
160	5	10637691	10637741	10637716	50
160	5	15485288	15487154	15486221	1866
162	5	944993	945209	945101	216
162	5	14879062	14879274	14879168	212
163	3	1057497	1057638	1057567	141
163	3	9361466	9361886	9361676	420
164	1	8341218	8342139	8341678	921
164	1	28190128	28191967	28191048	1839
164	5	9935521	9936108	9935815	587
164	5	21622137	21622468	21622303	331
165	5	3824879	3827584	3826231	2705
165	5	8775562	8777233	8776398	1671
166	4	5738274	5738403	5738338	129
166	4	10930810	10931158	10930984	348
166	5	1002783	1002894	1002839	111
166	5	9031776	9034693	9033234	2917
167	3	8047323	8047448	8047385	125
167	3	20764968	20765174	20765071	206
167	5	9470946	9471138	9471042	192
167	5	16611366	16611838	16611602	472
168	5	7845698	7845824	7845761	126
168	5	21266002	21267116	21266559	1114
171	3	7301733	7303506	7302619	1773
171	3	15559676	15560201	15559938	525
172	1	16798509	16798738	16798623	229
172	1	27534593	27534884	27534739	291
174	3	1845347	1845467	1845407	120
174	3	10173519	10173848	10173683	329
178	2	9908444	9908718	9908581	274
178	2	17696367	17696411	17696389	44
180	2	8717731	8718830	8718281	1099
180	2	12423071	12423875	12423473	804
180	4	853991	855491	854741	1500
180	4	18465017	18465274	18465145	257
181	3	11249505	11249846	11249675	341
181	3	23290090	23290413	23290252	323
185	4	41777	41859	41818	82
185	4	14445204	14448701	14446952	3497
187	3	10952521	10952551	10952536	30
187	3	21639679	21639875	21639777	196
188	5	10284498	10285509	10285004	1011
188	5	26038760	26039168	26038964	408
191	2	10177602	10178192	10177897	590
191	2	18603336	18603369	18603352	33
192	2	2310652	2310732	2310692	80
192	2	18566794	18567815	18567304	1021
