lib	chr	start	end	cos	width
3	3	996634	999447	998040	2813
3	3	9589925	9590012	9589969	87
3	4	5737466	5737587	5737526	121
3	4	14852090	14852406	14852248	316
5	4	14847219	14847645	14847432	426
5	4	17885532	17885599	17885566	67
6	1	12948756	12948960	12948858	204
6	1	24373187	24373890	24373539	703
6	5	386586	387471	387028	885
6	5	25792753	25793639	25793196	886
8	3	5272048	5272076	5272062	28
8	3	16988486	16988579	16988532	93
10	2	373169	373551	373360	382
10	2	15829934	15830345	15830140	411
10	5	15415581	15416305	15415943	724
10	5	26807984	26809016	26808500	1032
11	5	1921636	1922659	1922148	1023
11	5	21284432	21285263	21284848	831
12	4	9391436	9391863	9391650	427
12	4	17634830	17635606	17635218	776
13	1	4291615	4291941	4291778	326
13	1	9978662	9979427	9979044	765
16	1	11291540	11316088	11303814	24548
16	1	25653713	25654070	25653891	357
16	5	22252152	22252994	22252573	842
16	5	25921384	25922647	25922016	1263
24	4	148872	148876	148874	4
24	4	16318394	16318630	16318512	236
25	1	17334397	17334530	17334463	133
25	1	29420532	29421854	29421193	1322
25	5	6445091	6446631	6445861	1540
25	5	14065746	14066345	14066046	599
27	1	8448630	8449056	8448843	426
27	1	24324224	24324600	24324412	376
27	4	740799	741590	741195	791
27	4	14214596	14217452	14216024	2856
28	5	5138878	5138949	5138914	71
28	5	7162678	7163006	7162842	328
30	5	8196102	8196554	8196328	452
30	5	26088178	26088429	26088304	251
32	5	10240183	10240230	10240207	47
32	5	18451788	18452644	18452216	856
33	1	5562668	5564696	5563682	2028
33	1	12495476	12495781	12495628	305
36	5	15488255	15488652	15488453	397
36	5	24404922	24406293	24405608	1371
37	2	221764	222306	222035	542
37	2	18145029	18154466	18149747	9437
39	2	7249654	7250361	7250008	707
39	2	12956783	12957186	12956985	403
41	4	5566940	5567344	5567142	404
41	4	10124704	10124980	10124842	276
42	1	8059261	8059410	8059335	149
42	1	21197859	21198249	21198054	390
43	2	2929980	2930250	2930115	270
43	2	15253618	15254226	15253922	608
46	1	4598189	4598387	4598288	198
46	1	19277686	19277989	19277838	303
46	5	961627	962414	962021	787
46	5	13924704	13925877	13925290	1173
47	5	387988	388655	388322	667
47	5	4188311	4188471	4188391	160
51	1	4517296	4517387	4517342	91
51	1	19173652	19179851	19176752	6199
56	1	8187823	8188103	8187963	280
56	1	21186401	21187148	21186775	747
60	1	8405137	8431089	8418113	25952
60	1	26665782	26666512	26666147	730
61	1	3903779	3909328	3906553	5549
61	1	7240644	7241000	7240822	356
61	5	15374221	15374407	15374314	186
61	5	22191596	22191807	22191702	211
62	1	5834047	5834307	5834177	260
62	1	17150549	17150863	17150706	314
62	2	1007797	1007897	1007847	100
62	2	16732031	16732575	16732303	544
63	1	11215275	11215437	11215356	162
63	1	19423215	19424544	19423879	1329
65	1	19539072	19539168	19539120	96
65	1	25474460	25487354	25480907	12894
65	2	526485	526713	526599	228
65	2	14138125	14138348	14138237	223
80	3	7811630	7811842	7811736	212
80	3	22344524	22345147	22344836	623
80	5	15221461	15221610	15221535	149
80	5	22692864	22693972	22693418	1108
81	1	9739614	9742671	9741142	3057
81	1	25728649	25729213	25728931	564
82	5	1742494	1750107	1746300	7613
82	5	7269581	7269856	7269719	275
83	5	8912771	8914008	8913389	1237
83	5	16578793	16579881	16579337	1088
84	4	280319	280328	280323	9
84	4	6747019	6747407	6747213	388
85	5	8562502	8562863	8562682	361
85	5	20995783	20996092	20995937	309
92	1	13079117	13079155	13079136	38
92	1	17202148	17203093	17202620	945
93	5	14919737	14920414	14920075	677
93	5	26614414	26614675	26614544	261
95	5	2631082	2632410	2631746	1328
95	5	14712762	14713098	14712930	336
