lib,chrs,start,stop,cos,width
90,Chr1,135707,137707,136707,2000
26,Chr1,146307,148307,147307,2000
39,Chr1,169250,171250,170250,2000
70,Chr1,176607,178607,177607,2000
15,Chr1,183900,185900,184900,2000
93,Chr1,183900,185900,184900,2000
75,Chr1,184521,186521,185521,2000
20,Chr1,185702,187702,186702,2000
95,Chr1,198695,200695,199695,2000
50,Chr1,212530,214530,213530,2000
85,Chr1,307258,309258,308258,2000
67,Chr1,450433,452433,451433,2000
73,Chr1,474777,476777,475777,2000
79,Chr1,482055,484055,483055,2000
36,Chr1,490484,492484,491484,2000
27,Chr1,504304,506304,505304,2000
49,Chr1,540006,542006,541006,2000
96,Chr1,558347,560347,559347,2000
54,Chr1,564941,566941,565941,2000
82,Chr1,573692,575692,574692,2000
23,Chr1,576565,578565,577565,2000
27,Chr1,593856,595856,594856,2000
81,Chr1,619024,621024,620024,2000
66,Chr1,619631,621631,620631,2000
68,Chr1,620630,622630,621630,2000
88,Chr1,620630,622630,621630,2000
38,Chr1,626494,628494,627494,2000
61,Chr1,654809,656809,655809,2000
44,Chr1,680328,682328,681328,2000
87,Chr1,683282,685282,684282,2000
33,Chr1,700478,702478,701478,2000
85,Chr1,739397,741397,740397,2000
51,Chr1,751292,753292,752292,2000
1,Chr1,770608,772608,771608,2000
77,Chr1,787184,789184,788184,2000
53,Chr1,797946,799946,798946,2000
76,Chr1,973308,975308,974308,2000
91,Chr1,973308,975308,974308,2000
29,Chr1,982219,984219,983219,2000
32,Chr1,1067890,1069890,1068890,2000
13,Chr1,1074607,1076607,1075607,2000
61,Chr1,1087168,1089168,1088168,2000
52,Chr1,1124205,1126205,1125205,2000
22,Chr1,1131560,1133560,1132560,2000
37,Chr1,1149223,1151223,1150223,2000
27,Chr1,1210411,1212411,1211411,2000
24,Chr1,1225084,1227084,1226084,2000
21,Chr1,1241837,1243837,1242837,2000
33,Chr1,1242962,1244962,1243962,2000
94,Chr1,1284518,1286518,1285518,2000
95,Chr1,1369083,1371083,1370083,2000
67,Chr1,1427270,1429270,1428270,2000
35,Chr1,1499432,1501432,1500432,2000
3,Chr1,1522366,1524366,1523366,2000
72,Chr1,1539034,1541034,1540034,2000
6,Chr1,1543032,1545032,1544032,2000
32,Chr1,1547126,1549126,1548126,2000
17,Chr1,1547823,1549823,1548823,2000
34,Chr1,1548340,1550340,1549340,2000
65,Chr1,1552572,1554572,1553572,2000
70,Chr1,1557154,1559154,1558154,2000
25,Chr1,1594572,1596572,1595572,2000
93,Chr1,1597331,1599331,1598331,2000
55,Chr1,1610543,1612543,1611543,2000
96,Chr1,1615882,1617882,1616882,2000
40,Chr1,1662399,1664399,1663399,2000
23,Chr1,1684930,1686930,1685930,2000
8,Chr1,1740470,1742470,1741470,2000
92,Chr1,1777709,1779709,1778709,2000
19,Chr1,1821031,1823031,1822031,2000
89,Chr1,1888617,1890617,1889617,2000
12,Chr1,1891321,1893321,1892321,2000
3,Chr1,1891714,1893714,1892714,2000
81,Chr1,1914922,1916922,1915922,2000
57,Chr1,1999041,2001041,2000041,2000
96,Chr1,2148091,2150091,2149091,2000
28,Chr1,2168215,2170215,2169215,2000
16,Chr1,2215682,2217682,2216682,2000
25,Chr1,2217376,2219376,2218376,2000
75,Chr1,2217376,2219376,2218376,2000
61,Chr1,2218239,2220239,2219239,2000
68,Chr1,2284508,2286508,2285508,2000
66,Chr1,2341773,2343773,2342773,2000
67,Chr1,2350453,2352453,2351453,2000
30,Chr1,2361921,2363921,2362921,2000
49,Chr1,2361921,2363921,2362921,2000
54,Chr1,2365747,2367747,2366747,2000
46,Chr1,2378309,2380309,2379309,2000
74,Chr1,2406868,2408868,2407868,2000
47,Chr1,2434925,2436925,2435925,2000
70,Chr1,2442859,2444859,2443859,2000
58,Chr1,2483432,2485432,2484432,2000
89,Chr1,2503274,2505274,2504274,2000
93,Chr1,2662465,2664465,2663465,2000
79,Chr1,2821629,2823629,2822629,2000
80,Chr1,2850671,2852671,2851671,2000
36,Chr1,2864994,2866994,2865994,2000
27,Chr1,2874714,2876714,2875714,2000
77,Chr1,2877797,2879797,2878797,2000
43,Chr1,2878921,2880921,2879921,2000
30,Chr1,2968663,2970663,2969663,2000
79,Chr1,2970507,2972507,2971507,2000
85,Chr1,2989048,2991048,2990048,2000
41,Chr1,2991872,2993872,2992872,2000
58,Chr1,2992848,2994848,2993848,2000
16,Chr1,2993513,2995513,2994513,2000
10,Chr1,3106776,3108776,3107776,2000
37,Chr1,3187684,3189684,3188684,2000
9,Chr1,3199227,3201227,3200227,2000
19,Chr1,3326732,3328732,3327732,2000
51,Chr1,3327271,3329271,3328271,2000
18,Chr1,3451820,3453820,3452820,2000
58,Chr1,3476320,3478320,3477320,2000
57,Chr1,3490234,3492234,3491234,2000
44,Chr1,3554284,3556284,3555284,2000
66,Chr1,3556955,3558955,3557955,2000
28,Chr1,3565663,3567663,3566663,2000
96,Chr1,3574914,3576914,3575914,2000
76,Chr1,3575409,3577409,3576409,2000
92,Chr1,3592195,3594195,3593195,2000
56,Chr1,3667916,3669916,3668916,2000
19,Chr1,3695804,3697804,3696804,2000
49,Chr1,3700004,3702004,3701004,2000
60,Chr1,3708370,3710370,3709370,2000
35,Chr1,3737178,3739178,3738178,2000
83,Chr1,3745818,3747818,3746818,2000
5,Chr1,3752258,3754258,3753258,2000
20,Chr1,3833788,3835788,3834788,2000
47,Chr1,3890962,3892962,3891962,2000
8,Chr1,3891122,3893122,3892122,2000
77,Chr1,3891419,3893419,3892419,2000
31,Chr1,3893885,3895885,3894885,2000
3,Chr1,3927507,3929507,3928507,2000
63,Chr1,3937360,3939360,3938360,2000
88,Chr1,4052546,4054546,4053546,2000
69,Chr1,4065066,4067066,4066066,2000
71,Chr1,4099935,4101935,4100935,2000
65,Chr1,4112541,4114541,4113541,2000
61,Chr1,4120839,4122839,4121839,2000
61,Chr1,4138996,4140996,4139996,2000
39,Chr1,4172346,4174346,4173346,2000
75,Chr1,4213810,4215810,4214810,2000
7,Chr1,4215835,4217835,4216835,2000
76,Chr1,4220162,4222162,4221162,2000
41,Chr1,4224724,4226724,4225724,2000
27,Chr1,4233842,4235842,4234842,2000
83,Chr1,4236583,4238583,4237583,2000
66,Chr1,4245292,4247292,4246292,2000
4,Chr1,4329777,4331777,4330777,2000
51,Chr1,4349321,4351321,4350321,2000
16,Chr1,4403578,4405578,4404578,2000
21,Chr1,4422280,4424280,4423280,2000
43,Chr1,4519582,4521582,4520582,2000
36,Chr1,4529982,4531982,4530982,2000
94,Chr1,4531343,4533343,4532343,2000
37,Chr1,4533293,4535293,4534293,2000
