lib,chrs,start,stop,cos,width
282,Chr1,152036,154036,153036,2000
519,Chr1,152036,154036,153036,2000
61,Chr1,163088,165088,164088,2000
1858,Chr1,175990,177990,176990,2000
1303,Chr1,176206,178206,177206,2000
1691,Chr1,177068,179068,178068,2000
1854,Chr1,178522,180522,179522,2000
648,Chr1,182326,184326,183326,2000
177,Chr1,185304,187304,186304,2000
1008,Chr1,198602,200602,199602,2000
494,Chr1,198602,200602,199602,2000
985,Chr1,198602,200602,199602,2000
1143,Chr1,211951,213951,212951,2000
129,Chr1,211951,213951,212951,2000
175,Chr1,212530,214530,213530,2000
1827,Chr1,241150,243150,242150,2000
1629,Chr1,241415,243415,242415,2000
986,Chr1,269357,271357,270357,2000
1469,Chr1,269652,271652,270652,2000
714,Chr1,269652,271652,270652,2000
770,Chr1,269652,271652,270652,2000
994,Chr1,269652,271652,270652,2000
66,Chr1,272266,274266,273266,2000
1014,Chr1,275798,277798,276798,2000
477,Chr1,296030,298030,297030,2000
698,Chr1,384117,386117,385117,2000
1859,Chr1,390793,392793,391793,2000
440,Chr1,435517,437517,436517,2000
799,Chr1,439427,441427,440427,2000
1137,Chr1,446153,448153,447153,2000
1336,Chr1,446153,448153,447153,2000
81,Chr1,449312,451312,450312,2000
1184,Chr1,454827,456827,455827,2000
996,Chr1,456701,458701,457701,2000
684,Chr1,458679,460679,459679,2000
292,Chr1,462960,464960,463960,2000
1057,Chr1,468608,470608,469608,2000
776,Chr1,472258,474258,473258,2000
314,Chr1,474777,476777,475777,2000
1256,Chr1,479054,481054,480054,2000
1687,Chr1,482055,484055,483055,2000
700,Chr1,482055,484055,483055,2000
1363,Chr1,484545,486545,485545,2000
749,Chr1,484545,486545,485545,2000
1826,Chr1,515147,517147,516147,2000
262,Chr1,558347,560347,559347,2000
1899,Chr1,564941,566941,565941,2000
1296,Chr1,566350,568350,567350,2000
7,Chr1,566350,568350,567350,2000
1044,Chr1,566693,568693,567693,2000
1622,Chr1,566693,568693,567693,2000
833,Chr1,569996,571996,570996,2000
437,Chr1,571321,573321,572321,2000
970,Chr1,571582,573582,572582,2000
870,Chr1,572443,574443,573443,2000
511,Chr1,573037,575037,574037,2000
1508,Chr1,574588,576588,575588,2000
593,Chr1,575950,577950,576950,2000
1401,Chr1,580711,582711,581711,2000
1820,Chr1,594999,596999,595999,2000
163,Chr1,596696,598696,597696,2000
1355,Chr1,597542,599542,598542,2000
1868,Chr1,608446,610446,609446,2000
810,Chr1,608582,610582,609582,2000
1596,Chr1,615899,617899,616899,2000
1599,Chr1,616851,618851,617851,2000
1645,Chr1,616851,618851,617851,2000
1242,Chr1,617864,619864,618864,2000
975,Chr1,617864,619864,618864,2000
1272,Chr1,619631,621631,620631,2000
899,Chr1,620554,622554,621554,2000
1171,Chr1,621406,623406,622406,2000
1343,Chr1,633035,635035,634035,2000
64,Chr1,633035,635035,634035,2000
476,Chr1,637405,639405,638405,2000
798,Chr1,646365,648365,647365,2000
1915,Chr1,654809,656809,655809,2000
121,Chr1,655975,657975,656975,2000
1569,Chr1,661960,663960,662960,2000
1430,Chr1,662971,664971,663971,2000
1838,Chr1,666350,668350,667350,2000
1746,Chr1,673530,675530,674530,2000
1240,Chr1,704562,706562,705562,2000
1232,Chr1,712518,714518,713518,2000
131,Chr1,734674,736674,735674,2000
1271,Chr1,736243,738243,737243,2000
310,Chr1,752606,754606,753606,2000
167,Chr1,756445,758445,757445,2000
