lib	chr	start	end	cos	width
4	1	4118255	4118745	4118500	490
4	1	25487427	25497948	25492687	10521
5	1	16764514	16764852	16764683	338
5	1	23416833	23417764	23417299	931
7	5	462161	462909	462535	748
7	5	4624846	4625421	4625134	575
9	1	8031695	8033112	8032403	1417
9	1	22932869	22933166	22933017	297
9	3	18752897	18753349	18753123	452
9	3	22634992	22636336	22635664	1344
10	2	6893445	6893456	6893451	11
10	2	18830232	18830724	18830478	492
10	4	6237752	6237839	6237796	87
10	4	16479905	16480612	16480259	707
12	5	7111750	7113177	7112464	1427
12	5	21982278	21982795	21982536	517
13	2	7263709	7264863	7264286	1154
13	2	19165544	19165916	19165730	372
13	5	10238994	10239128	10239061	134
13	5	22190368	22191441	22190904	1073
14	1	617882	618452	618167	570
14	1	9771687	9773446	9772567	1759
14	3	3582556	3583321	3582938	765
14	3	15615740	15615988	15615864	248
14	4	197224	197262	197243	38
14	4	3356686	3357426	3357056	740
15	2	9752950	9752996	9752973	46
15	2	18523140	18523833	18523486	693
17	4	5231693	5232057	5231875	364
17	4	16464582	16469070	16466826	4488
20	3	975375	975518	975447	143
20	3	15971091	15971317	15971204	226
24	5	716439	717534	716987	1095
24	5	14959076	14959434	14959255	358
25	4	658722	659462	659092	740
25	4	9006166	9006286	9006226	120
27	2	810771	811008	810889	237
27	2	17943226	17947699	17945462	4473
29	4	8724018	8724089	8724054	71
29	4	17805511	17805551	17805531	40
30	3	3158409	3158568	3158489	159
30	3	18260966	18261804	18261385	838
30	4	5425097	5425158	5425127	61
30	4	17352525	17353680	17353103	1155
30	5	15632898	15632955	15632926	57
30	5	22122213	22123936	22123075	1723
32	1	8450015	8450985	8450500	970
32	1	25616198	25617073	25616636	875
32	5	2613283	2613467	2613375	184
32	5	22202310	22203327	22202818	1017
36	1	13501378	13501589	13501484	211
36	1	22114597	22114771	22114684	174
38	1	19408960	19409317	19409138	357
38	1	30269554	30270428	30269991	874
40	2	16636524	16636773	16636648	249
40	2	17905376	17916319	17910848	10943
40	5	17099846	17100079	17099962	233
40	5	22972345	22972667	22972506	322
42	4	460764	460813	460788	49
42	4	11917871	11918666	11918269	795
42	5	9269549	9269851	9269700	302
42	5	20014520	20016071	20015296	1551
43	1	11822616	11823726	11823171	1110
43	1	29526634	29526682	29526658	48
44	1	17248675	17248764	17248719	89
44	1	18243862	18243900	18243881	38
46	2	8666888	8667095	8666992	207
46	2	13373123	13373173	13373148	50
51	1	7467846	7467944	7467895	98
51	1	11282499	11318153	11300326	35654
51	5	7981728	7981997	7981862	269
51	5	22972984	22973113	22973048	129
54	1	16717954	16718254	16718104	300
54	1	29412557	29412835	29412696	278
54	3	4605978	4610909	4608444	4931
54	3	18282737	18283710	18283223	973
55	4	1255641	1256367	1256004	726
55	4	6543112	6544764	6543938	1652
63	5	10430808	10432261	10431534	1453
63	5	18538136	18538443	18538290	307
64	4	6375981	6376231	6376106	250
64	4	10803430	10804139	10803784	709
64	5	10637691	10637741	10637716	50
64	5	15485288	15487154	15486221	1866
66	5	944993	945209	945101	216
66	5	14879062	14879274	14879168	212
67	3	1057497	1057638	1057567	141
67	3	9361466	9361886	9361676	420
68	1	8341218	8342139	8341678	921
68	1	28190128	28191967	28191048	1839
68	5	9935521	9936108	9935815	587
68	5	21622137	21622468	21622303	331
69	5	3824879	3827584	3826231	2705
69	5	8775562	8777233	8776398	1671
70	4	5738274	5738403	5738338	129
70	4	10930810	10931158	10930984	348
70	5	1002783	1002894	1002839	111
70	5	9031776	9034693	9033234	2917
71	3	8047323	8047448	8047385	125
71	3	20764968	20765174	20765071	206
71	5	9470946	9471138	9471042	192
71	5	16611366	16611838	16611602	472
72	5	7845698	7845824	7845761	126
72	5	21266002	21267116	21266559	1114
75	3	7301733	7303506	7302619	1773
75	3	15559676	15560201	15559938	525
76	1	16798509	16798738	16798623	229
76	1	27534593	27534884	27534739	291
78	3	1845347	1845467	1845407	120
78	3	10173519	10173848	10173683	329
82	2	9908444	9908718	9908581	274
82	2	17696367	17696411	17696389	44
84	2	8717731	8718830	8718281	1099
84	2	12423071	12423875	12423473	804
84	4	853991	855491	854741	1500
84	4	18465017	18465274	18465145	257
85	3	11249505	11249846	11249675	341
85	3	23290090	23290413	23290252	323
89	4	41777	41859	41818	82
89	4	14445204	14448701	14446952	3497
91	3	10952521	10952551	10952536	30
91	3	21639679	21639875	21639777	196
92	5	10284498	10285509	10285004	1011
92	5	26038760	26039168	26038964	408
95	2	10177602	10178192	10177897	590
95	2	18603336	18603369	18603352	33
96	2	2310652	2310732	2310692	80
96	2	18566794	18567815	18567304	1021
