lib	chr	start	end	cos	width
1	3	1507025	1508190	1507607	1165
1	3	18477141	18477457	18477299	316
1	5	7752619	7752722	7752671	103
1	5	24374404	24374842	24374623	438
2	5	9969044	9969375	9969210	331
2	5	22277559	22278703	22278131	1144
3	2	10804156	10805000	10804578	844
3	2	19489551	19489799	19489675	248
3	4	79904	80055	79980	151
3	4	11646371	11648174	11647273	1803
6	1	6772739	6773774	6773257	1035
6	1	28651893	28707111	28679502	55218
9	1	8355045	8355186	8355115	141
9	1	16642782	16643196	16642989	414
9	5	7810197	7810390	7810293	193
9	5	21288933	21291254	21290093	2321
12	5	2367234	2367483	2367358	249
12	5	16842897	16843192	16843045	295
15	1	9955811	9955866	9955839	55
15	1	20493296	20496195	20494746	2899
15	4	6821928	6823194	6822561	1266
15	4	11490352	11490440	11490396	88
16	5	497370	497380	497375	10
16	5	6411387	6412204	6411795	817
17	5	9517427	9518089	9517758	662
17	5	18212536	18212702	18212619	166
19	4	119731	120416	120073	685
19	4	17230031	17231366	17230699	1335
23	1	15923472	15923528	15923500	56
23	1	29198915	29199476	29199195	561
24	5	4158621	4159259	4158940	638
24	5	26515605	26515633	26515619	28
28	5	22175401	22175635	22175518	234
28	5	26254090	26254698	26254394	608
29	1	1073161	1074092	1073627	931
29	1	23354232	23354349	23354290	117
30	3	1121465	1122294	1121879	829
30	3	14811716	14812859	14812288	1143
35	2	618345	618596	618471	251
35	2	19104354	19105725	19105040	1371
36	3	1352623	1353199	1352911	576
36	3	18780226	18780414	18780320	188
37	1	10056800	10057433	10057116	633
37	1	19321413	19321584	19321499	171
39	1	7118491	7120370	7119431	1879
39	1	18364561	18365892	18365227	1331
40	1	432021	432547	432284	526
40	1	17248322	17248343	17248332	21
47	5	231011	231438	231225	427
47	5	8698886	8699167	8699026	281
49	5	22174890	22175344	22175117	454
49	5	26254090	26254698	26254394	608
51	1	15923997	15924287	15924142	290
51	1	29199476	29200794	29200135	1318
53	3	1507025	1508190	1507607	1165
53	3	18476690	18477141	18476916	451
53	5	7752565	7752619	7752592	54
53	5	24374404	24374842	24374623	438
54	2	10802453	10803989	10803221	1536
54	2	19488888	19489551	19489220	663
54	4	79847	79904	79875	57
54	4	11648275	11649257	11648766	982
55	1	1072339	1073161	1072750	822
55	1	23354110	23354232	23354171	122
59	1	9955811	9955866	9955839	55
59	1	20493296	20496195	20494746	2899
59	4	6821435	6822620	6822027	1185
59	4	11490440	11491597	11491018	1157
60	2	617852	618345	618098	493
60	2	19101619	19103091	19102355	1472
61	5	9517427	9518089	9517758	662
61	5	18211633	18212536	18212085	903
66	5	8791182	8791949	8791566	767
66	5	16041584	16043668	16042626	2084
68	5	4871236	4872647	4871942	1411
68	5	23255326	23261694	23258510	6368
69	3	6488550	6488912	6488731	362
69	3	16802366	16802403	16802384	37
69	5	1378619	1379059	1378839	440
69	5	15999183	15999439	15999311	256
71	1	4752467	4753060	4752763	593
71	1	16874181	16874585	16874383	404
71	4	3669481	3669707	3669594	226
71	4	15515190	15515741	15515466	551
71	5	1087113	1088147	1087630	1034
71	5	23054324	23054743	23054534	419
72	3	4444826	4452589	4448708	7763
72	3	11713680	11713706	11713693	26
74	5	8229734	8231040	8230387	1306
74	5	22843535	22844654	22844095	1119
75	4	5633616	5633733	5633674	117
75	4	17547032	17547237	17547134	205
77	1	10057433	10057773	10057603	340
77	1	19321584	19321659	19321622	75
78	1	12636771	12637977	12637374	1206
78	1	26619842	26620446	26620144	604
78	4	7353918	7354712	7354315	794
78	4	17678216	17679721	17678968	1505
79	5	23344833	23345329	23345081	496
79	5	25749328	25750045	25749686	717
83	2	1667259	1667385	1667322	126
83	2	17741640	17742758	17742199	1118
83	3	549625	554683	552154	5058
83	3	11728018	11731113	11729566	3095
85	3	1313158	1313176	1313167	18
85	3	1793239	1793520	1793379	281
85	5	7636425	7636711	7636568	286
85	5	25738544	25738960	25738752	416
93	4	7429864	7431899	7430882	2035
93	4	14838665	14841594	14840129	2929
103	1	4873347	4874819	4874083	1472
103	1	17274085	17274690	17274387	605
105	1	5825854	5826231	5826042	377
105	1	10214480	10214544	10214512	64
105	4	928746	929032	928889	286
105	4	16661256	16661561	16661408	305
106	5	2351901	2352665	2352283	764
106	5	5834044	5834236	5834140	192
108	1	24367754	24368382	24368068	628
108	1	25906707	25907050	25906879	343
110	1	4584642	4584689	4584666	47
110	1	10916109	10916193	10916151	84
111	5	3011778	3012523	3012150	745
111	5	9411182	9411276	9411229	94
113	4	8414737	8415877	8415307	1140
113	4	18328336	18332236	18330286	3900
114	1	17457054	17457266	17457160	212
114	1	28554192	28554286	28554239	94
125	2	6686374	6686537	6686456	163
125	2	17163429	17164451	17163940	1022
131	1	108769	109252	109011	483
131	1	13280280	13280819	13280550	539
131	4	6927440	6929713	6928576	2273
131	4	17526434	17527160	17526797	726
133	5	16861650	16862215	16861932	565
133	5	26328425	26328504	26328465	79
134	5	4988723	4989139	4988931	416
134	5	9713163	9716705	9714934	3542
137	1	7709155	7709688	7709421	533
137	1	18393641	18393865	18393753	224
138	2	884031	884636	884333	605
138	2	11733571	11734180	11733875	609
139	2	2317514	2317605	2317560	91
139	2	10174676	10174828	10174752	152
143	1	4946045	4948849	4947447	2804
143	1	18230360	18230564	18230462	204
144	5	13470243	13470432	13470337	189
144	5	26511818	26511904	26511861	86
147	5	8146241	8146842	8146541	601
147	5	25975808	25976643	25976226	835
148	1	7118491	7120370	7119431	1879
148	1	18364561	18365892	18365227	1331
149	1	6772739	6773774	6773257	1035
149	1	28651893	28707111	28679502	55218
150	5	2367234	2367483	2367358	249
150	5	16842379	16842897	16842638	518
151	4	119280	119731	119506	451
151	4	17229322	17230031	17229676	709
152	5	4158621	4159259	4158940	638
152	5	26245196	26245810	26245503	614
