lib	chr	start	end	cos	width
1	4	156944	157203	157074	259
1	4	18295387	18295625	18295506	238
12	1	10967721	10968050	10967885	329
12	1	20237048	20238139	20237594	1091
13	4	6257385	6257750	6257567	365
13	4	11456346	11458236	11457291	1890
16	1	17275578	17276219	17275898	641
16	1	28058860	28059302	28059081	442
16	5	9988925	9989200	9989063	275
16	5	18991586	18991722	18991654	136
23	1	1679787	1680073	1679930	286
23	1	17962066	17962307	17962186	241
23	5	1087760	1088147	1087954	387
23	5	9712567	9712702	9712635	135
26	1	13126149	13126249	13126199	100
26	1	29337589	29338198	29337893	609
26	5	786535	786675	786605	140
26	5	10064632	10064639	10064636	7
27	3	11138389	11139185	11138787	796
27	3	20064520	20065544	20065032	1024
27	5	7808151	7808218	7808185	67
27	5	26298084	26298385	26298234	301
30	3	19720549	19720558	19720553	9
30	3	22784617	22786024	22785321	1407
31	5	15633484	15633960	15633722	476
31	5	20544941	20545791	20545366	850
33	2	4802274	4802735	4802504	461
33	2	15153989	15154598	15154293	609
34	4	6093965	6094051	6094008	86
34	4	17631412	17631642	17631527	230
35	1	11925561	11929076	11927319	3515
35	1	30166623	30167101	30166862	478
36	1	922673	933178	927925	10505
36	1	18901887	18902049	18901968	162
36	4	5148656	5149146	5148901	490
36	4	17741025	17743457	17742241	2432
37	2	2117860	2126276	2122068	8416
37	2	18367719	18367954	18367837	235
39	5	7060525	7060634	7060579	109
39	5	21306522	21307144	21306833	622
40	3	5595906	5597006	5596456	1100
40	3	14843460	14843750	14843605	290
42	2	723669	724023	723846	354
42	2	19023087	19044487	19033787	21400
44	5	5423181	5423602	5423391	421
44	5	13357479	13361841	13359660	4362
51	5	14608464	14608558	14608511	94
51	5	20975961	20977244	20976603	1283
52	1	4060341	4060829	4060585	488
52	1	24538854	24541819	24540336	2965
54	3	7866200	7866523	7866362	323
54	3	18875141	18876025	18875583	884
55	3	2003719	2008043	2005881	4324
55	3	15954634	15954764	15954699	130
59	1	10696854	10696882	10696868	28
59	1	28359959	28362064	28361011	2105
62	3	7882162	7882709	7882436	547
62	3	22647827	22648295	22648061	468
63	1	8938844	8939231	8939038	387
63	1	19401714	19402210	19401962	496
64	3	2003719	2008043	2005881	4324
64	3	10515747	10516164	10515955	417
65	1	11444260	11444514	11444387	254
65	1	26240710	26240886	26240798	176
65	3	3478833	3479761	3479297	928
65	3	9465254	9465638	9465446	384
66	1	17743701	17759084	17751393	15383
66	1	21652062	21652096	21652079	34
72	4	14206728	14207151	14206940	423
72	4	15069872	15070653	15070262	781
72	5	1377029	1377075	1377052	46
72	5	13588813	13589062	13588937	249
75	2	1903636	1903880	1903758	244
75	2	18627510	18627892	18627701	382
75	4	14157872	14163219	14160546	5347
75	4	17001892	17002087	17001990	195
77	4	5367927	5368132	5368029	205
77	4	11252749	11252872	11252811	123
80	1	10929038	10929204	10929121	166
80	1	27448739	27449873	27449306	1134
81	2	7252882	7253017	7252950	135
81	2	12932982	12933390	12933186	408
85	1	6278477	6278555	6278516	78
85	1	17759135	17764704	17761919	5569
87	1	11670340	11671670	11671005	1330
87	1	19876756	19878258	19877507	1502
88	1	1093364	1096500	1094932	3136
88	1	19092444	19092936	19092690	492
89	2	6519502	6519568	6519535	66
89	2	17741640	17742758	17742199	1118
92	1	1468060	1468650	1468355	590
92	1	12480729	12481302	12481015	573
92	5	10301025	10301667	10301346	642
92	5	26426536	26427031	26426784	495
93	1	20140300	20140618	20140459	318
93	1	29812914	29813869	29813392	955
93	2	6898218	6898549	6898384	331
93	2	19148503	19148849	19148676	346
93	3	10243406	10243772	10243589	366
93	3	16480667	16481268	16480967	601
