lib	chr	start	end	cos	width
2	5	809355	809907	809631	552
2	5	9303075	9303788	9303431	713
3	1	17390990	17391490	17391240	500
3	1	30370992	30371219	30371106	227
5	3	8721608	8722381	8721994	773
5	3	22360964	22361388	22361176	424
5	5	1538776	1539692	1539234	916
5	5	9973052	9973165	9973108	113
6	1	4739541	4740751	4740146	1210
6	1	25337461	25339085	25338273	1624
7	5	8597825	8598053	8597939	228
7	5	26668585	26668988	26668787	403
8	1	16641167	16641291	16641229	124
8	1	26683515	26683729	26683622	214
14	5	14529160	14529776	14529468	616
14	5	18740599	18740795	18740697	196
15	1	1202547	1203627	1203087	1080
15	1	23631563	23632109	23631836	546
15	5	2355124	2355677	2355400	553
15	5	8660761	8661179	8660970	418
22	5	1038093	1038346	1038219	253
22	5	23165567	23175151	23170359	9584
26	2	150557	150628	150593	71
26	2	9804515	9804516	9804515	1
28	3	11248029	11248107	11248068	78
28	3	20525845	20526113	20525979	268
29	5	842643	842690	842667	47
29	5	3846459	3851004	3848731	4545
30	1	2568127	2569526	2568827	1399
30	1	18553151	18553232	18553191	81
31	3	1020707	1020805	1020756	98
31	3	19685890	19686236	19686063	346
32	1	22089348	22114133	22101740	24785
32	1	30352556	30352674	30352615	118
35	1	8004992	8005824	8005408	832
35	1	23020844	23021229	23021036	385
35	3	647791	648329	648060	538
35	3	15774290	15774383	15774336	93
37	3	3086679	3087457	3087068	778
37	3	20695191	20695766	20695479	575
39	5	570667	571662	571165	995
39	5	24667485	24668098	24667791	613
45	5	15869880	15869927	15869904	47
45	5	24730381	24730988	24730685	607
47	5	6158107	6158888	6158497	781
47	5	26904731	26905680	26905205	949
49	5	8562502	8562863	8562682	361
49	5	20149381	20186431	20167906	37050
52	3	7599728	7599747	7599738	19
52	3	20564147	20565761	20564954	1614
54	5	15849912	15850258	15850085	346
54	5	20127631	20149352	20138491	21721
56	1	2268050	2268278	2268164	228
56	1	4286216	4288731	4287474	2515
58	3	2820287	2821772	2821029	1485
58	3	3241168	3254469	3247818	13301
59	2	1076546	1076836	1076691	290
59	2	9802005	9803191	9802598	1186
62	1	6314937	6315038	6314987	101
62	1	13046106	13046237	13046172	131
62	5	7755311	7755683	7755497	372
62	5	20530830	20531451	20531140	621
63	1	16716400	16717468	16716934	1068
63	1	27981096	27981591	27981344	495
63	5	680856	680947	680902	91
63	5	15983919	15984304	15984111	385
65	1	10893900	10895213	10894556	1313
65	1	17465653	17465751	17465702	98
67	1	10055273	10055300	10055287	27
67	1	29384374	29384726	29384550	352
71	3	3054448	3054814	3054631	366
71	3	22918218	22920458	22919338	2240
71	5	2108710	2109713	2109212	1003
71	5	15427684	15427717	15427700	33
72	2	6686144	6686374	6686259	230
72	2	17741640	17742758	17742199	1118
77	1	9359669	9362306	9360987	2637
77	1	28354028	28355801	28354914	1773
79	1	16899731	16900334	16900033	603
79	1	24891854	24894096	24892975	2242
80	4	1517234	1517513	1517374	279
80	4	17353680	17357787	17355734	4107
83	5	18929687	18929808	18929747	121
83	5	24952831	24954450	24953641	1619
84	2	6226150	6226552	6226351	402
84	2	15940713	15946197	15943455	5484
89	1	27057077	27057533	27057305	456
89	1	29694922	29695728	29695325	806
90	1	13404050	13404085	13404068	35
90	1	26331884	26333652	26332768	1768
91	2	6277163	6277288	6277225	125
91	2	12947325	12947652	12947489	327
91	3	6333604	6334007	6333806	403
91	3	18209978	18211293	18210636	1315
91	5	10933546	10933689	10933618	143
91	5	24740097	24740543	24740320	446
93	2	397738	398681	398210	943
93	2	18274100	18274457	18274278	357
93	5	1167561	1168669	1168115	1108
93	5	15707346	15708423	15707884	1077
94	1	8585089	8585668	8585379	579
94	1	13142745	13143966	13143355	1221
95	4	13470268	13471729	13470998	1461
95	4	15593956	15594146	15594051	190
