lib	chr	start	end	gt
results/06_tiger/lib10_MappedOn_tair10	2	1	6893445	LL
results/06_tiger/lib10_MappedOn_tair10	2	6893456	18830232	CL
results/06_tiger/lib10_MappedOn_tair10	2	18830724	19698289	LL
results/06_tiger/lib10_MappedOn_tair10	4	5427310	6237752	CC
results/06_tiger/lib10_MappedOn_tair10	4	6237839	16479905	CL
results/06_tiger/lib10_MappedOn_tair10	4	16480612	18585056	CC
results/06_tiger/lib12_MappedOn_tair10	5	1	7111750	LL
results/06_tiger/lib12_MappedOn_tair10	5	7113177	21982278	CL
results/06_tiger/lib12_MappedOn_tair10	5	21982795	26975502	LL
results/06_tiger/lib13_MappedOn_tair10	2	1	7263709	LL
results/06_tiger/lib13_MappedOn_tair10	2	7264863	19165544	CL
results/06_tiger/lib13_MappedOn_tair10	2	19165916	19698289	LL
results/06_tiger/lib13_MappedOn_tair10	5	1	10238994	LL
results/06_tiger/lib13_MappedOn_tair10	5	10239128	22190368	CL
results/06_tiger/lib13_MappedOn_tair10	5	22191441	26975502	LL
results/06_tiger/lib14_MappedOn_tair10	1	1	617882	CC
results/06_tiger/lib14_MappedOn_tair10	1	618452	9771687	CL
results/06_tiger/lib14_MappedOn_tair10	1	9773446	28141856	CC
results/06_tiger/lib14_MappedOn_tair10	3	1094361	3582556	CC
results/06_tiger/lib14_MappedOn_tair10	3	3583321	15615740	CL
results/06_tiger/lib14_MappedOn_tair10	3	15615988	22006252	CC
results/06_tiger/lib14_MappedOn_tair10	4	1	197224	LL
results/06_tiger/lib14_MappedOn_tair10	4	197262	3356686	CL
results/06_tiger/lib14_MappedOn_tair10	4	3357426	9304128	LL
results/06_tiger/lib15_MappedOn_tair10	2	874218	9752950	CC
results/06_tiger/lib15_MappedOn_tair10	2	9752996	18523140	CL
results/06_tiger/lib15_MappedOn_tair10	2	18523833	19698289	CC
results/06_tiger/lib17_MappedOn_tair10	4	1	5231693	LL
results/06_tiger/lib17_MappedOn_tair10	4	5232057	16464582	CL
results/06_tiger/lib17_MappedOn_tair10	4	16469070	18585056	LL
results/06_tiger/lib20_MappedOn_tair10	3	1	975375	LL
results/06_tiger/lib20_MappedOn_tair10	3	975518	15971091	CL
results/06_tiger/lib20_MappedOn_tair10	3	15971317	23459830	LL
results/06_tiger/lib24_MappedOn_tair10	5	1	716439	LL
results/06_tiger/lib24_MappedOn_tair10	5	717534	14959076	CL
results/06_tiger/lib24_MappedOn_tair10	5	14959434	26644781	LL
results/06_tiger/lib25_MappedOn_tair10	4	1	658722	CC
results/06_tiger/lib25_MappedOn_tair10	4	659462	9006166	CL
results/06_tiger/lib25_MappedOn_tair10	4	9006286	10157234	CC
results/06_tiger/lib27_MappedOn_tair10	2	1	810771	CC
results/06_tiger/lib27_MappedOn_tair10	2	811008	17943226	CL
results/06_tiger/lib27_MappedOn_tair10	2	17947699	19698289	CC
results/06_tiger/lib29_MappedOn_tair10	4	5289116	8724018	LL
results/06_tiger/lib29_MappedOn_tair10	4	8724089	17805511	CL
results/06_tiger/lib29_MappedOn_tair10	4	17805551	18585056	LL
results/06_tiger/lib30_MappedOn_tair10	3	1	3158409	CC
results/06_tiger/lib30_MappedOn_tair10	3	3158568	18260966	CL
results/06_tiger/lib30_MappedOn_tair10	3	18261804	23459830	CC
results/06_tiger/lib30_MappedOn_tair10	4	1	5425097	LL
results/06_tiger/lib30_MappedOn_tair10	4	5425158	17352525	CL
results/06_tiger/lib30_MappedOn_tair10	4	17353680	18585056	LL
results/06_tiger/lib30_MappedOn_tair10	5	10185520	15632898	LL
results/06_tiger/lib30_MappedOn_tair10	5	15632955	22122213	CL
results/06_tiger/lib30_MappedOn_tair10	5	22123936	26975502	LL
results/06_tiger/lib32_MappedOn_tair10	1	1	8450015	LL
results/06_tiger/lib32_MappedOn_tair10	1	8450985	25616198	CL
results/06_tiger/lib32_MappedOn_tair10	1	25617073	30427671	LL
results/06_tiger/lib32_MappedOn_tair10	5	1	2613283	LL
results/06_tiger/lib32_MappedOn_tair10	5	2613467	22202310	CL
results/06_tiger/lib32_MappedOn_tair10	5	22203327	26975502	LL
results/06_tiger/lib36_MappedOn_tair10	1	7419967	13501378	CC
results/06_tiger/lib36_MappedOn_tair10	1	13501589	22114597	CL
results/06_tiger/lib36_MappedOn_tair10	1	22114771	30427671	CC
results/06_tiger/lib38_MappedOn_tair10	1	1	19408960	LL
results/06_tiger/lib38_MappedOn_tair10	1	19409317	30269554	CL
results/06_tiger/lib38_MappedOn_tair10	1	30270428	30427671	LL
results/06_tiger/lib4_MappedOn_tair10	1	3443042	4118255	LL
results/06_tiger/lib4_MappedOn_tair10	1	4118745	25487427	CL
results/06_tiger/lib4_MappedOn_tair10	1	25497948	30427671	LL
results/06_tiger/lib40_MappedOn_tair10	2	2271719	16636524	CC
results/06_tiger/lib40_MappedOn_tair10	2	16636773	17905376	CL
results/06_tiger/lib40_MappedOn_tair10	2	17916319	19698289	CC
results/06_tiger/lib40_MappedOn_tair10	5	3272662	17099846	CC
results/06_tiger/lib40_MappedOn_tair10	5	17100079	22972345	CL
results/06_tiger/lib40_MappedOn_tair10	5	22972667	25383868	CC
results/06_tiger/lib42_MappedOn_tair10	4	1	460764	LL
results/06_tiger/lib42_MappedOn_tair10	4	460813	11917871	CL
results/06_tiger/lib42_MappedOn_tair10	4	11918666	18585056	LL
results/06_tiger/lib42_MappedOn_tair10	5	1779538	9269549	CC
results/06_tiger/lib42_MappedOn_tair10	5	9269851	20014520	CL
results/06_tiger/lib42_MappedOn_tair10	5	20016071	25407780	CC
results/06_tiger/lib43_MappedOn_tair10	1	1	11822616	CC
results/06_tiger/lib43_MappedOn_tair10	1	11823726	29526634	CL
results/06_tiger/lib43_MappedOn_tair10	1	29526682	30427671	CC
results/06_tiger/lib44_MappedOn_tair10	1	154679	17248675	LL
results/06_tiger/lib44_MappedOn_tair10	1	17248764	18243862	CL
results/06_tiger/lib44_MappedOn_tair10	1	18243900	19106542	LL
results/06_tiger/lib46_MappedOn_tair10	2	1	8666888	CC
results/06_tiger/lib46_MappedOn_tair10	2	8667095	13373123	CL
results/06_tiger/lib46_MappedOn_tair10	2	13373173	13912977	CC
results/06_tiger/lib5_MappedOn_tair10	1	15610055	16764514	LL
results/06_tiger/lib5_MappedOn_tair10	1	16764852	23416833	CL
results/06_tiger/lib5_MappedOn_tair10	1	23417764	30427671	LL
results/06_tiger/lib51_MappedOn_tair10	1	4427809	7467846	CC
results/06_tiger/lib51_MappedOn_tair10	1	7467944	11282499	CL
results/06_tiger/lib51_MappedOn_tair10	1	11318153	19945615	CC
results/06_tiger/lib51_MappedOn_tair10	5	7191461	7981728	CC
results/06_tiger/lib51_MappedOn_tair10	5	7981997	22972984	CL
results/06_tiger/lib51_MappedOn_tair10	5	22973113	26975502	CC
results/06_tiger/lib54_MappedOn_tair10	1	1	16717954	LL
results/06_tiger/lib54_MappedOn_tair10	1	16718254	29412557	CL
results/06_tiger/lib54_MappedOn_tair10	1	29412835	30427671	LL
results/06_tiger/lib54_MappedOn_tair10	3	1	4605978	CC
results/06_tiger/lib54_MappedOn_tair10	3	4610909	18282737	CL
results/06_tiger/lib54_MappedOn_tair10	3	18283710	23459830	CC
results/06_tiger/lib55_MappedOn_tair10	4	1	1255641	CC
results/06_tiger/lib55_MappedOn_tair10	4	1256367	6543112	CL
results/06_tiger/lib55_MappedOn_tair10	4	6544764	9105134	CC
results/06_tiger/lib63_MappedOn_tair10	5	9967257	10430808	LL
results/06_tiger/lib63_MappedOn_tair10	5	10432261	18538136	CL
results/06_tiger/lib63_MappedOn_tair10	5	18538443	26975502	LL
results/06_tiger/lib64_MappedOn_tair10	4	1	6375981	LL
results/06_tiger/lib64_MappedOn_tair10	4	6376231	10803430	CL
results/06_tiger/lib64_MappedOn_tair10	4	10804139	18585056	LL
results/06_tiger/lib64_MappedOn_tair10	5	1	10637691	CC
results/06_tiger/lib64_MappedOn_tair10	5	10637741	15485288	CL
results/06_tiger/lib64_MappedOn_tair10	5	15487154	26335557	CC
results/06_tiger/lib66_MappedOn_tair10	5	1	944993	LL
results/06_tiger/lib66_MappedOn_tair10	5	945209	14879062	CL
results/06_tiger/lib66_MappedOn_tair10	5	14879274	22174106	LL
results/06_tiger/lib67_MappedOn_tair10	3	1	1057497	CC
results/06_tiger/lib67_MappedOn_tair10	3	1057638	9361466	CL
results/06_tiger/lib67_MappedOn_tair10	3	9361886	11251474	CC
